index,x,label
0,-2.2,-1.5
1,-3.6,1.5
2,-3.0,0.4
3,-1.8,-1.5
4,-2.1,-1.0
5,-5.0,2.5
6,-3.0,0.3
7,-4.2,2.0
8,-4.1,2.1
9,-3.6,1.4
10,-3.9,1.8
11,-2.5,-0.6
12,-3.2,0.5
13,-3.9,2.0
14,-3.6,1.5
15,-3.7,1.5
16,-2.5,-0.8
17,-4.2,2.4
18,-3.7,1.5
19,-4.9,2.2
20,-6.6,0.2
21,-3.3,1.1
22,-3.1,0.4
23,-4.7,2.3
24,-1.7,-1.4
25,-5.5,2.1
26,-4.0,2.2
27,-4.2,2.5
28,-2.5,-0.8
29,-2.5,-0.7
30,-3.8,1.8
31,-3.6,1.1
32,-4.9,2.3
33,-6.0,1.2
34,-4.3,2.5
35,-3.8,1.6
36,-2.8,0.1
37,-2.8,-0.5
38,-4.4,2.1
39,-4.3,2.1
40,-5.0,2.3
41,-5.4,1.9
42,-5.7,1.6
43,-2.0,-1.4
44,-4.5,2.7
45,-4.4,2.1
46,-5.3,2.0
47,-3.2,0.7
48,-5.6,1.4
49,-4.2,2.5
50,5.6,-1.0
51,3.4,-0.1
52,3.5,-0.4
53,2.9,0.8
54,4.9,-1.4
55,1.7,2.6
56,5.7,-0.8
57,3.2,0.6
58,4.3,-1.3
59,3.8,-0.9
60,5.5,-1.1
61,1.9,2.4
62,3.7,-0.5
63,3.6,-0.4
64,5.1,-1.7
65,2.9,0.8
66,3.8,-0.6
67,3.1,0.7
68,4.0,-0.8
69,4.6,-1.8
70,2.9,0.6
71,5.1,-1.3
72,4.9,-1.5
73,4.5,-1.6
74,4.9,-1.1
75,3.3,0.1
76,3.9,-0.7
77,3.1,0.3
78,3.7,-0.4
79,4.5,-1.7
80,3.3,0.3
81,3.6,-0.2
82,3.3,-0.1
83,3.2,0.6
84,3.3,0.3
85,4.0,-0.9
86,2.9,1.0
87,4.2,-1.2
88,5.7,-0.7
89,4.7,-1.7
90,3.8,-1.1
91,3.1,0.7
92,3.3,0.6
93,5.7,-0.7
94,4.1,-0.8
95,3.4,-0.0
96,4.2,-1.3
97,6.1,0.1
98,4.1,-1.2
99,4.6,-2.0
