b0,b1
-1.544428825378418,[1.168209433555603]
-0.7430607676506042,[0.40603896975517273]
-0.4421892762184143,[0.22202159464359283]
-1.247077465057373,[0.7614322304725647]
-0.5371440649032593,[0.6233347654342651]
-1.3194140195846558,[0.6869555115699768]
-0.11113375425338745,[0.08699408173561096]
-1.1293375492095947,[0.6031677722930908]
1.0006064176559448,[0.18111121654510498]
-0.5128540992736816,[0.5634729862213135]
-0.2504750192165375,[-0.00469182338565588]
-0.874112606048584,[0.4551902711391449]
-0.328108012676239,[0.7001594305038452]
-1.0256564617156982,[0.8241636157035828]
-0.8735402822494507,[0.4709828197956085]
0.3326908051967621,[0.22288960218429565]
-0.5228686928749084,[0.875022292137146]
0.3480488061904907,[0.04675550013780594]
-1.4396870136260986,[0.9617453217506409]
-0.2380886971950531,[0.3606688976287842]
-0.086478590965271,[-0.007465220522135496]
-0.733967125415802,[0.15834002196788788]
-0.4205074608325958,[0.38952869176864624]
-0.3917120695114136,[0.40916863083839417]
-1.957804799079895,[1.059138536453247]
-2.0067050457000732,[1.0550634860992432]
-1.0320028066635132,[0.33247479796409607]
-1.5976548194885254,[0.7452133893966675]
-0.5986852645874023,[0.16129286587238312]
-2.8393235206604004,[1.0355854034423828]
-1.2820237874984741,[0.3639623820781708]
0.260498583316803,[0.2199554741382599]
-0.51175457239151,[1.0230541229248047]
-0.47366857528686523,[0.47620096802711487]
-0.9502573013305664,[1.0139412879943848]
-0.7528245449066162,[0.9500856995582581]
-1.8462331295013428,[0.897646427154541]
-0.7815712094306946,[0.5038314461708069]
-1.1363667249679565,[0.659727156162262]
-0.9779883623123169,[0.5927370190620422]
0.06129143387079239,[0.28961944580078125]
-0.9747500419616699,[0.568027675151825]
-0.6190335750579834,[0.518018364906311]
-0.9096319079399109,[0.49021413922309875]
-2.328514814376831,[0.8503959774971008]
-0.787641704082489,[0.5263096690177917]
-0.561640202999115,[0.3716900944709778]
-2.758674144744873,[0.684457540512085]
-1.3943926095962524,[0.4300053119659424]
-1.128710389137268,[0.7027416229248047]
