b0,b1
-1.074378490447998,"[0.30319324135780334, 0.09163092821836472]"
-3.1515979766845703,"[0.7197905778884888, 0.146704763174057]"
-1.2460194826126099,"[0.3963558077812195, -0.022618666291236877]"
-1.0546561479568481,"[0.829456090927124, 0.018315140157938004]"
-1.165027379989624,"[0.9690776467323303, 0.054772160947322845]"
-2.460334062576294,"[0.7204676270484924, 0.08775480836629868]"
-0.3857993483543396,"[0.45611315965652466, -0.020535815507173538]"
-0.8514633774757385,"[0.5087093114852905, 0.028455492109060287]"
0.46209439635276794,"[0.2891538441181183, 0.05804852396249771]"
-2.122593879699707,"[0.6426189541816711, 0.0648692324757576]"
-1.4271838665008545,"[0.8858156204223633, 0.03946520388126373]"
-0.3877011835575104,"[1.0637127161026, -0.04048097878694534]"
-1.5552496910095215,"[0.8819606900215149, 0.19367273151874542]"
-1.030779242515564,"[0.5026248693466187, 0.049291033297777176]"
-1.9681339263916016,"[1.000766634941101, 0.15068021416664124]"
-0.9787217974662781,"[0.9607342481613159, 0.015475040301680565]"
-0.6545830965042114,"[-0.008341087028384209, 0.057568006217479706]"
-2.969641923904419,"[0.7958475947380066, 0.13957644999027252]"
-0.5263388752937317,"[0.5666841864585876, 0.007103734649717808]"
-3.0500574111938477,"[0.6081334948539734, 0.1129700094461441]"
-1.541408658027649,"[0.4223458170890808, 0.007874546572566032]"
-1.4020907878875732,"[0.7850520014762878, 0.04854398965835571]"
-0.9338207840919495,"[0.9022284150123596, -0.004951763898134232]"
-2.8708600997924805,"[0.7252936959266663, 0.11726976931095123]"
-2.617058277130127,"[0.6892135739326477, 0.1416604220867157]"
-3.1816465854644775,"[0.2862948179244995, 0.08031764626502991]"
-1.9475960731506348,"[0.727410614490509, 0.055523790419101715]"
-0.7561633586883545,"[0.14096951484680176, 0.03447999805212021]"
-3.368044376373291,"[0.5167347192764282, 0.12447599321603775]"
-2.5709831714630127,"[0.6760495901107788, 0.0890914723277092]"
-0.712815523147583,"[0.07889814674854279, 0.040232449769973755]"
0.08532222360372543,"[1.0675684213638306, -0.06307049095630646]"
0.0024976320564746857,"[0.7037512063980103, 0.01250523328781128]"
-2.454695701599121,"[0.8839903473854065, 0.13526016473770142]"
-1.1242434978485107,"[0.6209322810173035, 0.0025596320629119873]"
-1.623907208442688,"[0.66744065284729, 0.025798192247748375]"
-0.8712978959083557,"[0.2713671624660492, 0.06195828318595886]"
-0.6578954458236694,"[0.49295639991760254, 0.010719849728047848]"
-0.9326786994934082,"[0.4160850942134857, 0.025474263355135918]"
-0.7305442094802856,"[0.6237934827804565, 0.08273076266050339]"
-1.178788185119629,"[0.9326686859130859, 0.0666758269071579]"
-0.3509042263031006,"[0.36440324783325195, 0.048418108373880386]"
-1.458565592765808,"[0.7859622836112976, 0.10091924667358398]"
-3.107645273208618,"[0.6466493606567383, 0.09391418844461441]"
-2.3016302585601807,"[0.6920366883277893, 0.11406797170639038]"
-1.252209186553955,"[0.2982877492904663, 0.05177278816699982]"
-2.8594348430633545,"[0.7154438495635986, 0.11251179128885269]"
-0.5153461694717407,"[0.6274552941322327, -0.007380429655313492]"
-1.873894453048706,"[0.397163987159729, 0.06036143749952316]"
