b0,b1
-0.5391578674316406,"[0.21067894995212555, 0.038282230496406555]"
-1.5968409776687622,"[0.395384281873703, 0.0749017521739006]"
-0.572314977645874,"[0.09209192544221878, 0.01187940314412117]"
-1.4627641439437866,"[0.4247981607913971, 0.052535027265548706]"
0.015593764372169971,"[0.6113149523735046, -0.03165294975042343]"
-1.379030466079712,"[0.3776269257068634, 0.0518048070371151]"
-0.4011516869068146,"[0.3277718722820282, -0.012336211279034615]"
-1.4525281190872192,"[0.3485619127750397, 0.042775847017765045]"
0.4437999129295349,"[0.14428675174713135, 0.028010718524456024]"
-1.082344651222229,"[0.3582046926021576, 0.030439160764217377]"
-0.8337298035621643,"[0.4929520785808563, 0.029552441090345383]"
-0.35343414545059204,"[0.591792106628418, -0.011842744424939156]"
-0.5166724324226379,"[0.5519635677337646, 0.09841935336589813]"
-0.8035441040992737,"[0.3879503309726715, 0.034712716937065125]"
-1.1562622785568237,"[0.5218207836151123, 0.07341097295284271]"
-0.5806623101234436,"[0.5368334054946899, 0.01487151999026537]"
-0.3381015658378601,"[0.6075063943862915, -0.01475277729332447]"
-0.4337066411972046,"[0.03471033275127411, 0.03180075064301491]"
-1.5377341508865356,"[0.13774722814559937, 0.012020278722047806]"
-0.5963338017463684,"[0.3431149423122406, 0.018551047891378403]"
-1.669901728630066,"[0.3473261892795563, 0.07339528948068619]"
-0.9264991879463196,"[0.2516747713088989, 0.01140253059566021]"
-0.8417224884033203,"[0.4231332242488861, 0.030043624341487885]"
-0.38785406947135925,"[0.6094585061073303, 0.008901679888367653]"
-11.232630729675293,"[1.791759967803955, 0.5503547191619873]"
-1.3855845928192139,"[0.39237362146377563, 0.07176537066698074]"
-1.7670893669128418,"[0.14491596817970276, 0.04960781708359718]"
-1.1223366260528564,"[0.44794970750808716, 0.0423235222697258]"
-0.293472021818161,"[0.08551404625177383, 0.005420101806521416]"
-16.744670867919922,"[1.9689451456069946, 0.837778627872467]"
-1.3413219451904297,"[0.38103920221328735, 0.04838476702570915]"
-0.7765724658966064,"[0.15181639790534973, 0.02127430960536003]"
0.04503440484404564,"[0.615169882774353, -0.03313364088535309]"
-0.2536769211292267,"[0.277438223361969, -0.0005384203977882862]"
-1.5179767608642578,"[0.3847998082637787, 0.06269434094429016]"
-0.6576792597770691,"[0.37162795662879944, 0.004669330082833767]"
-1.4335594177246094,"[0.36732587218284607, 0.050174057483673096]"
-0.5111669898033142,"[0.14713406562805176, 0.03092433512210846]"
-0.28670310974121094,"[0.34035930037498474, 0.0030968678183853626]"
-0.5770745277404785,"[0.25843265652656555, 0.011508961208164692]"
-0.6607518196105957,"[0.3194563686847687, 0.0452762208878994]"
-0.9498346447944641,"[0.5032551288604736, 0.04352102056145668]"
-19.54507064819336,"[36.86220932006836, -13.883564949035645]"
-1.0427004098892212,"[0.5256402492523193, 0.06753052771091461]"
-1.5808311700820923,"[0.3552591800689697, 0.04504166543483734]"
-1.109817624092102,"[0.4086381196975708, 0.04830855503678322]"
-0.5366912484169006,"[0.13807593286037445, 0.02670498751103878]"
-1.4589848518371582,"[0.39987418055534363, 0.06134459376335144]"
-0.30128413438796997,"[0.3940011262893677, -0.006405379623174667]"
-0.9217169284820557,"[0.1270976960659027, 0.015528346411883831]"
