b0,b1
-1.86149263381958,"[1.006425142288208, 0.10064063966274261]"
-1.7093746662139893,"[0.3459104001522064, 0.05081721022725105]"
-1.157375454902649,"[0.40072712302207947, -0.01383870281279087]"
-1.256005883216858,"[0.7163223624229431, 0.018236391246318817]"
-0.24755561351776123,"[0.3487495481967926, 0.0010672955540940166]"
-1.3315850496292114,"[0.5294210910797119, 0.037954434752464294]"
-1.4886474609375,"[0.4181012213230133, 0.05911603197455406]"
-1.0499461889266968,"[0.52607262134552, 0.04388057067990303]"
-0.1291298270225525,"[0.008800895884633064, -0.00831256341189146]"
-0.9003938436508179,"[0.395065039396286, 0.03941678628325462]"
0.10644235461950302,"[0.2864322364330292, 0.05448891967535019]"
-1.3295568227767944,"[0.768738329410553, 0.0856732428073883]"
-0.4002614915370941,"[0.8763013482093811, -0.09262483566999435]"
-0.42128536105155945,"[0.9666116833686829, -0.03408515825867653]"
-0.39944854378700256,"[0.02337917685508728, 0.04003366827964783]"
-3.0749261379241943,"[0.7575329542160034, 0.17264476418495178]"
-1.0279338359832764,"[0.1436975598335266, 0.0764010101556778]"
-1.4659725427627563,"[0.38561153411865234, 0.048731729388237]"
-2.3903005123138428,"[0.442830353975296, 0.18116188049316406]"
-0.4712597131729126,"[0.35354554653167725, 0.030481746420264244]"
-1.6873128414154053,"[0.6989874243736267, 0.08923062682151794]"
-2.1911864280700684,"[0.7638230919837952, 0.06360524892807007]"
-1.996208906173706,"[0.3529268205165863, 0.02986976131796837]"
-0.2808038294315338,"[0.32807213068008423, 0.04417126625776291]"
-1.0479480028152466,"[0.4078996777534485, 0.06742626428604126]"
-2.4638280868530273,"[0.5505045056343079, 0.07052326202392578]"
-1.6510937213897705,"[0.35121777653694153, 0.028056977316737175]"
0.0446724034845829,"[0.34453704953193665, 0.018618084490299225]"
-0.1983872801065445,"[0.9954931735992432, -0.044828906655311584]"
-0.5041409730911255,"[0.5141785144805908, 0.008369704708456993]"
-1.975760579109192,"[0.6677179336547852, 0.04300149530172348]"
-2.2609775066375732,"[0.7122188210487366, 0.07212235033512115]"
-1.5734083652496338,"[0.5293076634407043, 0.052321743220090866]"
-0.8835790753364563,"[0.40782231092453003, 0.06301755458116531]"
-0.6703878045082092,"[0.5704044103622437, 0.01635071448981762]"
-1.227567434310913,"[0.4689079225063324, 0.048395585268735886]"
-1.6060174703598022,"[0.5326339602470398, 0.026492098346352577]"
-2.2844345569610596,"[0.5541113615036011, 0.05450562760233879]"
-1.3968544006347656,"[0.6858461499214172, 0.012165277265012264]"
-1.2704440355300903,"[0.4843842089176178, 0.05579589307308197]"
-0.7801490426063538,"[0.2208576500415802, 0.026969771832227707]"
-3.400209665298462,"[0.6624816656112671, 0.15899839997291565]"
-0.754779577255249,"[0.3147851824760437, 0.005360763054341078]"
-1.3636025190353394,"[0.6142557263374329, 0.06882695108652115]"
