b0,b1
-0.8335317969322205,[0.6411424279212952]
-0.8235724568367004,[0.3121255338191986]
-0.7358500957489014,[0.21877902746200562]
-0.6821779608726501,[0.43306902050971985]
-0.044020410627126694,[0.37081167101860046]
-0.08947278559207916,[0.2374439239501953]
-0.39587485790252686,[0.21907201409339905]
-0.632591724395752,[0.3562825322151184]
-0.5502542853355408,[0.3402586281299591]
-0.6342990398406982,[0.4292851984500885]
-0.19975034892559052,[-0.015556436963379383]
-0.4673614501953125,[0.3047162890434265]
0.13729527592658997,[0.25147926807403564]
-0.6693614721298218,[0.4896692931652069]
-0.4644228518009186,[0.2016269862651825]
-0.8447278141975403,[0.39001208543777466]
-0.3507803678512573,[0.5204969644546509]
0.23205985128879547,[0.03261057659983635]
-1.4906585216522217,[0.48954683542251587]
-0.5400046706199646,[0.31541362404823303]
-0.37746089696884155,[0.18587912619113922]
-0.6633059978485107,[0.3039834201335907]
-0.27316707372665405,[0.14323674142360687]
-0.13379275798797607,[0.24754245579242706]
-0.6045555472373962,[0.4492790699005127]
-1.0828311443328857,[0.5057641267776489]
-1.032221794128418,[0.27197474241256714]
-0.007039215881377459,[0.2315574735403061]
-0.1449725329875946,[0.2625853419303894]
-1.1882503032684326,[0.41439780592918396]
-0.8396002054214478,[0.28243863582611084]
0.10755656659603119,[0.20731724798679352]
-0.20297907292842865,[0.5318953394889832]
-0.25870540738105774,[0.3192824721336365]
-0.7015111446380615,[0.4842454791069031]
-0.8235401511192322,[0.3678550124168396]
-0.9009912610054016,[0.5116986632347107]
-0.6175476312637329,[0.3393873870372772]
-0.2214827984571457,[0.24863280355930328]
-0.5484140515327454,[0.35345786809921265]
-0.34291452169418335,[0.36145472526550293]
-0.5501822829246521,[0.3403310179710388]
-0.86374431848526,[0.434246301651001]
-1.029282569885254,[0.3772188127040863]
-1.0256706476211548,[0.4060511887073517]
-0.5491788387298584,[0.36346086859703064]
-0.30726534128189087,[0.17782340943813324]
-1.4996355772018433,[0.5172070264816284]
-0.4240093529224396,[0.2128429114818573]
-0.5216046571731567,[0.42765119671821594]
