b0,b1
-1.0387438535690308,"[0.5663101077079773, 0.06171068921685219]"
-0.9921170473098755,"[0.20808325707912445, 0.029002008959650993]"
-0.7006880044937134,"[0.24093221127986908, -0.004434196278452873]"
-0.7335826754570007,"[0.41158929467201233, 0.01206903625279665]"
0.171291321516037,"[0.3150614798069, -0.008886515162885189]"
-0.14861644804477692,"[0.21280957758426666, 0.0004705081810243428]"
-2.7796597480773926,"[12.432520866394043, 0.40115484595298767]"
-0.7578867673873901,"[0.31488609313964844, 0.021572483703494072]"
-0.854434072971344,"[0.24866947531700134, 0.027107207104563713]"
-0.613121747970581,"[0.31669825315475464, 0.02892417460680008]"
-0.07685549557209015,"[0.006679213605821133, -0.0038588696625083685]"
-0.513353705406189,"[0.24562768638134003, 0.01944444701075554]"
0.07244101911783218,"[0.16627290844917297, 0.03254539519548416]"
-0.771346390247345,"[0.4476985037326813, 0.046404559165239334]"
-0.2118026167154312,"[0.515544593334198, -0.05313870310783386]"
-1.0050452947616577,"[0.3333852291107178, 0.030069535598158836]"
-0.27226167917251587,"[0.5595062375068665, -0.016157355159521103]"
-0.246375173330307,"[0.009202818386256695, 0.021501770243048668]"
-1.5812206268310547,"[0.41038185358047485, 0.0898856446146965]"
-0.43186214566230774,"[0.2539185583591461, -0.005187716335058212]"
-0.6312443017959595,"[0.08650331199169159, 0.04801376536488533]"
-0.8363486528396606,"[0.23890331387519836, 0.030199164524674416]"
-1.329311728477478,"[0.2571965754032135, 0.09891495108604431]"
-0.2801172435283661,"[0.21848131716251373, 0.016147371381521225]"
-0.9033406376838684,"[0.40181517601013184, 0.04814663529396057]"
-1.1982686519622803,"[0.42445072531700134, 0.03403747081756592]"
-1.1497348546981812,"[0.2090820074081421, 0.020763905718922615]"
-0.1687309443950653,"[0.2113507241010666, 0.018382839858531952]"
-0.608488917350769,"[0.24706494808197021, 0.0386463887989521]"
-1.3420846462249756,"[0.30327269434928894, 0.03723428398370743]"
-0.9557631611824036,"[0.21118667721748352, 0.017260214313864708]"
0.02734343148767948,"[0.20601075887680054, 0.01289411261677742]"
-0.1273442953824997,"[0.5670495629310608, -0.02925819531083107]"
-0.3007989227771759,"[0.31264886260032654, 0.005197134800255299]"
-1.0847053527832031,"[0.3782320022583008, 0.024904275313019753]"
-1.2440499067306519,"[0.2939102351665497, 0.03964107856154442]"
-1.2059133052825928,"[0.4002247452735901, 0.0389435738325119]"
-0.2527923583984375,"[-0.5832709074020386, -0.5483367443084717]"
-0.5300019979476929,"[0.24994871020317078, 0.037535782903432846]"
-0.7157952785491943,"[0.28730592131614685, 0.025636807084083557]"
-3.7963240146636963,"[6.485900402069092, 0.885863184928894]"
-0.7055856585502625,"[0.2830790579319, 0.02361687645316124]"
-3.372929811477661,"[5.088012218475342, 0.5529152750968933]"
-1.2182343006134033,"[0.3124839961528778, 0.02886519953608513]"
-0.8062751293182373,"[0.40378537774086, 0.012568511068820953]"
-0.7190545201301575,"[0.2966344356536865, 0.03284795209765434]"
-0.4720323979854584,"[0.1407601237297058, 0.02014799974858761]"
-1.750362753868103,"[0.34753531217575073, 0.0704621821641922]"
-0.4612071216106415,"[0.19496969878673553, 0.0020167920738458633]"
-0.7601264119148254,"[0.37552496790885925, 0.04327811673283577]"
