b0,b1,logs
-1.270127534866333,[0.678350567817688],{'num_samples': 35}
-0.7415086627006531,[0.2486567348241806],{'num_samples': 35}
-0.5221858620643616,[0.28528067469596863],{'num_samples': 35}
-0.6708272099494934,[0.4512723386287689],{'num_samples': 30}
-0.7758657932281494,[0.36187830567359924],{'num_samples': 35}
-0.1495647430419922,[0.33348140120506287],{'num_samples': 35}
-0.7149184942245483,[0.4809514880180359],{'num_samples': 35}
-0.8936642408370972,[0.5153303146362305],{'num_samples': 2}
0.19655004143714905,[0.18553316593170166],{'num_samples': 35}
-0.7392787337303162,[0.6123273968696594],{'num_samples': 35}
-0.25348976254463196,[0.11286105215549469],{'num_samples': 35}
-0.41644051671028137,[0.46210330724716187],{'num_samples': 21}
-0.7005082368850708,[0.7471652626991272],{'num_samples': 35}
-0.6428893208503723,[0.5011956095695496],{'num_samples': 35}
-0.7508702278137207,[0.7969892024993896],{'num_samples': 35}
-0.5420505404472351,[0.5063245892524719],{'num_samples': 8}
-0.7471422553062439,[0.5295730829238892],{'num_samples': 35}
0.20842957496643066,[0.055564459413290024],{'num_samples': 35}
-1.2146300077438354,[0.28833308815956116],{'num_samples': 35}
-0.4091431796550751,[0.35586920380592346],{'num_samples': 35}
-0.7977787256240845,[0.6185757517814636],{'num_samples': 35}
-0.7509849667549133,[0.3514707088470459],{'num_samples': 35}
-0.5869723558425903,[0.45774751901626587],{'num_samples': 35}
-0.5924443602561951,[0.40725335478782654],{'num_samples': 2}
-0.4826396107673645,[0.590752899646759],{'num_samples': 35}
-1.0366839170455933,[0.7334266901016235],{'num_samples': 35}
-0.6698639392852783,[0.31058087944984436],{'num_samples': 11}
-0.09892957657575607,[0.31794142723083496],{'num_samples': 35}
-0.3134666979312897,[0.2686404287815094],{'num_samples': 35}
-1.449731469154358,[0.5089259743690491],{'num_samples': 18}
-0.8239696025848389,[0.3979341983795166],{'num_samples': 16}
-0.174998939037323,[0.5028272867202759],{'num_samples': 35}
-0.17603471875190735,[0.46247902512550354],{'num_samples': 27}
-0.7070015668869019,[0.41492658853530884],{'num_samples': 18}
-1.0922625064849854,[0.7679814100265503],{'num_samples': 35}
-0.6517094969749451,[0.57068932056427],{'num_samples': 11}
-0.8693814873695374,[0.593589186668396],{'num_samples': 35}
-0.29805418848991394,[0.5484892725944519],{'num_samples': 35}
-0.36413612961769104,[0.4104466736316681],{'num_samples': 12}
-0.804404079914093,[0.5236434936523438],{'num_samples': 1}
-0.849367618560791,[0.5493721961975098],{'num_samples': 5}
-0.7993133068084717,[0.5085803270339966],{'num_samples': 0}
0.12766563892364502,[0.26792481541633606],{'num_samples': 35}
-0.8157898783683777,[0.472551167011261],{'num_samples': 35}
-1.5671956539154053,[0.6579747200012207],{'num_samples': 35}
-0.5303996205329895,[0.5986202955245972],{'num_samples': 35}
-0.8384527564048767,[0.3858039081096649],{'num_samples': 35}
-0.7256243228912354,[0.36284324526786804],{'num_samples': 35}
-0.19762757420539856,[0.5387870073318481],{'num_samples': 35}
-0.934721827507019,[0.6105226278305054],{'num_samples': 7}
