action,label,regret,note,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
4,1,-0.4,action = 4,0,4,,,,,,,,,,,,,,,
0,1,-0.4,action = 0,1,4,,,,,,,,,,,,,,,
0,0,0.6,action = 0,2,4,,,,,,,,,,,,,,,
1,0,0.6,action = 1,3,4,,,,,,,,,,,,,,,
0,0,0.6,action = 0,4,4,,,,,,,,,,,,,,,
4,1,-0.4,action = 4,5,4,0.29627,0.31042,0.41967,0.43173,0.54275,0.456607052069939,0.4626661863590206,0.4935078520145348,0.49531807962157004,0.49816663878666145,0.5245735260349695,0.5417530931795103,0.6664239260072674,0.679389039810785,0.7918333193933307
4,1,-0.4,action = 4,6,4,0.44478,0.35774,0.4328,0.47508,0.69914,0.49694064031833823,0.4793328697262477,0.4954593827954013,0.49937961512260387,0.45862838987572496,0.6932503201591691,0.5974064348631238,0.6805296913977007,0.7247698075613019,0.9284541949378624
4,0,0.6,action = 4,7,4,0.38537,0.34289,0.42075,0.46918,0.81793,0.4866826481394215,0.4746788387952427,0.4936800583373811,0.4990490957811666,0.3859015418471401,0.6287113240697108,0.5802294193976213,0.6675900291686906,0.7187045478905832,1.01088077092357
4,1,-0.4,action = 4,8,4,0.40365,0.37843,0.42787,0.45168,0.5845,0.4906322451694344,0.4849948453334324,0.49477267507411926,0.49766454565299306,0.49280827915123343,0.6489661225847172,0.6209274226667162,0.6752563375370596,0.7005122728264965,0.8309041395756167
4,1,-0.4,action = 4,9,4,0.42037,0.35567,0.40253,0.42037,0.60085,0.4936192864951693,0.4787170354186281,0.49040799340956914,0.4936192864951693,0.48972441229736546,0.6671796432475847,0.595028517709314,0.6477339967047846,0.6671796432475847,0.8457122061486827
4,1,-0.4,action = 4,10,4,0.42577,0.37977,0.40498,0.44572,0.64888,0.4944593006507209,0.4853246336216615,0.4908869523627614,0.49704124577342673,0.47731540934690136,0.6729996503253605,0.6224323168108308,0.6504234761813807,0.6942406228867134,0.8875377046734507
4,1,-0.4,action = 4,11,4,0.48123,0.41518,0.46307,0.48743,0.69336,0.4996498774141749,0.49275754687269885,0.49863814535191747,0.4998399743918047,0.4610965191800953,0.7310549387070875,0.6615587734363494,0.7123890726759587,0.7373499871959024,0.9239082595900476
4,1,-0.4,action = 4,12,4,0.48714,0.3983,0.44495,0.49267,0.78357,0.4998299710901698,0.4895508145228644,0.496960763038693,0.49994999749975,0.411813064387229,0.737054985545085,0.6430754072614322,0.6934303815193466,0.742644998749875,0.9894765321936145
4,0,0.6,action = 4,13,4,0.46342,0.34311,0.41976,0.46383,0.78864,0.49865819957161034,0.4747420352149154,0.49351798346159587,0.49868827938903876,0.4082768668440572,0.7127490997858051,0.5804810176074577,0.666518991730798,0.7131741396945194,0.9927784334220286
4,0,0.6,action = 4,14,4,0.45102,0.35831,0.39852,0.4221,0.7342,0.4975942121849891,0.47949973931171225,0.4895916665957459,0.49389270089767473,0.4417578522222327,0.6998171060924945,0.5980598696558561,0.6433158332978729,0.6690463504488373,0.9550789261111163
4,1,-0.4,action = 4,15,4,0.46912,0.42778,0.46508,0.48894,0.69813,0.4990490957811666,0.4947524633592035,0.49877850795718937,0.49987998559654295,0.45907515724552117,0.7186445478905833,0.6751562316796017,0.7144692539785946,0.7388799927982714,0.9276675786227606
4,0,0.6,action = 4,16,4,0.50605,0.42765,0.48221,0.51234,0.74158,0.499959998399872,0.4947423571921046,0.49967989753441155,0.49984997749324744,0.4377670613465568,0.756029999199936,0.6750211785960523,0.7320499487672059,0.7622649887466237,0.9604635306732784
4,0,0.6,action = 4,17,4,0.51201,0.4332,0.46941,0.47026,0.69969,0.4998599803945101,0.495519928963508,0.49905911473491793,0.49911922423405014,0.4583884815306772,0.761939990197255,0.680959964481754,0.718939557367459,0.719819612117025,0.9288842407653386
