action,label,regret,note,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
2,1,-0.4,action = 2,0,2,,,,,,,,,,,,,,,
2,1,-0.4,action = 2,1,2,,,,,,,,,,,,,,,
2,1,-0.4,action = 2,2,2,,,,,,,,,,,,,,,
1,1,-0.4,action = 1,3,2,,,,,,,,,,,,,,,
4,1,-0.4,action = 4,4,2,,,,,,,,,,,,,,,
0,1,-0.4,action = 0,5,2,0.93378,0.97329,0.97959,0.9534,0.9798,0.24867649667791283,0.161245154965971,0.1413859964777276,0.21078424988599123,0.14067693485429655,2.177162483389564,1.779515774829855,1.6865199823886379,2.007321249429956,1.6831846742714829
3,0,0.6,action = 3,6,2,0.9724,0.97986,0.98321,0.96825,0.98049,0.16382917933017915,0.14046351839534707,0.1284523257866513,0.1753567791675018,0.13831124321616084,1.791545896650896,1.6821775919767354,1.6254716289332567,1.845033895837509,1.6720462160808043
3,1,-0.4,action = 3,7,2,0.86873,0.86492,0.91945,0.57462,0.76941,0.33769809001532713,0.34180403742495497,0.2721396700225823,0.4943986245935561,0.42121253542600084,2.5572204500766356,2.5739401871247747,2.2801483501129116,3.04661312296778,2.8754726771300043
3,0,0.6,action = 3,8,2,0.82456,0.80218,0.84978,0.71547,0.75904,0.3803419514068886,0.3983591344503098,0.3572953959960861,0.4511873225169342,0.4276680956068619,2.726269757034443,2.7939756722515487,2.6362569799804305,2.971406612584671,2.8973804780343095
3,0,0.6,action = 3,9,2,0.7523,0.72517,0.75345,0.59215,0.69778,0.43167117114766884,0.4464302857109943,0.4309988399056313,0.49143666936849556,0.45921672443411726,2.9106558557383444,2.9573214285549714,2.9084441995281565,3.049333346842478,2.9938636221705863
1,1,-0.4,action = 1,10,2,0.65822,0.61016,0.67026,0.37316,0.54434,0.4743100251944924,0.48770892958813045,0.47011700671215884,0.48364242990043793,0.49802610373352924,3.029770125972462,3.048704647940652,3.020845033560794,2.7913721495021897,3.0344705186676464
4,0,0.6,action = 4,11,2,0.82415,0.79821,0.80365,0.41518,0.67678,0.38068359565392357,0.40133527131315033,0.39724048132082407,0.49275754687269885,0.46770717334674267,2.727567978269618,2.804886356565752,2.7898524066041204,2.8789677343634943,3.0153158667337134
2,0,0.6,action = 2,12,2,0.69749,0.6761,0.64774,0.45778,0.49605,0.4593473631142341,0.4679636738038541,0.47767143519369043,0.4982168202700507,0.499979999599984,2.9942268155711704,3.0159183690192704,3.036097175968452,2.9488641013502535,2.99594999799992
