action,label,regret,note,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
4,1,-0.4,action = 4,0,4,,,,,,,,,,,,,,,
1,1,-0.4,action = 1,1,4,,,,,,,,,,,,,,,
0,0,0.6,action = 0,2,4,,,,,,,,,,,,,,,
1,1,-0.4,action = 1,3,4,,,,,,,,,,,,,,,
2,1,-0.4,action = 2,4,4,,,,,,,,,,,,,,,
3,0,0.6,action = 3,5,4,0.44014,0.78456,0.78224,0.7051,0.77721,0.2537259796091775,0.17941180927044764,0.2537259796091775,100000.0,0.2537259796091775,0.4908851959218355,0.8204423618540896,0.8329851959218355,20000.7051,0.8279551959218354
4,1,-0.4,action = 4,6,4,0.40993,0.72945,0.67297,0.45914,0.72918,0.2677119012530102,0.18930137402964103,0.2677119012530102,0.2677119012530102,0.2677119012530102,0.46347238025060206,0.7673102748059283,0.7265123802506019,0.512682380250602,0.782722380250602
4,1,-0.4,action = 4,7,4,0.32903,0.67265,0.6263,0.34746,0.70743,0.2789903718875196,0.19727647703429904,0.2789903718875196,0.2789903718875196,0.19727647703429904,0.3848280743775039,0.7121052954068597,0.6820980743775039,0.40325807437750394,0.7468852954068598
4,0,0.6,action = 4,8,4,0.31947,0.74831,0.69722,0.33292,0.8392,0.2884039353041051,0.20393288820217859,0.2884039353041051,0.2884039353041051,0.16651064471402963,0.377150787060821,0.7890965776404357,0.754900787060821,0.390600787060821,0.8725021289428059
1,0,0.6,action = 1,9,4,0.43925,0.64976,0.60949,0.4332,0.59807,0.29645927918081205,0.20962889072206928,0.29645927918081205,0.29645927918081205,0.1482301954491226,0.4985418558361624,0.6916857781444139,0.6687818558361623,0.4924918558361624,0.6277160390898245
2,0,0.6,action = 2,10,4,0.43034,0.47133,0.4947,0.42601,0.51873,0.30348390846128054,0.17521710029697393,0.30348390846128054,0.30348390846128054,0.15174252326047913,0.4910367816922561,0.5063734200593948,0.555396781692256,0.4867067816922561,0.5490785046520958
4,1,-0.4,action = 4,11,4,0.44495,0.50619,0.46307,0.45148,0.54261,0.3097012298383996,0.1788066844328728,0.21899238723672354,0.3097012298383996,0.15485119560646524,0.50689024596768,0.5419513368865746,0.5068684774473446,0.5134202459676799,0.5735802391212931
4,0,0.6,action = 4,12,4,0.4199,0.48152,0.46931,0.44549,0.51853,0.3152701572283676,0.1820219168779205,0.22293022340260973,0.3152701572283676,0.14099366453808174,0.4829540314456735,0.5179243833755841,0.513896044680522,0.5085440314456735,0.5467287329076164
4,1,-0.4,action = 4,13,4,0.44435,0.48771,0.47551,0.44435,0.5,0.32030758393921643,0.18493028623993582,0.226492230894522,0.32030758393921643,0.1307655684180171,0.5084115167878434,0.5246960572479872,0.5208084461789044,0.5084115167878434,0.5261531136836034
4,0,0.6,action = 4,14,4,0.46884,0.51244,0.4939,0.48132,0.56147,0.3249018891484545,0.18758281843092903,0.22974090338442507,0.3249018891484545,0.12280189760140969,0.5338203778296908,0.5499565636861858,0.539848180676885,0.5463003778296909,0.5860303795202819
4,0,0.6,action = 4,15,4,0.44421,0.48756,0.48147,0.46279,0.54208,0.3291214439000292,0.19001898762310732,0.23272458662199424,0.3291214439000292,0.11636251148981983,0.5100342887800058,0.5255637975246215,0.5280149173243989,0.5286142887800058,0.565352502297964
4,0,0.6,action = 4,16,4,0.42695,0.47551,0.45783,0.43348,0.51873,0.333020179366345,0.19226993109716628,0.23548141580029133,0.333020179366345,0.11100721981703249,0.493554035873269,0.5139639862194333,0.5049262831600583,0.500084035873269,0.5409314439634065
2,0,0.6,action = 2,17,4,0.45678,0.49995,0.49366,0.45105,0.50624,0.3366413529087651,0.19436062358558182,0.2380419785693408,0.3366413529087651,0.10645582202671128,0.524108270581753,0.5388221247171163,0.5412683957138682,0.518378270581753,0.5275311644053423
