action,label,regret,note,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
4,0,0.6,action = 4,0,4,,,,,,,,,,,,,,,
3,1,-0.4,action = 3,1,4,,,,,,,,,,,,,,,
3,0,0.6,action = 3,2,4,,,,,,,,,,,,,,,
4,1,-0.4,action = 4,3,4,,,,,,,,,,,,,,,
2,1,-0.4,action = 2,4,4,,,,,,,,,,,,,,,
1,0,0.6,action = 1,5,4,0.51197,0.52974,0.55289,0.49954,0.49891,100000.0,100000.0,12.686298980458872,8.970590463522381,8.970590463522381,1000000.51197,1000000.52974,127.41587980458873,90.20544463522381,90.20481463522381
0,1,-0.4,action = 0,6,4,0.49381,0.48614,0.51224,0.45241,0.49238,100000.0,13.38559506265051,13.38559506265051,9.465068701482052,9.465068701482052,1000000.49381,134.3420906265051,134.36819062650508,95.10309701482052,95.14306701482052
0,1,-0.4,action = 0,7,4,0.51853,0.47513,0.48127,0.46269,0.46931,13.949518594375977,13.949518594375977,13.949518594375977,9.863823851714951,9.863823851714951,140.01371594375976,139.97031594375977,139.97645594375976,99.10092851714951,99.10754851714951
2,0,0.6,action = 2,8,4,0.58525,0.51234,0.53721,0.50629,0.50634,10.196644410108927,14.420196765205253,14.420196765205253,10.196644410108927,10.196644410108927,102.55169410108928,144.71430765205253,144.73917765205252,102.47273410108929,102.47278410108927
1,0,0.6,action = 1,9,4,0.54979,0.48147,0.48752,0.48752,0.49376,10.481444536103464,14.822963959040603,10.481444536103464,10.481444536103464,10.481444536103464,105.36423536103464,148.71110959040604,105.30196536103465,105.30196536103465,105.30820536103464
0,0,0.6,action = 0,10,4,0.50014,0.41461,0.43862,0.42681,0.45729,10.729803306971998,10.729803306971998,10.729803306971998,10.729803306971998,10.729803306971998,107.79817306972,107.71264306971999,107.73665306971999,107.72484306972,107.75532306971999
4,1,-0.4,action = 4,11,4,0.47508,0.4505,0.46279,0.46884,0.48752,8.940334221643639,10.949619361836175,10.949619361836175,10.949619361836175,10.949619361836175,89.87842221643639,109.94669361836176,109.95898361836176,109.96503361836176,109.98371361836176
3,0,0.6,action = 3,12,4,0.48752,0.4564,0.48752,0.48752,0.50624,9.101095843896024,11.146511170130486,11.146511170130486,11.146511170130486,9.101095843896024,91.49847843896025,111.92151170130487,111.95263170130487,111.95263170130487,91.51719843896025
2,0,0.6,action = 2,13,4,0.4626,0.44402,0.45021,0.4564,0.48752,9.24651431199679,11.3246115447261,11.3246115447261,9.24651431199679,9.24651431199679,92.9277431199679,113.69013544726099,113.69632544726099,92.92154311996791,92.95266311996791
1,0,0.6,action = 1,14,4,0.46265,0.42586,0.42577,0.43815,0.48147,9.379140921546451,11.487045169221252,9.379140921546451,9.379140921546451,9.379140921546451,94.25405921546451,115.29631169221253,94.21717921546451,94.2295592154645,94.27287921546451
4,0,0.6,action = 4,15,4,0.43806,0.40151,0.41953,0.43792,0.49376,9.500949381155365,9.500949381155365,9.500949381155365,9.500949381155365,9.500949381155365,95.44755381155365,95.41100381155366,95.42902381155365,95.44741381155366,95.50325381155365
0,1,-0.4,action = 0,16,4,0.4564,0.38978,0.43196,0.43182,0.46884,9.613496554858314,9.613496554858314,9.613496554858314,9.613496554858314,8.325535704663851,96.59136554858314,96.52474554858314,96.56692554858314,96.56678554858314,83.72419704663851
2,1,-0.4,action = 2,17,4,0.46931,0.37883,0.42656,0.42563,0.46265,8.41606538270789,9.71803117927909,9.71803117927909,9.71803117927909,8.41606538270789,84.6299638270789,97.55914179279088,97.60687179279088,97.60594179279089,84.6233038270789
