action,label,regret,note,trial,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
4,1,-0.4,action = 4,0,,,,,,,,,,,,,,,
3,0,0.6,action = 3,1,,,,,,,,,,,,,,,
2,0,0.6,action = 2,2,,,,,,,,,,,,,,,
1,1,-0.4,action = 1,3,,,,,,,,,,,,,,,
1,1,-0.4,action = 1,4,,,,,,,,,,,,,,,
0,1,-0.4,action = 0,5,,,,,,,,,,,,,,,
0,1,-0.4,action = 0,6,,,,,,,,,,,,,,,
0,0,0.6,action = 0,7,,,,,,,,,,,,,,,
0,1,-0.4,action = 0,8,,,,,,,,,,,,,,,
4,0,0.6,action = 4,9,,,,,,,,,,,,,,,
0,0,0.6,action = 0,10,0.58024,0.59638,0.46269,0.46293,0.52492,0.11562871615649808,0.10119288512538814,0.08631338250816034,0.10559356040971438,0.0862554346113913,2.8928143231299615,2.6202377025077626,2.1889576501632066,2.5748012081942875,2.250028692227826
3,1,-0.4,action = 3,11,0.53083,0.5495,0.45035,0.44411,0.53027,0.0282842712474619,0.07563068160475615,0.07854934754662193,0.09230384607371461,0.07823042886243178,1.0965154249492381,2.062113632095123,2.0213369509324384,2.2901869214742923,2.094878577248636
4,1,-0.4,action = 4,12,0.50629,0.55574,0.51853,0.54345,0.56075,0.034496376621320685,0.03987480407475377,0.0433589667773576,0.0372827037646145,0.0498998997994986,1.1962175324264137,1.3532360814950755,1.3857093355471521,1.28910407529229,1.558747995989972
0,1,-0.4,action = 0,13,0.5434,0.57414,0.50624,0.54331,0.60373,0.05813776741499453,0.03646916505762094,0.040987803063838396,0.02949576240750525,0.0,1.7061553482998906,1.3035233011524188,1.325996061276768,1.1332252481501048,0.60373
0,0,0.6,action = 0,14,0.59645,0.57305,0.51244,0.54317,0.57982,0.07720103626247513,0.06465291950097846,0.05329165037789691,0.0478539444560216,0.07273238618387273,2.1404707252495023,1.8661083900195692,1.5782730075579383,1.500248889120432,2.0344677236774547
4,0,0.6,action = 4,15,0.5611,0.5801,0.51229,0.55565,0.58024,0.04847679857416329,0.08240145629781066,0.0510881590977792,0.0659545297913646,0.08408329203831164,1.5306359714832658,2.228129125956213,1.534053181955584,1.874740595827292,2.2619058407662327
2,0,0.6,action = 2,16,0.54873,0.59066,0.48761,0.5435,0.56165,0.0,0.0,0.030822070014844882,0.0,0.0,0.54873,0.59066,1.1040514002968975,0.5435,0.56165
0,0,0.6,action = 0,17,0.53693,0.56827,0.48132,0.52492,0.53111,0.09257429448826493,0.0291547594742265,0.042544094772365294,0.019748417658131498,0.055856960175075764,2.3884158897652985,1.15136518948453,1.3322018954473058,0.9198883531626301,1.6482492035015153
