action,label,regret,note,trial,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
2,0,0.6,action = 2,0,,,,,,,,,,,,,,,
2,1,-0.4,action = 2,1,,,,,,,,,,,,,,,
3,1,-0.4,action = 3,2,,,,,,,,,,,,,,,
4,0,0.6,action = 4,3,,,,,,,,,,,,,,,
0,0,0.6,action = 0,4,,,,,,,,,,,,,,,
2,0,0.6,action = 2,5,0.30432,0.3501,0.37402,0.42178,0.34257,0.0,0.0,0.012649110640673518,0.0,0.0,0.30432,0.3501,0.6270022128134703,0.42178,0.34257
0,0,0.6,action = 0,6,0.33688,0.40094,0.34182,0.5021,0.38753,0.19470490492024078,0.14425671561490647,0.16961721610732797,0.10251829105091442,0.1575753787874235,4.230978098404815,3.2860743122981293,3.734164322146559,2.5524658210182882,3.5390375757484698
4,0,0.6,action = 4,7,0.21112,0.33812,0.26894,0.46931,0.33481,0.130384048104053,0.14089002803605372,0.12988456413292535,0.09705668446840743,0.17804493814764855,2.81880096208106,3.155920560721074,2.866631282658507,2.4104436893681487,3.895708762952971
4,0,0.6,action = 4,8,0.1738,0.29588,0.22061,0.43939,0.21732,0.12996153277027783,0.13946325680981353,0.0,0.14484474446799925,0.15732132722552272,2.773030655405557,3.0851451361962705,0.22061,3.336284889359985,3.3637465445104544
1,1,-0.4,action = 1,9,0.1845,0.313,0.2558,0.43295,0.14037,0.1323631368621944,0.16970562748477142,0.0,0.12513992168768526,0.07861297602813418,2.8317627372438876,3.7071125496954287,0.2558,2.935748433753705,1.7126295205626834
0,0,0.6,action = 0,10,0.22479,0.45712,0.3117,0.44497,0.13495,0.16855266239368633,0.1512613632095123,0.13520355024924458,0.15598076804529462,0.01870828693386971,3.5958432478737268,3.4823472641902464,3.0157710049848916,3.5645853609058924,0.5091157386773941
1,0,0.6,action = 1,11,0.13882,0.50619,0.29082,0.51229,0.1152,0.0,0.11384199576606165,0.0,0.11081516141756055,0.0,0.13882,2.783029915321233,0.29082,2.7285932283512113,0.1152
0,1,-0.4,action = 0,12,0.20061,0.36701,0.33949,0.4566,0.21761,0.14949916387726053,0.12609520212918493,0.096850400102426,0.12099586769803339,0.12324771803161307,3.1905932775452106,2.8889140425836985,2.27649800204852,2.8765173539606677,2.6825643606322616
4,0,0.6,action = 4,13,0.32203,0.35464,0.34907,0.37311,0.2558,0.0,0.0,0.0,0.0,0.11045361017187261,0.32203,0.35464,0.34907,0.37311,2.4648722034374524
0,0,0.6,action = 0,14,0.3606,0.38978,0.39556,0.43173,0.19465,0.07127411872482185,0.0,0.05329165037789691,0.05244044240850758,0.0,1.7860823744964371,0.38978,1.4613930075579384,1.4805388481701516,0.19465
0,0,0.6,action = 0,15,0.31093,0.42586,0.39049,0.48132,0.19661,0.08514693182963201,0.06252999280345393,0.0,0.060249481325568274,0.07752418977325723,2.0138686365926404,1.6764598560690787,0.39049,1.6863096265113655,1.7470937954651446
3,0,0.6,action = 3,16,0.2653,0.39118,0.39041,0.48132,0.1946,0.0,0.008366600265340755,0.08526429498916882,0.10881176406988355,0.12062338081814819,0.2653,0.5585120053068151,2.0956958997833763,2.6575552813976713,2.6070676163629636
2,1,-0.4,action = 2,17,0.28227,0.37843,0.35464,0.35549,0.20926,0.08221921916437787,0.09974968671630002,0.12074767078498864,0.05412947441089743,0.11945710527214361,1.9266543832875573,2.3734237343260003,2.769593415699773,1.4380794882179484,2.5984021054428723
4,0,0.6,action = 4,18,0.29854,0.39615,0.37319,0.39017,0.24367,0.10464224768228175,0.0944986772394196,0.04764451699828638,0.08677557259966655,0.12817956155331472,2.391384953645635,2.286123544788392,1.3260803399657277,2.125681451993331,2.8072612310662945
