note,action,label,regret,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
action = 4,4,1,-0.4,0,4,,,,,,,,,,,,,,,
action = 0,0,1,-0.4,1,4,,,,,,,,,,,,,,,
action = 0,0,0,0.6,2,4,,,,,,,,,,,,,,,
action = 1,1,0,0.6,3,4,,,,,,,,,,,,,,,
action = 0,0,0,0.6,4,4,,,,,,,,,,,,,,,
action = 4,4,1,-0.4,5,4,0.32815,0.40316,0.40831,0.4443,0.48132,0.10207840124139876,0.11823705003085962,0.09115920140062658,0.11423659658795862,0.16628289148315892,1.3489340124139875,1.5855305003085962,1.3199020140062658,1.586665965879586,2.144148914831589
action = 4,4,1,-0.4,6,4,0.47198,0.33523,0.384,0.45031,0.67784,0.1638596960817394,0.07021395872616784,0.12304470732217619,0.14436065946094873,0.17134759992483117,2.1105769608173937,1.0373695872616784,1.6144470732217617,1.8939165946094874,2.3913159992483117
action = 3,3,1,-0.4,7,4,0.38632,0.29499,0.39049,0.45683,0.79706,0.10074720839804942,0.1267675037223657,0.169941166289984,0.1724818831066034,0.11296016997154351,1.3937920839804943,1.562665037223657,2.08990166289984,2.181648831066034,1.926661699715435
action = 3,3,0,0.6,8,4,0.42114,0.36806,0.48132,0.63848,0.74927,0.06442049363362563,0.11300442469213319,0.13307892395116516,0.18022208521710095,0.09412757300600075,1.0653449363362564,1.498104246921332,1.8121092395116516,2.4407008521710094,1.6905457300600073
action = 3,3,0,0.6,9,4,0.43944,0.44637,0.46354,0.5115,0.66919,0.022360679774997897,0.062048368229954284,0.0,0.06648308055437865,0.027386127875258306,0.663046797749979,1.066853682299543,0.46354,1.1763308055437864,0.943051278752583
action = 1,1,0,0.6,10,4,0.48619,0.4328,0.45411,0.56929,0.6626,0.10261578825892241,0.13931977605494492,0.10079682534683322,0.08455767262643882,0.08944271909999159,1.512347882589224,1.8259977605494493,1.4620782534683323,1.4148667262643881,1.5570271909999158
action = 0,0,0,0.6,11,4,0.43334,0.30609,0.41814,0.46622,0.68403,0.091706052144883,0.0,0.0,0.047116875957558986,0.0,1.3504005214488302,0.30609,0.41814,0.9373887595755899,0.68403
action = 4,4,1,-0.4,12,4,0.35024,0.31947,0.4328,0.45715,0.64783,0.08876936408468859,0.0719027120489902,0.06434283176858165,0.044045431091090485,0.08378544026261364,1.237933640846886,1.0384971204899018,1.0762283176858165,0.8976043109109049,1.4856844026261364
action = 4,4,0,0.6,13,4,0.34478,0.29803,0.38915,0.45379,0.70793,0.0,0.08905054744357274,0.0,0.08136338242723197,0.14415269681833912,0.34478,1.1885354744357275,0.38915,1.2674238242723197,2.149456968183391
action = 0,0,1,-0.4,14,4,0.42032,0.34498,0.37843,0.46973,0.62062,0.1289961239727768,0.08485281374238571,0.07556454194925025,0.10564090116995406,0.0,1.710281239727768,1.1935081374238572,1.1340754194925025,1.5261390116995406,0.62062
