note,action,label,regret,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
action = 4,4,1,-0.4,0,4,,,,,,,,,,,,,,,
action = 3,3,0,0.6,1,4,,,,,,,,,,,,,,,
action = 2,2,0,0.6,2,4,,,,,,,,,,,,,,,
action = 1,1,1,-0.4,3,4,,,,,,,,,,,,,,,
action = 1,1,1,-0.4,4,4,,,,,,,,,,,,,,,
action = 4,4,0,0.6,5,4,0.45628,0.71775,0.4505,0.47646,0.6758,0.4980863378973569,0.4500888801114731,0.49754396790635497,0.4994496971667918,0.4680705075092854,2.9467116894867846,2.9681944005573655,2.938219839531775,2.9737084858339586,3.016152537546427
action = 1,1,1,-0.4,6,4,0.43302,0.56966,0.50157,0.53721,0.5203,0.4954896568042566,0.49512624652708526,0.5,0.49861809032565196,0.49958983176201655,2.9104682840212828,3.0452912326354262,3.00157,3.0303004516282597,3.0182491588100824
action = 1,1,0,0.6,7,4,0.36466,0.54562,0.36637,0.40137,0.47351,0.48133148660772235,0.49791565550803885,0.481809090823326,0.4901734386928774,0.49929950931279715,2.771317433038612,3.0351982775401942,2.77541545411663,2.852237193464387,2.970007546563986
action = 1,1,1,-0.4,8,4,0.40292,0.49376,0.43844,0.42629,0.48137,0.4904895513667952,0.499959998399872,0.49619552597741146,0.49454019048000536,0.4996498774141749,2.8553677568339757,2.99355999199936,2.9194176298870573,2.898990952400027,2.9796193870708745
action = 1,1,1,-0.4,9,4,0.39308,0.50038,0.40338,0.41572,0.43412,0.4884362803887525,0.5,0.490581287861655,0.4928488612140643,0.49564099911125187,2.8352614019437623,3.00038,2.856286439308275,2.8799643060703213,2.9123249955562596
action = 1,1,0,0.6,10,4,0.4148,0.57221,0.43835,0.40183,0.45078,0.4926865129065337,0.49476256931987084,0.4961854492022111,0.49026523433749614,0.4975741150823664,2.8782325645326687,3.0460228465993544,2.919277246011055,2.8531561716874805,2.938650575411832
action = 1,1,1,-0.4,11,4,0.41034,0.48637,0.4092,0.40833,0.47554,0.49189429758841485,0.49980996388627547,0.49168079075758087,0.4915282290977803,0.4993996395673509,2.869811487942074,2.9854198194313772,2.8676039537879046,2.8659711454889014,2.9725381978367547
action = 1,1,0,0.6,12,4,0.41024,0.51691,0.43397,0.43925,0.48216,0.49187396759739177,0.49970991585118657,0.4956208228071133,0.49629628247650615,0.49967989753441155,2.8696098379869586,3.015459579255933,2.9120741140355664,2.9207314123825308,2.980559487672058
action = 1,1,1,-0.4,13,4,0.37759,0.42499,0.36309,0.36073,0.39639,0.4847886137276741,0.49433794108888707,0.48088460154178364,0.4802082881417188,0.48915232801245057,2.8015330686383706,2.896679705444435,2.7675130077089185,2.7617714407085936,2.8421516400622533
action = 1,1,0,0.6,14,4,0.39668,0.5397,0.39019,0.37406,0.4383,0.4892136547562833,0.4984174956800774,0.4877909388252308,0.48388015045050153,0.4961753722223625,2.8427482737814165,3.031787478400387,2.8291446941261538,2.793460752252508,2.9191768611118123
action = 1,1,1,-0.4,15,4,0.41962,0.55505,0.40137,0.39559,0.44031,0.4934977203594764,0.496960763038693,0.4901734386928774,0.48897852713590606,0.49642723535277555,2.887108601797382,3.039853815193465,2.852237193464387,2.84048263567953,2.922446176763878
action = 1,1,0,0.6,16,4,0.36368,0.48189,0.35023,0.35528,0.40151,0.48106132665181056,0.49966989102806664,0.47704297500330095,0.4786021312113017,0.49020403915104577,2.7689866332590527,2.980239455140333,2.735444875016505,2.7482906560565086,2.8525301957552287
action = 1,1,0,0.6,17,4,0.40324,0.49419,0.40292,0.39823,0.43939,0.4905507109361885,0.499969999099946,0.4904895513667952,0.48953038720798525,0.49631643132179293,2.8559935546809423,2.99403999549973,2.8553677568339757,2.845881936039926,2.9209721566089644
action = 4,4,1,-0.4,18,4,0.4383,0.44565,0.42078,0.43853,0.45697,0.4961753722223625,0.49704124577342673,0.4936800583373811,0.4962056025479761,0.4981465647778774,2.9191768611118123,2.9308562288671336,2.889180291686906,2.9195580127398806,2.947702823889387
