note,action,label,regret,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
action = 2,2,1,-0.30000000000000004,0,2,,,,,,,,,,,,,,,
action = 4,4,1,-0.30000000000000004,1,2,,,,,,,,,,,,,,,
action = 4,4,1,-0.30000000000000004,2,2,,,,,,,,,,,,,,,
action = 1,1,1,-0.30000000000000004,3,2,,,,,,,,,,,,,,,
action = 0,0,1,-0.30000000000000004,4,2,,,,,,,,,,,,,,,
action = 0,0,1,-0.30000000000000004,5,2,0.92738,0.93477,0.94482,0.95249,0.94573,0.25951878544721957,0.24692104001076945,0.22831995094603538,0.21274397758808591,0.2265391798343059,1.4464175708944391,1.428612080021539,1.4014599018920708,1.3779779551761717,1.3988083596686118
action = 0,0,1,-0.30000000000000004,6,2,0.92446,0.94751,0.95813,0.95791,0.96193,0.264253666010521,0.22300224214119463,0.20027481119701498,0.20079840636817814,0.19136352839556445,1.452967332021042,1.3935144842823892,1.35867962239403,1.3595068127363563,1.344657056791129
action = 0,0,0,0.7,7,2,0.94656,0.96278,0.97336,0.96597,0.97011,0.22492220877450053,0.1892881401461803,0.16102794788483146,0.18130085493455347,0.17026450011673014,1.3964044175490011,1.3413562802923606,1.2954158957696629,1.328571709869107,1.3106390002334602
action = 0,0,0,0.7,8,2,0.74247,0.7837,0.83454,0.83763,0.82298,0.43727565676584373,0.4117280655966994,0.37159117319979496,0.36879533619610755,0.3816935943921511,1.6170213135316875,1.6071561311933986,1.57772234639959,1.575220672392215,1.5863671887843023
action = 3,3,0,0.7,9,2,0.44759,0.6232,0.67051,0.6915,0.68757,0.49724239561807276,0.48458229435256917,0.47003191381011566,0.4618766068984226,0.4634867851406338,1.4420747912361456,1.5923645887051383,1.6105738276202315,1.6152532137968452,1.6145435702812676
action = 4,4,0,0.7,10,2,0.47527,0.58033,0.57404,0.50619,0.61515,0.49938962744534454,0.4935078520145348,0.49448963588734596,0.499959998399872,0.48655934889795305,1.4740492548906892,1.5673457040290697,1.5630192717746918,1.506109996799744,1.5882686977959062
action = 2,2,1,-0.30000000000000004,11,2,0.48752,0.53731,0.5374,0.50605,0.52487,0.4998399743918047,0.498608062510024,0.4985980344927164,0.499959998399872,0.49937961512260387,1.4871999487836094,1.534526125020048,1.5345960689854328,1.505969996799744,1.5236292302452077
action = 2,2,0,0.7,12,2,0.48826,0.53712,0.56603,0.46317,0.47041,0.4998599803945101,0.49861809032565196,0.4956208228071133,0.49863814535191747,0.49911922423405014,1.48797996078902,1.534356180651304,1.5572716456142266,1.460446290703835,1.4686484484681004
action = 1,1,1,-0.30000000000000004,13,2,0.50629,0.54298,0.52458,0.51244,0.51248,0.499959998399872,0.4981465647778774,0.4993996395673509,0.49984997749324744,0.4998399743918047,1.506209996799744,1.5392731295557547,1.5233792791347018,1.512139954986495,1.5121599487836095
action = 3,3,1,-0.30000000000000004,14,2,0.48794,0.50043,0.48841,0.51286,0.49,0.49984997749324744,0.5,0.4998699830956046,0.4998299710901698,0.4998999899979995,1.487639954986495,1.5004300000000002,1.4881499661912092,1.5125199421803397,1.4897999799959991
action = 1,1,0,0.7,15,2,0.51234,0.54331,0.52492,0.54317,0.54279,0.49984997749324744,0.49811645224786544,0.49937961512260387,0.49813652747013043,0.49816663878666145,1.512039954986495,1.5395429044957307,1.5236792302452078,1.539443054940261,1.539123277573323
action = 3,3,1,-0.30000000000000004,16,2,0.52478,0.51858,0.48137,0.54927,0.52449,0.49938962744534454,0.4996498774141749,0.4996498774141749,0.4975640662266519,0.4993996395673509,1.523559254890689,1.5178797548283498,1.4806697548283498,1.5443981324533038,1.5232892791347017
action = 1,1,0,0.7,17,2,0.51229,0.53102,0.51873,0.5,0.5,0.49984997749324744,0.49903907662626984,0.4996498774141749,0.5,0.5,1.511989954986495,1.5290981532525398,1.51802975482835,1.5,1.5
action = 1,1,1,-0.30000000000000004,18,2,0.48156,0.53721,0.51844,0.52478,0.51853,0.49965988432132513,0.49861809032565196,0.49965988432132513,0.49938962744534454,0.49965988432132513,1.4808797686426503,1.534446180651304,1.5177597686426503,1.523559254890689,1.5178497686426504
action = 3,3,0,0.7,19,2,0.51868,0.53092,0.53726,0.54979,0.5436,0.4996498774141749,0.49903907662626984,0.498608062510024,0.49751381890355567,0.49809637621649083,1.5179797548283498,1.5289981532525396,1.5344761250200478,1.5448176378071112,1.5397927524329815
action = 2,2,0,0.7,20,2,0.49465,0.5,0.53111,0.50028,0.47556,0.499969999099946,0.5,0.49902905727021546,0.5,0.4993996395673509,1.494589998199892,1.5,1.5291681145404308,1.50028,1.4743592791347018
action = 0,0,1,-0.30000000000000004,21,2,0.51868,0.50624,0.51248,0.50624,0.50624,0.4996498774141749,0.499959998399872,0.4998399743918047,0.499959998399872,0.499959998399872,1.5179797548283498,1.5061599967997439,1.5121599487836095,1.5061599967997439,1.5061599967997439
action = 2,2,0,0.7,22,2,0.5,0.49376,0.50624,0.48127,0.48752,0.5,0.499959998399872,0.499959998399872,0.4996498774141749,0.4998399743918047,1.5,1.4936799967997438,1.5061599967997439,1.4805697548283496,1.4871999487836094
action = 1,1,1,-0.30000000000000004,23,2,0.51868,0.52492,0.5,0.51248,0.51248,0.4996498774141749,0.49937961512260387,0.5,0.4998399743918047,0.4998399743918047,1.5179797548283498,1.5236792302452078,1.5,1.5121599487836095,1.5121599487836095
action = 1,1,1,-0.30000000000000004,24,2,0.51868,0.52449,0.49376,0.51244,0.46302,0.4996498774141749,0.4993996395673509,0.499959998399872,0.49984997749324744,0.49862811793961237,1.5179797548283498,1.5232892791347017,1.4936799967997438,1.512139954986495,1.4602762358792247
action = 0,0,1,-0.30000000000000004,25,2,0.56208,0.55574,0.54322,0.52492,0.51853,0.4961350622562368,0.49688026726767887,0.4981264899601305,0.49937961512260387,0.49965988432132513,1.5543501245124736,1.5495005345353579,1.5394729799202609,1.5236792302452078,1.5178497686426504
action = 1,1,1,-0.30000000000000004,26,2,0.56818,0.58047,0.53735,0.53111,0.5436,0.49532817404222024,0.4934774564253163,0.4985980344927164,0.49902905727021546,0.49809637621649083,1.5588363480844405,1.5674249128506328,1.5345460689854327,1.5291681145404308,1.5397927524329815
action = 0,0,1,-0.30000000000000004,27,2,0.59849,0.59835,0.53735,0.52487,0.5374,0.49020403915104577,0.4902346376991328,0.4985980344927164,0.49937961512260387,0.4985980344927164,1.5788980783020916,1.5788192753982657,1.5345460689854327,1.5236292302452077,1.5345960689854328
action = 0,0,0,0.7,28,2,0.58578,0.57954,0.53111,0.53106,0.53735,0.492585018042571,0.4936294156551046,0.49902905727021546,0.49903907662626984,0.4985980344927164,1.5709500360851418,1.5667988313102093,1.5291681145404308,1.5291381532525397,1.5345460689854327
action = 1,1,0,0.7,29,2,0.54965,0.5617,0.50619,0.52492,0.54345,0.49753391844174805,0.4961753722223625,0.499959998399872,0.49937961512260387,0.498106414333323,1.5447178368834962,1.5540507444447251,1.506109996799744,1.5236792302452078,1.5396628286666458
action = 0,0,1,-0.30000000000000004,30,2,0.58629,0.56185,0.54345,0.54969,0.54969,0.49249365478146007,0.4961652950378533,0.498106414333323,0.4975238687741524,0.4975238687741524,1.57127730956292,1.5541805900757066,1.5396628286666458,1.5447377375483047,1.5447377375483047
action = 0,0,0,0.7,31,2,0.57437,0.53111,0.51248,0.50624,0.51248,0.49443907612566385,0.49902905727021546,0.4998399743918047,0.499959998399872,0.4998399743918047,1.5632481522513277,1.5291681145404308,1.5121599487836095,1.5061599967997439,1.5121599487836095
action = 1,1,1,-0.30000000000000004,32,2,0.51248,0.5435,0.50005,0.49376,0.51868,0.4998399743918047,0.498106414333323,0.5,0.499959998399872,0.4996498774141749,1.5121599487836095,1.539712828666646,1.5000499999999999,1.4936799967997438,1.5179797548283498
