note,action,label,regret,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
action = 4,4,0,0.7999999999999999,0,4,,,,,,,,,,,,,,,
action = 3,3,0,0.7999999999999999,1,4,,,,,,,,,,,,,,,
action = 3,3,1,-0.20000000000000007,2,4,,,,,,,,,,,,,,,
action = 4,4,1,-0.20000000000000007,3,4,,,,,,,,,,,,,,,
action = 2,2,0,0.7999999999999999,4,4,,,,,,,,,,,,,,,
action = 2,2,1,-0.20000000000000007,5,4,0.35285,0.3615,0.54589,0.43825,0.39587,0.0,0.0,0.08567379996241559,0.0888819441731559,0.0,0.35285,0.3615,0.7172375999248312,0.6160138883463118,0.39587
action = 1,1,0,0.7999999999999999,6,4,0.40842,0.40246,0.39823,0.35245,0.39356,0.0,0.05176871642217914,0.0,0.0,0.0,0.40842,0.5059974328443583,0.39823,0.35245,0.39356
action = 4,4,1,-0.20000000000000007,7,4,0.45642,0.56071,0.42933,0.47162,0.51871,0.08473488065725944,0.03924283374069717,0.0523450093132096,0.08538149682454624,0.09159694318043589,0.6258897613145189,0.6391956674813943,0.5340200186264192,0.6423829936490925,0.7019038863608718
action = 1,1,1,-0.20000000000000007,8,4,0.45884,0.48844,0.39746,0.47522,0.44481,0.03178049716414141,0.050199601592044535,0.0,0.0396232255123179,0.0,0.5224009943282828,0.588839203184089,0.39746,0.5544664510246358,0.44481
action = 3,3,1,-0.20000000000000007,9,4,0.46941,0.42724,0.37562,0.49381,0.45159,0.06058052492344384,0.0,0.0,0.060909769331364244,0.023874672772626643,0.5905710498468877,0.42724,0.37562,0.6156295386627285,0.4993393455452533
action = 4,4,1,-0.20000000000000007,10,4,0.46927,0.52959,0.53492,0.54303,0.53102,0.031144823004794875,0.027568097504180444,0.028106938645110394,0.027748873851023214,0.05805170109479997,0.5315596460095897,0.5847261950083609,0.5911338772902207,0.5985277477020464,0.6471234021896
action = 4,4,1,-0.20000000000000007,11,4,0.48799,0.549,0.57232,0.56489,0.5821,0.04195235392680606,0.0,0.0,0.0,0.0,0.5718947078536121,0.549,0.57232,0.56489,0.5821
action = 4,4,1,-0.20000000000000007,12,4,0.53735,0.51873,0.57404,0.57382,0.57968,0.07810249675906655,0.10237187113655782,0.09214119599831554,0.11836384583140241,0.14394443372357266,0.6935549935181331,0.7234737422731157,0.7583223919966311,0.8105476916628048,0.8675688674471453
action = 4,4,1,-0.20000000000000007,13,4,0.53721,0.61965,0.62016,0.64251,0.6864,0.07049822692805827,0.0,0.0,0.0,0.0,0.6782064538561166,0.61965,0.62016,0.64251,0.6864
action = 4,4,1,-0.20000000000000007,14,4,0.52492,0.58033,0.58611,0.63402,0.67612,0.09736529155710469,0.056480084985771756,0.053851648071345036,0.0,0.13546217184144066,0.7196505831142095,0.6932901699715435,0.69381329614269,0.63402,0.9470443436828814
action = 4,4,0,0.7999999999999999,15,4,0.58024,0.60387,0.61579,0.64451,0.76387,0.09300537618869137,0.062048368229954284,0.03860051813123756,0.03794733192202055,0.07049822692805827,0.7662507523773827,0.7279667364599086,0.692991036262475,0.7204046638440411,0.9048664538561166
action = 0,0,0,0.7999999999999999,16,4,0.54345,0.57423,0.58611,0.62189,0.65114,0.07007139216541941,0.0,0.0,0.0,0.0,0.6835927843308388,0.57423,0.58611,0.62189,0.65114
action = 4,4,1,-0.20000000000000007,17,4,0.47532,0.54303,0.54895,0.59785,0.63362,0.08414273587185052,0.049497474683058325,0.034351128074635334,0.0,0.07328028384224504,0.6436054717437011,0.6420249493661166,0.6176522561492708,0.59785,0.7801805676844901
action = 4,4,0,0.7999999999999999,18,4,0.46889,0.53707,0.54969,0.59267,0.66669,0.09311283477587824,0.08514693182963201,0.07443117626371358,0.09396807968666807,0.14594519519326424,0.6551156695517565,0.7073638636592641,0.6985523525274272,0.7806061593733362,0.9585803903865284
