note,action,label,regret,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
action = 4,4,1,-0.30000000000000004,0,4,,,,,,,,,,,,,,,
action = 3,3,0,0.7,1,4,,,,,,,,,,,,,,,
action = 2,2,0,0.7,2,4,,,,,,,,,,,,,,,
action = 1,1,1,-0.30000000000000004,3,4,,,,,,,,,,,,,,,
action = 1,1,1,-0.30000000000000004,4,4,,,,,,,,,,,,,,,
action = 4,4,1,-0.30000000000000004,5,4,0.56725,0.76956,0.34002,0.37543,0.69107,0.12099586769803339,0.0,0.11717508267545622,0.08854377448471462,0.06549809157525126,0.8092417353960668,0.76956,0.5743701653509125,0.5525175489694292,0.8220661831505025
action = 4,4,0,0.7,6,4,0.48623,0.7112,0.27174,0.32482,0.74842,0.15540270267920053,0.1956527536223296,0.0,0.0,0.2525074256333861,0.797035405358401,1.1025055072446592,0.27174,0.32482,1.2534348512667721
action = 1,1,1,-0.30000000000000004,7,4,0.56685,0.69737,0.49932,0.53424,0.68412,0.09364827814754524,0.13168143377105218,0.05118593556827891,0.05576737397439474,0.10074720839804942,0.7541465562950904,0.9607328675421044,0.6016918711365578,0.6457747479487895,0.8856144167960988
action = 1,1,1,-0.30000000000000004,8,4,0.55476,0.76871,0.41529,0.46299,0.7078,0.18055470085267789,0.15407790237409127,0.18563404860100421,0.18264720090929398,0.0,0.9158694017053558,1.0768658047481825,0.7865580972020084,0.828284401818588,0.7078
action = 1,1,1,-0.30000000000000004,9,4,0.61054,0.84452,0.35836,0.35613,0.70814,0.15261061562027722,0.10104454463255302,0.12181953866272849,0.07280109889280519,0.0,0.9157612312405544,1.046609089265106,0.601999077325457,0.5017321977856104,0.70814
action = 0,0,0,0.7,10,4,0.66066,0.88199,0.34354,0.36948,0.6552,0.1938556163746617,0.062369864518050704,0.2053290042833696,0.1835211159512714,0.13107249902248755,1.0483712327493233,1.0067297290361015,0.7541980085667392,0.7365222319025428,0.917344998044975
action = 1,1,1,-0.30000000000000004,11,4,0.37174,0.81565,0.31601,0.37695,0.64344,0.1530686120666154,0.087692645073575,0.09192388155425117,0.14966629547095767,0.16480291259562133,0.6778772241332308,0.99103529014715,0.4998577631085024,0.6762825909419153,0.9730458251912426
action = 1,1,0,0.7,12,4,0.34817,0.85695,0.31574,0.32748,0.65457,0.19939909728983227,0.12569805089976535,0.1840652058374966,0.19393297811357407,0.18382056468197458,0.7469681945796645,1.1083461017995306,0.6838704116749932,0.7153459562271481,1.022211129363949
