action,label,regret,note,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
3,0,0.6,action = 3,0,3,,,,,,,,,,,,,,,
4,0,0.6,action = 4,1,3,,,,,,,,,,,,,,,
0,0,0.6,action = 0,2,3,,,,,,,,,,,,,,,
4,0,0.6,action = 4,3,3,,,,,,,,,,,,,,,
2,0,0.6,action = 2,4,3,,,,,,,,,,,,,,,
1,0,0.6,action = 1,5,3,0.02331,0.05694,0.02445,0.02391,0.02219,0.023664319132398463,0.1375499909123952,0.04312771730569565,0.02932575659723036,0.027202941017470887,0.07063863826479692,0.3320399818247904,0.1107054346113913,0.08256151319446073,0.07659588203494178
3,1,-0.4,action = 3,6,3,0.02492,0.02332,0.0188,0.02093,0.02123,0.01870828693386971,0.0,0.0,0.052153619241621194,0.0,0.062336573867739414,0.02332,0.0188,0.1252372384832424,0.02123
4,0,0.6,action = 4,7,3,0.09919,0.10019,0.12476,0.15638,0.11549,0.07854934754662193,0.0719027120489902,0.11558546621439912,0.0,0.14028542333400146,0.25628869509324387,0.2439954240979804,0.35593093242879825,0.15638,0.3960608466680029
4,1,-0.4,action = 4,8,3,0.07725,0.08094,0.08336,0.18816,0.06989,0.0,0.0,0.0,0.0,0.06356099432828281,0.07725,0.08094,0.08336,0.18816,0.1970119886565656
4,1,-0.4,action = 4,9,3,0.16619,0.15541,0.1632,0.23491,0.24103,0.0,0.0,0.0,0.0,0.0,0.16619,0.15541,0.1632,0.23491,0.24103
1,0,0.6,action = 1,10,3,0.37731,0.37995,0.4113,0.49068,0.47509,0.1901578291840754,0.19954949260772376,0.17143511892258248,0.13498148021117565,0.14237275020171522,0.7576256583681508,0.7790489852154475,0.7541702378451649,0.7606429604223512,0.7598355004034305
3,1,-0.4,action = 3,11,3,0.25131,0.20749,0.27976,0.36733,0.36874,0.139427400463467,0.037682887362833546,0.1444299137990465,0.10193134944657606,0.08677557259966655,0.530164800926934,0.2828557747256671,0.5686198275980929,0.5711926988931522,0.5422911451993331
3,0,0.6,action = 3,12,3,0.23614,0.23727,0.26869,0.49267,0.41195,0.0,0.0,0.0,0.09338094023943001,0.0763544366752843,0.23614,0.23727,0.26869,0.67943188047886,0.5646588733505686
3,0,0.6,action = 3,13,3,0.24626,0.22927,0.26951,0.39209,0.38946,0.0,0.07503332592921627,0.03847076812334269,0.05347896782848375,0.0,0.24626,0.37933665185843257,0.3464515362466854,0.4990479356569675,0.38946
3,0,0.6,action = 3,14,3,0.22237,0.20535,0.24538,0.35042,0.37804,0.0,0.0,0.0,0.04195235392680606,0.010488088481701515,0.22237,0.20535,0.24538,0.4343247078536121,0.399016176963403
3,1,-0.4,action = 3,15,3,0.22327,0.19733,0.23516,0.31949,0.35123,0.0,0.0,0.0,0.04266145801540308,0.01760681686165901,0.22327,0.19733,0.23516,0.40481291603080616,0.386443633723318
4,0,0.6,action = 4,16,3,0.26503,0.25074,0.27086,0.38386,0.39556,0.0,0.0,0.0,0.0,0.0,0.26503,0.25074,0.27086,0.38386,0.39556
3,0,0.6,action = 3,17,3,0.2617,0.24862,0.26786,0.39574,0.37829,0.0,0.0,0.0,0.0,0.0,0.2617,0.24862,0.26786,0.39574,0.37829
0,0,0.6,action = 0,18,3,0.32315,0.29494,0.32345,0.39274,0.41632,0.10751744044572491,0.060332412515993424,0.05282045058497703,0.0,0.015811388300841896,0.5381848808914498,0.4156048250319868,0.4290909011699541,0.39274,0.4479427766016838
2,0,0.6,action = 2,19,3,0.25718,0.26539,0.31083,0.42283,0.42903,0.1724528921183985,0.17541379649275024,0.17977764043395386,0.11220516922138658,0.08390470785361212,0.602085784236797,0.6162175929855005,0.6703852808679077,0.6472403384427732,0.5968394157072243
4,0,0.6,action = 4,20,3,0.18559,0.17401,0.19962,0.362,0.39115,0.0,0.0,0.0,0.0,0.07148426400264607,0.18559,0.17401,0.19962,0.362,0.5341185280052921
3,0,0.6,action = 3,21,3,0.21521,0.22925,0.2373,0.36113,0.34051,0.11545561917897283,0.12173742234826561,0.11331372379372236,0.14173919711921612,0.10094552986635912,0.4461212383579457,0.4727248446965312,0.46392744758744475,0.6446083942384322,0.5424010597327182
4,0,0.6,action = 4,22,3,0.16738,0.17013,0.18589,0.27486,0.29655,0.0,0.0,0.0,0.0,0.0,0.16738,0.17013,0.18589,0.27486,0.29655
3,0,0.6,action = 3,23,3,0.16151,0.17283,0.17884,0.2998,0.29554,0.0,0.0,0.0,0.0,0.0,0.16151,0.17283,0.17884,0.2998,0.29554
3,0,0.6,action = 3,24,3,0.17519,0.1964,0.19496,0.29526,0.29185,0.0,0.0,0.0,0.0,0.0,0.17519,0.1964,0.19496,0.29526,0.29185
