note,action,label,regret,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
action = 3,3,1,-0.30000000000000004,0,3,,,,,,,,,,,,,,,
action = 4,4,1,-0.30000000000000004,1,3,,,,,,,,,,,,,,,
action = 4,4,0,0.7,2,3,,,,,,,,,,,,,,,
action = 2,2,1,-0.30000000000000004,3,3,,,,,,,,,,,,,,,
action = 4,4,0,0.7,4,3,,,,,,,,,,,,,,,
action = 3,3,0,0.7,5,3,0.55546,0.56124,0.5729,0.57298,0.44911,0.4969104547099004,0.4962358310319802,0.4946615004222584,0.4946412841645954,0.49740325692540455,1.5492809094198008,1.5537116620639604,1.5622230008445168,1.5622625683291909,1.4439165138508092
action = 2,2,0,0.7,6,3,0.46903,0.46918,0.50624,0.43825,0.42628,0.49903907662626984,0.4990490957811666,0.499959998399872,0.4961753722223625,0.4945300799749192,1.4671081532525396,1.4672781915623332,1.5061599967997439,1.430600744444725,1.4153401599498383
action = 3,3,0,0.7,7,3,0.36772,0.36268,0.37885,0.37885,0.35121,0.4821825380496478,0.48077021538360715,0.48509792825779,0.48509792825779,0.47734683407350675,1.3320850760992955,1.3242204307672143,1.34904585651558,1.34904585651558,1.3059036681470135
action = 2,2,1,-0.30000000000000004,8,3,0.33569,0.33455,0.37938,0.36264,0.34311,0.4722287581247038,0.47183683620505934,0.48523190332046384,0.4807598152924181,0.47475256713365965,1.2801475162494076,1.2782236724101188,1.3498438066409277,1.3241596305848362,1.2926151342673193
action = 2,2,1,-0.30000000000000004,9,3,0.5244,0.53245,0.53928,0.51135,0.51766,0.4993996395673509,0.49894889517865454,0.49845762106722774,0.4998699830956046,0.49968990384037176,1.5231992791347018,1.530347790357309,1.5361952421344554,1.5110899661912092,1.5170398076807436
action = 2,2,0,0.7,10,3,0.51248,0.48147,0.54946,0.4444,0.46279,0.4998399743918047,0.49965988432132513,0.49754396790635497,0.49690039243293016,0.49861809032565196,1.5121599487836095,1.4807897686426503,1.5445479358127099,1.4382007848658604,1.460026180651304
action = 0,0,0,0.7,11,3,0.49376,0.46884,0.46889,0.43792,0.4564,0.499959998399872,0.49902905727021546,0.49902905727021546,0.4961350622562368,0.49809637621649083,1.4936799967997438,1.466898114540431,1.4669481145404308,1.4301901245124737,1.4525927524329816
action = 2,2,1,-0.30000000000000004,12,3,0.39605,0.42586,0.46279,0.42586,0.43825,0.48908077042549936,0.4944694126030446,0.49861809032565196,0.4944694126030446,0.4961753722223625,1.3742115408509987,1.4147988252060892,1.460026180651304,1.4147988252060892,1.430600744444725
action = 2,2,1,-0.30000000000000004,13,3,0.47503,0.46894,0.54116,0.46265,0.51201,0.49937961512260387,0.49903907662626984,0.49830713420540146,0.4985980344927164,0.4998599803945101,1.4737892302452078,1.4670181532525397,1.537774268410803,1.4598460689854327,1.5117299607890202
action = 2,2,0,0.7,14,3,0.44017,0.45725,0.51839,0.45792,0.45729,0.49640709100495334,0.49816663878666145,0.49965988432132513,0.49822685596021415,0.49817667548772293,1.4329841820099067,1.4535832775733228,1.5177097686426504,1.4543737119204283,1.4536433509754458
action = 2,2,1,-0.30000000000000004,15,3,0.44549,0.46334,0.52478,0.45702,0.4444,0.49702112631154827,0.49865819957161034,0.49938962744534454,0.4981465647778774,0.49690039243293016,1.4395322526230965,1.4606563991432207,1.523559254890689,1.4533131295557546,1.4382007848658604
action = 2,2,1,-0.30000000000000004,16,3,0.44017,0.46302,0.56096,0.46345,0.47522,0.49640709100495334,0.49862811793961237,0.49626605767471144,0.49865819957161034,0.49938962744534454,1.4329841820099067,1.4602762358792247,1.5534921153494228,1.4607663991432207,1.473999254890689
action = 2,2,0,0.7,17,3,0.44017,0.46959,0.58391,0.48212,0.47536,0.49640709100495334,0.499069133487536,0.49290972804358407,0.49967989753441155,0.49938962744534454,1.4329841820099067,1.467728266975072,1.5697294560871682,1.481479795068823,1.474139254890689
action = 2,2,1,-0.30000000000000004,18,3,0.45031,0.4505,0.57305,0.48752,0.47522,0.4975238687741524,0.49754396790635497,0.494631175725914,0.4998399743918047,0.49938962744534454,1.4453577375483047,1.44558793581271,1.562312351451828,1.4871999487836094,1.473999254890689
action = 2,2,1,-0.30000000000000004,19,3,0.46412,0.48794,0.59825,0.50619,0.49376,0.49870833159272565,0.49984997749324744,0.49025503567021117,0.499959998399872,0.499959998399872,1.4615366631854512,1.487639954986495,1.5787600713404224,1.506109996799744,1.4936799967997438
action = 2,2,1,-0.30000000000000004,20,3,0.47975,0.4788,0.60097,0.51575,0.50123,0.49958983176201655,0.49954979731754473,0.48969378186781176,0.4997499374687305,0.5,1.478929663524033,1.4778995946350895,1.5803575637356235,1.515249874937461,1.50123
action = 2,2,1,-0.30000000000000004,21,3,0.42019,0.46903,0.64024,0.46336,0.47036,0.49358889776817305,0.49903907662626984,0.4799270777941166,0.49865819957161034,0.49911922423405014,1.4073677955363462,1.4671081532525396,1.6000941555882333,1.4606763991432206,1.4685984484681003
action = 2,2,0,0.7,22,3,0.4241,0.48221,0.5902,0.48894,0.48794,0.49420643459995545,0.49967989753441155,0.49179263922917754,0.49987998559654295,0.49984997749324744,1.412512869199911,1.4815697950688231,1.573785278458355,1.488699971193086,1.487639954986495
action = 2,2,0,0.7,23,3,0.45064,0.48756,0.63204,0.51784,0.5055,0.4975540171679855,0.49984997749324744,0.4822551192055923,0.49967989753441155,0.499969999099946,1.445748034335971,1.4872599549864949,1.5965502384111847,1.517199795068823,1.505439998199892
action = 2,2,0,0.7,24,3,0.40887,0.48,0.65701,0.48619,0.49867,0.49161977177489513,0.49959983987187184,0.47471043805671687,0.49980996388627547,0.5,1.3921095435497903,1.4791996797437437,1.6064308761134338,1.485809927772551,1.49867
action = 2,2,1,-0.30000000000000004,25,3,0.41468,0.4382,0.60718,0.45035,0.46274,0.49266621560646917,0.4961652950378533,0.4883748560276215,0.49753391844174805,0.498608062510024,1.4000124312129383,1.4305305900757066,1.5839297120552431,1.445417836883496,1.459956125020048
action = 2,2,1,-0.30000000000000004,26,3,0.43234,0.46908,0.6014,0.48147,0.49376,0.4953988292275225,0.49903907662626984,0.48961209135396155,0.49965988432132513,0.499959998399872,1.423137658455045,1.4671581532525397,1.5806241827079233,1.4807897686426503,1.4936799967997438
action = 2,2,0,0.7,27,3,0.41105,0.48232,0.58476,0.50519,0.50564,0.49202642205475106,0.49968990384037176,0.492767693746252,0.499969999099946,0.499969999099946,1.3951028441095021,1.4816998076807435,1.570295387492504,1.505129998199892,1.505579998199892
action = 2,2,0,0.7,28,3,0.41395,0.45693,0.58829,0.48756,0.50472,0.49254441424099005,0.49813652747013043,0.4921381919745713,0.49984997749324744,0.499979999599984,1.3990388284819801,1.4532030549402608,1.5725663839491426,1.4872599549864949,1.504679999199968
action = 2,2,1,-0.30000000000000004,29,3,0.36445,0.39804,0.52487,0.42163,0.42656,0.4812795445476568,0.4894997446373185,0.49937961512260387,0.4938218302181466,0.4945806304335017,1.3270090890953137,1.377039489274637,1.5236292302452077,1.4092736604362932,1.4157212608670033
action = 2,2,1,-0.30000000000000004,30,3,0.4383,0.45683,0.59754,0.47522,0.48127,0.4961753722223625,0.49813652747013043,0.49039779771120506,0.49938962744534454,0.4996498774141749,1.430650744444725,1.4531030549402608,1.57833559542241,1.473999254890689,1.4805697548283496
action = 2,2,1,-0.30000000000000004,31,3,0.40877,0.45739,0.60951,0.48789,0.5183,0.4916096012081131,0.49817667548772293,0.48786268559913454,0.49984997749324744,0.49966989102806664,1.3919892024162261,1.4537433509754458,1.585235371198269,1.4875899549864948,1.5176397820561331
action = 2,2,1,-0.30000000000000004,32,3,0.39104,0.4505,0.63736,0.48742,0.49292,0.4879856555268812,0.49754396790635497,0.4807598152924181,0.4998399743918047,0.49994999749975,1.3670113110537625,1.44558793581271,1.5988796305848363,1.4870999487836094,1.4928199949995
action = 2,2,0,0.7,33,3,0.40429,0.48175,0.62157,0.50596,0.49986,0.4907545211202847,0.49966989102806664,0.4849948453334324,0.499959998399872,0.5,1.3857990422405695,1.4810897820561333,1.5915596906668648,1.5058799967997438,1.49986
action = 2,2,1,-0.30000000000000004,34,3,0.42587,0.47508,0.62157,0.50624,0.51229,0.4944694126030446,0.49937961512260387,0.4849948453334324,0.499959998399872,0.49984997749324744,1.4148088252060893,1.4738392302452077,1.5915596906668648,1.5061599967997439,1.511989954986495
action = 2,2,0,0.7,35,3,0.46354,0.51244,0.64956,0.54922,0.54941,0.4986682263790225,0.49984997749324744,0.47710585827466007,0.4975741150823664,0.4975540171679855,1.460876452758045,1.512139954986495,1.6037717165493202,1.5443682301647328,1.544518034335971
action = 2,2,1,-0.30000000000000004,36,3,0.46913,0.51201,0.57143,0.49972,0.51825,0.4990490957811666,0.4998599803945101,0.4948737212663449,0.5,0.49966989102806664,1.467228191562333,1.5117299607890202,1.5611774425326899,1.49972,1.5175897820561333
action = 2,2,0,0.7,37,3,0.44454,0.48756,0.60773,0.52487,0.5061,0.4969104547099004,0.49984997749324744,0.4882622246293481,0.49937961512260387,0.499959998399872,1.4383609094198009,1.4872599549864949,1.584254449258696,1.5236292302452077,1.5060199967997439
action = 2,2,0,0.7,38,3,0.36575,0.42424,0.60266,0.44755,0.42187,0.4816430213342658,0.49422666864506615,0.4893465030017074,0.49724239561807276,0.49386232899462984,1.3290360426685317,1.4126933372901322,1.5813530060034147,1.4420347912361455,1.4095946579892598
action = 2,2,1,-0.30000000000000004,39,3,0.40803,0.44449,0.53716,0.45655,0.46279,0.49146719117353094,0.4969104547099004,0.49861809032565196,0.498106414333323,0.49861809032565196,1.3909643823470619,1.4383109094198008,1.5343961806513038,1.4527628286666459,1.460026180651304
action = 2,2,1,-0.30000000000000004,40,3,0.39691,0.44449,0.59155,0.44549,0.46927,0.489254534981537,0.4969104547099004,0.4915485733882258,0.49702112631154827,0.49905911473491793,1.375419069963074,1.4383109094198008,1.5746471467764516,1.4395322526230965,1.467388229469836
action = 2,2,0,0.7,41,3,0.42596,0.46279,0.62228,0.45064,0.48132,0.49448963588734596,0.49861809032565196,0.484819554061096,0.4975540171679855,0.4996498774141749,1.414939271774692,1.460026180651304,1.591919108122192,1.445748034335971,1.4806197548283497
action = 2,2,0,0.7,42,3,0.42615,0.49957,0.59831,0.48752,0.48132,0.49451996926312286,0.5,0.4902448367907611,0.4998399743918047,0.4996498774141749,1.4151899385262456,1.49957,1.5787996735815222,1.4871999487836094,1.4806197548283497
action = 2,2,0,0.7,43,3,0.41412,0.47508,0.54965,0.45697,0.47522,0.49257486740596096,0.49937961512260387,0.49753391844174805,0.4981465647778774,0.49938962744534454,1.3992697348119219,1.4738392302452077,1.5447178368834962,1.4532631295557548,1.473999254890689
action = 2,2,0,0.7,44,3,0.40169,0.46279,0.56185,0.47522,0.49376,0.4902448367907611,0.49861809032565196,0.4961652950378533,0.49938962744534454,0.499959998399872,1.3821796735815222,1.460026180651304,1.5541805900757066,1.473999254890689,1.4936799967997438
action = 2,2,0,0.7,45,3,0.36145,0.45035,0.57813,0.46293,0.53073,0.48041648597857256,0.49753391844174805,0.49386232899462984,0.49862811793961237,0.49905911473491793,1.3222829719571452,1.445417836883496,1.5658546579892598,1.4601862358792248,1.528848229469836
action = 2,2,1,-0.30000000000000004,46,3,0.33941,0.40747,0.49361,0.39049,0.41452,0.4735081836673998,0.49136544445046193,0.499959998399872,0.48786268559913454,0.49263576808835147,1.2864263673347995,1.3902008889009239,1.493529996799744,1.366215371198269,1.399791536176703
action = 2,2,1,-0.30000000000000004,47,3,0.30728,0.39542,0.52444,0.3796,0.42023,0.46136753245108175,0.488937623833552,0.4993996395673509,0.48528342234203714,0.4935990275517163,1.2300150649021635,1.3732952476671039,1.5232392791347018,1.3501668446840742,1.4074280551034326
action = 2,2,0,0.7,48,3,0.36159,0.42615,0.5,0.42268,0.46416,0.48045811471969124,0.49451996926312286,0.5,0.4939838054025658,0.4987183573922259,1.3225062294393826,1.4151899385262456,1.5,1.4106476108051316,1.4615967147844517
action = 2,2,1,-0.30000000000000004,49,3,0.37364,0.43815,0.51229,0.41399,0.44495,0.4837664725877559,0.4961652950378533,0.49984997749324744,0.49254441424099005,0.496960763038693,1.3411729451755119,1.4304805900757065,1.511989954986495,1.3990788284819802,1.438871526077386
action = 2,2,0,0.7,50,3,0.37656,0.45059,0.51858,0.45035,0.48216,0.4845203814082541,0.4975540171679855,0.4996498774141749,0.49753391844174805,0.49967989753441155,1.3456007628165083,1.4456980343359709,1.5178797548283498,1.445417836883496,1.481519795068823
action = 2,2,1,-0.30000000000000004,51,3,0.38946,0.4444,0.53698,0.433,0.46959,0.4876269065586927,0.49690039243293016,0.49862811793961237,0.4954896568042566,0.499069133487536,1.3647138131173853,1.4382007848658604,1.5342362358792248,1.4239793136085133,1.467728266975072
action = 2,2,1,-0.30000000000000004,52,3,0.35482,0.43182,0.53698,0.42618,0.45105,0.47845584958280113,0.49532817404222024,0.49862811793961237,0.49451996926312286,0.4975942121849891,1.3117316991656023,1.4224763480844405,1.5342362358792248,1.4152199385262456,1.4462384243699782
action = 2,2,1,-0.30000000000000004,53,3,0.34393,0.4383,0.5495,0.45655,0.47513,0.47501578921126403,0.4961753722223625,0.49754396790635497,0.498106414333323,0.49937961512260387,1.293961578422528,1.430650744444725,1.54458793581271,1.4527628286666459,1.4738892302452078
action = 2,2,0,0.7,54,3,0.37825,0.46265,0.53698,0.47508,0.49381,0.484953606028453,0.4985980344927164,0.49862811793961237,0.49937961512260387,0.499959998399872,1.3481572120569059,1.4598460689854327,1.5342362358792248,1.4738392302452077,1.493729996799744
action = 2,2,0,0.7,55,3,0.34886,0.44411,0.51882,0.43792,0.47503,0.476613050597652,0.49687020437937307,0.4996498774141749,0.4961350622562368,0.49937961512260387,1.302086101195304,1.437850408758746,1.5181197548283496,1.4301901245124737,1.4737892302452078
action = 2,2,0,0.7,56,3,0.34354,0.43182,0.53111,0.4383,0.45655,0.4748894608222002,0.49532817404222024,0.49902905727021546,0.4961753722223625,0.498106414333323,1.2933189216444003,1.4224763480844405,1.5291681145404308,1.430650744444725,1.4527628286666459
