note,action,label,regret,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
action = 2,2,1,-0.4,0,2,,,,,,,,,,,,,,,
action = 2,2,1,-0.4,1,2,,,,,,,,,,,,,,,
action = 2,2,1,-0.4,2,2,,,,,,,,,,,,,,,
action = 1,1,1,-0.4,3,2,,,,,,,,,,,,,,,
action = 4,4,1,-0.4,4,2,,,,,,,,,,,,,,,
action = 0,0,1,-0.4,5,2,0.92006,0.96833,0.9744,0.9578,0.97173,0.14597945060863873,0.028809720581775868,0.04795831523312719,0.1026645021416848,0.048166378315169185,1.6499572530431936,1.1123786029088794,1.214191576165636,1.4711225107084238,1.2125618915758458
action = 3,3,0,0.6,6,2,0.96089,0.97254,0.97855,0.96258,0.97314,0.08130190649671139,0.05263078946776307,0.05300943312279428,0.09994998749374609,0.06371812928829597,1.367399532483557,1.2356939473388153,1.2435971656139715,1.4623299374687304,1.2917306464414797
action = 3,3,1,-0.4,7,2,0.80087,0.80002,0.86316,0.613,0.76986,0.11018166816671456,0.09518403227432636,0.0,0.23181889482956303,0.11510864433221338,1.3517783408335728,1.2759401613716317,0.86316,1.772094474147815,1.345403221661067
action = 4,4,0,0.6,8,2,0.78804,0.80804,0.81471,0.72788,0.73947,0.0,0.0,0.0,0.0,0.12107848694132249,0.78804,0.80804,0.81471,0.72788,1.3448624347066125
action = 2,2,1,-0.4,9,2,0.6582,0.67009,0.68662,0.63204,0.62665,0.0901665126307988,0.056833088953531286,0.1267280552995271,0.0,0.0,1.1090325631539941,0.9542554447676563,1.3202602764976357,0.63204,0.62665
action = 4,4,1,-0.4,10,2,0.70552,0.70848,0.77075,0.62689,0.57922,0.06862943974709396,0.02846049894151541,0.0,0.09486832980505137,0.12907362240210044,1.0486671987354699,0.850782494707577,0.77075,1.101231649025257,1.224588112010502
action = 2,2,1,-0.4,11,2,0.73078,0.70877,0.79793,0.67148,0.69805,0.0,0.0,0.0,0.0,0.0,0.73078,0.70877,0.79793,0.67148,0.69805
action = 0,0,1,-0.4,12,2,0.71818,0.7291,0.77803,0.68302,0.68223,0.020248456731316585,0.0,0.0,0.0,0.0,0.819422283656583,0.7291,0.77803,0.68302,0.68223
action = 1,1,1,-0.4,13,2,0.75915,0.73488,0.78553,0.68274,0.67706,0.11322543883774529,0.1494322589001451,0.1267280552995271,0.13258959235173776,0.10597169433391164,1.3252771941887265,1.4820412945007255,1.4191702764976355,1.3456879617586888,1.2069184716695582
action = 2,2,0,0.6,14,2,0.8005,0.82482,0.81663,0.74911,0.71893,0.0,0.0,0.06549809157525126,0.0,0.0793095202355934,0.8005,0.82482,1.1441204578762563,0.74911,1.115477601177967
action = 2,2,1,-0.4,15,2,0.70985,0.73908,0.70373,0.6879,0.67779,0.13118688958886096,0.08006247560499238,0.15795568998931314,0.058223706512038544,0.08590692637965812,1.3657844479443049,1.139392378024962,1.4935084499465656,0.9790185325601927,1.1073246318982906
action = 2,2,1,-0.4,16,2,0.76238,0.76986,0.78506,0.71508,0.71477,0.0,0.0,0.0,0.0,0.0,0.76238,0.76986,0.78506,0.71508,0.71477
action = 2,2,0,0.6,17,2,0.77968,0.77647,0.78923,0.72905,0.72664,0.0,0.0,0.0,0.0,0.0,0.77968,0.77647,0.78923,0.72905,0.72664
action = 2,2,1,-0.4,18,2,0.6994,0.71843,0.6799,0.63877,0.63887,0.10625441167311596,0.035071355833500364,0.13240090634130872,0.07368853370776215,0.12087183294713455,1.2306720583655797,0.8937867791675018,1.3419045317065437,1.0072126685388108,1.2432291647356728
action = 0,0,1,-0.4,19,2,0.7442,0.75675,0.73751,0.65948,0.69463,0.09219544457292887,0.04753945729601885,0.08324662155306965,0.07224956747275377,0.05735852159879995,1.2051772228646445,0.9944472864800943,1.1537431077653482,1.020727837363769,0.9814226079939997
action = 0,0,0,0.6,20,2,0.78834,0.75678,0.76775,0.6828,0.70177,0.0,0.0,0.0,0.0,0.0,0.78834,0.75678,0.76775,0.6828,0.70177
action = 0,0,0,0.6,21,2,0.66203,0.67818,0.68931,0.60458,0.63887,0.10545141061171254,0.0792464510246358,0.09241212041718337,0.08780660567406076,0.07622335600063802,1.1892870530585626,1.074412255123179,1.151370602085917,1.0436130283703038,1.01998678000319
action = 2,2,1,-0.4,22,2,0.63384,0.66708,0.67818,0.62806,0.64465,0.0,0.07183313998427188,0.10406728592598156,0.0,0.06252999280345393,0.63384,1.0262456999213594,1.1985164296299078,0.62806,0.9572999640172697
action = 3,3,1,-0.4,23,2,0.6221,0.67889,0.72332,0.62712,0.64465,0.0,0.0,0.0,0.03781534080237808,0.01341640786499874,0.6221,0.67889,0.72332,0.8161967040118904,0.7117320393249936
action = 0,0,0,0.6,24,2,0.6104,0.67612,0.70923,0.65574,0.64515,0.03193743884534263,0.0,0.0,0.0,0.0,0.7700871942267131,0.67612,0.70923,0.65574,0.64515
action = 1,1,0,0.6,25,2,0.57963,0.616,0.67252,0.61559,0.60357,0.05468089245796926,0.16443843832875574,0.1493987951758648,0.15046594299043223,0.13137731919931994,0.8530344622898463,1.4381921916437785,1.419513975879324,1.3679197149521611,1.2604565959965996
action = 1,1,1,-0.4,26,2,0.59239,0.64697,0.69139,0.66299,0.64877,0.0,0.022360679774997897,0.0,0.0,0.0,0.59239,0.7587733988749895,0.69139,0.66299,0.64877
action = 3,3,0,0.6,27,2,0.58047,0.65556,0.68931,0.64281,0.61951,0.07867655305108377,0.09889388252060893,0.08763560920082658,0.10954451150103323,0.04024922359499621,0.973852765255419,1.1500294126030446,1.127488046004133,1.1905325575051662,0.820756117974981
action = 2,2,1,-0.4,28,2,0.58938,0.65625,0.6838,0.64419,0.62133,0.0661815684310972,0.027748873851023214,0.06899275324264137,0.023664319132398463,0.042895221179054435,0.920287842155486,0.794994369255116,1.0287637662132068,0.7625115956619923,0.8358061058952722
action = 2,2,1,-0.4,29,2,0.61036,0.66203,0.70337,0.65029,0.63259,0.0,0.0,0.0,0.0,0.0,0.61036,0.66203,0.70337,0.65029,0.63259
action = 2,2,1,-0.4,30,2,0.60403,0.62196,0.70501,0.63895,0.6338,0.06999999999999999,0.1027131929208707,0.09,0.06371812928829597,0.0904433524367601,0.9540299999999999,1.1355259646043534,1.1550099999999999,0.9575406464414798,1.0860167621838006
action = 2,2,1,-0.4,31,2,0.62824,0.66227,0.73049,0.65607,0.66203,0.0,0.0,0.0,0.0,0.0,0.62824,0.66227,0.73049,0.65607,0.66203
action = 2,2,0,0.6,32,2,0.61054,0.62157,0.69896,0.60983,0.63291,0.0,0.09359487165438073,0.1289961239727768,0.09289779329994874,0.08780660567406076,0.61054,1.0895443582719035,1.3439406198638841,1.0743189664997437,1.0719430283703038
action = 2,2,1,-0.4,33,2,0.59754,0.62157,0.70894,0.63344,0.63384,0.08056053624449132,0.1214084016862095,0.12973048986263794,0.07993747556684537,0.10927030703718188,1.0003426812224565,1.2286120084310475,1.3575924493131897,1.033127377834227,1.1801915351859094
action = 4,4,0,0.6,34,2,0.61022,0.66735,0.76538,0.66759,0.66781,0.0,0.0,0.0,0.0,0.059413803110051795,0.61022,0.66735,0.76538,0.66759,0.964879015550259
action = 1,1,1,-0.4,35,2,0.59253,0.61632,0.72965,0.61632,0.6221,0.031144823004794875,0.07648529270389177,0.0,0.0,0.023021728866442676,0.7482541150239743,0.9987464635194588,0.72965,0.61632,0.7372086443322133
action = 2,2,1,-0.4,36,2,0.60444,0.64978,0.69671,0.58643,0.61022,0.008366600265340755,0.04024922359499621,0.0844393273303382,0.06663332499583073,0.06670832032063166,0.6462730013267037,0.8510261179749811,1.118906636651691,0.9195966249791536,0.9437616016031583
action = 3,3,1,-0.4,37,2,0.61054,0.65631,0.7204,0.6165,0.62767,0.0,0.0,0.0,0.04230839160261236,0.0,0.61054,0.65631,0.7204,0.8280419580130618,0.62767
action = 2,2,1,-0.4,38,2,0.59849,0.66203,0.7145,0.6398,0.62196,0.05176871642217914,0.026076809620810597,0.029664793948382652,0.0,0.0,0.8573335821108956,0.792414048104053,0.8628239697419133,0.6398,0.62196
action = 2,2,1,-0.4,39,2,0.59825,0.66203,0.72905,0.65671,0.58,0.0,0.057183913821983186,0.08774964387392122,0.07162401831787993,0.10867382389517725,0.59825,0.947949569109916,1.167798219369606,1.0148300915893995,1.1233691194758864
action = 4,4,1,-0.4,40,2,0.58629,0.67286,0.76091,0.67661,0.63222,0.06884765791223403,0.0,0.0,0.0,0.07362064927722385,0.9305282895611702,0.67286,0.76091,0.67661,1.0003232463861194
action = 2,2,1,-0.4,41,2,0.61515,0.66759,0.74336,0.63823,0.67797,0.0,0.0,0.0,0.0,0.0,0.61515,0.66759,0.74336,0.63823,0.67797
action = 2,2,0,0.6,42,2,0.60317,0.65625,0.72856,0.65075,0.65053,0.0,0.05674504383644443,0.0658027355054484,0.0,0.0,0.60317,0.9399752191822222,1.057573677527242,0.65075,0.65053
action = 1,1,1,-0.4,43,2,0.60983,0.64536,0.704,0.63362,0.63267,0.0,0.022360679774997897,0.0,0.0,0.0,0.60983,0.7571633988749895,0.704,0.63362,0.63267
action = 2,2,0,0.6,44,2,0.5913,0.66163,0.69669,0.62806,0.63823,0.044609416046390925,0.0,0.0828854631404084,0.018973665961010275,0.0,0.8143470802319547,0.66163,1.111117315702042,0.7229283298050513,0.63823
action = 2,2,1,-0.4,45,2,0.58033,0.65607,0.67409,0.62806,0.62703,0.0,0.0,0.0,0.0,0.0,0.58033,0.65607,0.67409,0.62806,0.62703
action = 0,0,0,0.6,46,2,0.56147,0.63908,0.66059,0.61022,0.62707,0.08860022573334675,0.04024922359499621,0.05366563145999496,0.06826419266350404,0.0,1.0044711286667338,0.840326117974981,0.9289181572999747,0.9515409633175202,0.62707
action = 2,2,0,0.6,47,2,0.57437,0.61618,0.65631,0.61022,0.60983,0.0,0.07042726744663604,0.09402127418834527,0.022360679774997897,0.0,0.57437,0.9683163372331801,1.1264163709417263,0.7220233988749895,0.60983
action = 2,2,1,-0.4,48,2,0.54331,0.62079,0.64241,0.60295,0.59156,0.047010637094172636,0.0,0.033763886032268264,0.027748873851023214,0.02683281572999748,0.7783631854708631,0.62079,0.8112294301613414,0.7416943692551161,0.7257240786499873
action = 4,4,0,0.6,49,2,0.53735,0.62767,0.65585,0.59167,0.59229,0.02097617696340303,0.01760681686165901,0.0,0.0483735464897913,0.07854934754662193,0.6422308848170152,0.715704084308295,0.65585,0.8335377324489566,0.9850367377331096
action = 2,2,0,0.6,50,2,0.54974,0.63317,0.64518,0.59239,0.59197,0.06610597552415363,0.0,0.10445094542415592,0.07092249290598858,0.08831760866327847,0.8802698776207682,0.63317,1.1674347271207797,0.9470024645299429,1.0335580433163924
action = 1,1,1,-0.4,51,2,0.5847,0.62175,0.67473,0.60981,0.62087,0.0,0.03687817782917155,0.0,0.0,0.0,0.5847,0.8061408891458578,0.67473,0.60981,0.62087
action = 1,1,1,-0.4,52,2,0.561,0.64433,0.65534,0.59708,0.5801,0.05813776741499453,0.08024961059095552,0.05744562646538029,0.0744983221287567,0.07771743691090179,0.8516888370749727,1.0455780529547776,0.9425681323269015,0.9695716106437836,0.9686871845545089
action = 2,2,1,-0.4,53,2,0.57437,0.67797,0.66203,0.62178,0.60403,0.0372827037646145,0.0,0.08933084573650918,0.056480084985771756,0.08043631020876083,0.7607835188230725,0.67797,1.108684228682546,0.9041804249288588,1.006211551043804
action = 2,2,1,-0.4,54,2,0.58633,0.68144,0.68971,0.63823,0.63749,0.0,0.0,0.0,0.0,0.0,0.58633,0.68144,0.68971,0.63823,0.63749
action = 3,3,1,-0.4,55,2,0.56748,0.65743,0.68839,0.60864,0.62434,0.057183913821983186,0.06395310782127793,0.0,0.07912016177940993,0.02258317958127243,0.8533995691099159,0.9771955391063896,0.68839,1.0042408088970496,0.7372558979063621
action = 1,1,0,0.6,56,2,0.58643,0.67286,0.66248,0.64536,0.62806,0.0,0.0,0.0,0.0,0.0,0.58643,0.67286,0.66248,0.64536,0.62806
action = 2,2,1,-0.4,57,2,0.58,0.6394,0.6491,0.6221,0.61022,0.0,0.0,0.03885871845545089,0.041109609582188934,0.0,0.58,0.6394,0.8433935922772544,0.8276480479109447,0.61022
action = 4,4,0,0.6,58,2,0.56208,0.63887,0.66163,0.62087,0.56766,0.02449489742783178,0.0,0.023021728866442676,0.0,0.043703546766824315,0.6845544871391589,0.63887,0.7767386443322134,0.62087,0.7861777338341216
action = 1,1,0,0.6,59,2,0.5434,0.63362,0.66623,0.60426,0.53731,0.06655824516917494,0.09327379053088815,0.07655063683601855,0.08390470785361212,0.08774964387392122,0.8761912258458747,1.0999889526544406,1.0489831841800927,1.0237835392680608,0.976058219369606
action = 1,1,0,0.6,60,2,0.56804,0.61492,0.67757,0.62111,0.57372,0.01870828693386971,0.06745368781616021,0.0,0.02449489742783178,0.03834057902536163,0.6615814346693485,0.9521884390808011,0.67757,0.7435844871391589,0.7654228951268082
action = 4,4,1,-0.4,61,2,0.56184,0.62228,0.66157,0.61618,0.57437,0.027568097504180444,0.0,0.0,0.0,0.044944410108488465,0.6996804875209022,0.62228,0.66157,0.61618,0.7990920505424424
action = 2,2,0,0.6,62,2,0.57414,0.60983,0.67219,0.6221,0.60413,0.020248456731316585,0.0,0.06999999999999999,0.05291502622129181,0.0,0.6753822836565829,0.60983,1.02219,0.886675131106459,0.60413
action = 1,1,1,-0.4,63,2,0.56818,0.59849,0.67848,0.62228,0.59849,0.0,0.03130495168499706,0.0,0.0,0.0,0.56818,0.7550147584249852,0.67848,0.62228,0.59849
action = 3,3,0,0.6,64,2,0.54965,0.616,0.66781,0.59253,0.58546,0.0,0.0,0.0,0.0363318042491699,0.0,0.54965,0.616,0.66781,0.7741890212458495,0.58546
action = 4,4,0,0.6,65,2,0.53721,0.59863,0.64558,0.58033,0.5496,0.00447213595499958,0.0,0.0,0.0,0.034351128074635334,0.5595706797749979,0.59863,0.64558,0.58033,0.7213556403731767
action = 3,3,0,0.6,66,2,0.51244,0.59807,0.63609,0.5488,0.51868,0.025495097567963924,0.0,0.0,0.042544094772365294,0.0354964786985977,0.6399154878398197,0.59807,0.63609,0.7615204738618264,0.6961623934929886
action = 2,2,0,0.6,67,2,0.51248,0.57437,0.65029,0.53721,0.51244,0.055946402922797456,0.055587768438749185,0.054221766846903836,0.05958187643906493,0.06603029607687672,0.7922120146139873,0.8523088421937459,0.9213988342345192,0.8351193821953247,0.8425914803843836
action = 3,3,1,-0.4,68,2,0.54969,0.59849,0.64518,0.57437,0.56804,0.0,0.0,0.0,0.05196152422706632,0.03130495168499706,0.54969,0.59849,0.64518,0.8341776211353317,0.7245647584249852
action = 0,0,1,-0.4,69,2,0.51248,0.59831,0.6333,0.60426,0.56818,0.028635642126552705,0.0,0.0,0.0,0.0,0.6556582106327635,0.59831,0.6333,0.60426,0.56818
action = 2,2,1,-0.4,70,2,0.54345,0.59221,0.62093,0.58643,0.56794,0.035637059362410926,0.03834057902536163,0.03420526275297414,0.0,0.0,0.7216352968120546,0.7839128951268082,0.7919563137648706,0.58643,0.56794
