note,action,label,regret,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
action = 3,3,0,0.7999999999999999,0,3,,,,,,,,,,,,,,,
action = 4,4,1,-0.20000000000000007,1,3,,,,,,,,,,,,,,,
action = 0,0,1,-0.20000000000000007,2,3,,,,,,,,,,,,,,,
action = 4,4,1,-0.20000000000000007,3,3,,,,,,,,,,,,,,,
action = 2,2,1,-0.20000000000000007,4,3,,,,,,,,,,,,,,,
action = 3,3,1,-0.20000000000000007,5,3,0.69221,0.61443,0.71328,0.52365,0.74842,0.10559356040971438,0.13520355024924458,0.13141537200799608,0.17578395831246946,0.129267165204471,1.2201778020485718,1.290447751246223,1.3703568600399803,1.4025697915623472,1.394755826022355
action = 2,2,1,-0.20000000000000007,6,3,0.69463,0.69969,0.70428,0.65553,0.7389,0.023021728866442676,0.0,0.07937253933193772,0.0282842712474619,0.054405882034941774,0.8097386443322133,0.69969,1.1011426966596887,0.7969513562373094,1.0109294101747088
action = 4,4,1,-0.20000000000000007,7,3,0.74868,0.70552,0.74957,0.67757,0.75648,0.09974968671630002,0.0,0.09838699100999074,0.0,0.12074767078498864,1.2474284335815002,0.70552,1.2415049550499537,0.67757,1.3602183539249433
action = 2,2,0,0.7999999999999999,8,3,0.77581,0.71508,0.78572,0.69833,0.81144,0.10464224768228175,0.1355728586406586,0.15029970059850417,0.08637129152675674,0.08579044235810887,1.2990212384114086,1.3929442932032932,1.5372185029925207,1.1301864576337837,1.2403922117905444
action = 4,4,0,0.7999999999999999,9,3,0.66317,0.60234,0.6821,0.65625,0.72914,0.09055385138137417,0.1063014581273465,0.0,0.040987803063838396,0.08420213774008353,1.115939256906871,1.1338472906367325,0.6821,0.861189015319192,1.1501506887004176
