note,action,label,regret,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
action = 4,4,1,-0.30000000000000004,0,4,,,,,,,,,,,,,,,
action = 3,3,0,0.7,1,4,,,,,,,,,,,,,,,
action = 2,2,0,0.7,2,4,,,,,,,,,,,,,,,
action = 1,1,1,-0.30000000000000004,3,4,,,,,,,,,,,,,,,
action = 1,1,1,-0.30000000000000004,4,4,,,,,,,,,,,,,,,
action = 1,1,1,-0.30000000000000004,5,4,0.51848,0.70814,0.44563,0.44507,0.63751,0.49965988432132513,0.45462072104117734,0.49703118614429015,0.49697082409332644,0.48071821267765585,1.5177997686426503,1.6173814420823547,1.4396923722885804,1.4390116481866528,1.5989464253553116
action = 1,1,1,-0.30000000000000004,6,4,0.46407,0.64802,0.36915,0.42765,0.61232,0.49870833159272565,0.4775876882835235,0.48257641881882296,0.4947423571921046,0.487216584282596,1.4614866631854513,1.603195376567047,1.334302837637646,1.417134714384209,1.5867531685651919
action = 1,1,1,-0.30000000000000004,7,4,0.49376,0.76716,0.34948,0.3698,0.67291,0.499959998399872,0.4226464243312606,0.4768018456340118,0.48275252459205226,0.469148164229596,1.4936799967997438,1.6124528486625211,1.3030836912680237,1.3353050491841045,1.611206328459192
action = 4,4,0,0.7,8,4,0.51853,0.80475,0.35285,0.37572,0.72682,0.49965988432132513,0.39639626637999503,0.4778598120788146,0.4843036237733515,0.4455894971832258,1.5178497686426504,1.5975425327599901,1.3085696241576292,1.344327247546703,1.6179989943664517
action = 1,1,1,-0.30000000000000004,9,4,0.46903,0.79174,0.3854,0.37977,0.50433,0.49903907662626984,0.40606649701742203,0.4866929216662186,0.4853246336216615,0.499979999599984,1.4671081532525396,1.6038729940348442,1.3587858433324371,1.350419267243323,1.504289999199968
action = 1,1,0,0.7,10,4,0.45702,0.80665,0.38161,0.38005,0.5061,0.4981465647778774,0.3949303736103365,0.48577772694927046,0.4853967449417023,0.499959998399872,1.4533131295557546,1.596510747220673,1.353165453898541,1.3508434898834047,1.5060199967997439
action = 1,1,1,-0.30000000000000004,11,4,0.45721,0.64976,0.40021,0.4512,0.53059,0.49816663878666145,0.47704297500330095,0.4899387716847892,0.4976143084759521,0.49905911473491793,1.4535432775733228,1.603845950006602,1.3800875433695785,1.4464286169519043,1.528708229469836
action = 1,1,0,0.7,12,4,0.48161,0.57817,0.482,0.52464,0.52417,0.49965988432132513,0.49385220461186563,0.49967989753441155,0.49938962744534454,0.4994196632092093,1.4809297686426501,1.5658744092237313,1.481359795068823,1.523419254890689,1.5230093264184186
