x,label,note
-3.6,-1.8,x = -3.6
2.6,3.7,x = 2.6
-3.9,-1.8,x = -3.9
4.9,-0.9,x = 4.9
3.7,-0.7,x = 3.7
3.9,-2.3,x = 3.9
3.4,-0.7,x = 3.4
3.8,-1.0,x = 3.8
-2.8,-1.0,x = -2.8
1.1,-2.0,x = 1.1
3.4,0.0,x = 3.4
2.1,-0.3,x = 2.1
-4.9,-2.8,x = -4.9
4.5,-2.8,x = 4.5
-4.0,-1.9,x = -4.0
2.9,1.8,x = 2.9
1.6,-0.0,x = 1.6
-4.4,-2.3,x = -4.4
2.8,-2.5,x = 2.8
-3.7,-1.9,x = -3.7
-4.0,-2.0,x = -4.0
5.0,-1.4,x = 5.0
4.2,1.9,x = 4.2
5.8,-1.4,x = 5.8
5.1,-0.7,x = 5.1
-2.7,-1.0,x = -2.7
3.0,-4.3,x = 3.0
-4.1,-2.2,x = -4.1
4.8,-0.7,x = 4.8
5.4,-1.0,x = 5.4
