x1,label,note,p(u=0|z),p(u=1|z),"p(u=0|z,x)","p(u=1|z,x)","p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",true_x,within_threshold,min_Va,max_Ve
1.4,0,x1 = 1.4,1.0,0.0,1.0,0.0,0.9988760000000001,0.001124,0.42233600000000004,0.577664,0.9988760000000001,0.001124,0.99993,7e-05,0.01263,0.98253,0.00107,0.01263,0.01263,3.5,False,0.0012,-0.00013
6.8,0,x1 = 6.8,0.0,1.0,1e-05,0.99999,0.959958,0.040042,0.972138,0.027861999999999998,0.972138,0.027861999999999998,0.99993,7e-05,0.24248,0.18355,0.00107,0.18355,0.18355,3.5,False,0.0012,-0.00013
0.0,0,x1 = 0.0,0.99999,1e-05,0.9999,0.0001,0.9998419999999999,0.00015800000000000002,0.503412,0.49658800000000003,0.9998370356999999,0.00016296430000000003,0.99993,7e-05,0.00222,0.99997,0.00107,0.00229,0.00232,3.5,False,0.0012,-0.00013
3.9,0,x1 = 3.9,0.99999,1e-05,0.99909,0.00091,0.9999800000000001,2e-05,0.63187,0.36813,0.9999763189000002,2.3681100000000003e-05,0.99993,7e-05,0.00034,0.94923,0.00107,0.0004,0.0012,3.5,False,0.0012,-0.00013
-4.8,0,x1 = -4.8,0.9999400000000002,6.000000000000001e-05,0.9996600000000001,0.00034,0.996274,0.003726,0.38351599999999997,0.616484,0.9962372345200001,0.003762765480000001,0.99993,7e-05,0.03543,0.96049,0.00107,0.03572,0.03574,3.5,False,0.0012,-0.00013
7.6,0,x1 = 7.6,2e-05,0.9999800000000001,0.00012000000000000002,0.9998799999999999,0.9885380000000001,0.011462,0.9656420000000001,0.034358,0.9656424579200003,0.034357542080000004,0.99993,7e-05,0.09034,0.2158,0.00107,0.21579,0.21578,3.5,False,0.0012,-0.00013
8.3,0,x1 = 8.3,6.000000000000001e-05,0.9999400000000002,0.0002,0.9998000000000001,0.994836,0.005164,0.9822919999999999,0.017708,0.98229275264,0.017707247360000004,0.99993,7e-05,0.04666,0.12837,0.00107,0.12837,0.12835,3.5,False,0.0012,-0.00013
-2.1,0,x1 = -2.1,0.99999,1e-05,0.99993,7e-05,0.996828,0.003172,0.335244,0.664756,0.9968213841600001,0.00317861584,0.99993,7e-05,0.0309,0.92019,0.00107,0.03095,0.03096,3.5,False,0.0012,-0.00013
9.3,0,x1 = 9.3,0.00034,0.9996600000000001,0.00117,0.9988300000000001,0.994836,0.005164,0.972138,0.027861999999999998,0.97214571732,0.027854282680000002,0.99993,7e-05,0.04666,0.18355,0.00107,0.18351,0.18339,3.5,False,0.0012,-0.00013
-0.3,0,x1 = -0.3,0.99999,1e-05,0.9999499999999999,5e-05,0.9978159999999999,0.0021839999999999997,0.372552,0.627448,0.99780974736,0.0021902526399999998,0.99993,7e-05,0.02245,0.95261,0.00107,0.02251,0.0225,3.5,False,0.0012,-0.00013
