z_x1,z_note,x_x1,x_note,"p(y=0|x,D)","p(y=1|x,D)","p(u=0|z,D)","p(u=1|z,D)","p(y=0|x,u=0,z,D)","p(y=1|x,u=0,z,D)","p(y=0|x,u=1,z,D)","p(y=1|x,u=1,z,D)","p(y=0|x,z,D)","p(y=1|x,z,D)","H[p(u|z,D)]","H[p(y|x,u=0,z,D)]","H[p(y|x,u=1,z,D)]","H[p(y|x,D)]",Va,Ve,kl_pyx_pyxz,kl_pyxz_pyx
7.2,x1 = 7.2,7.2,x1 = 7.2,0.02745063570115166,0.9725493642988482,0.02745063570115166,0.9725493642988482,0.3550122232348423,0.6449877767651577,0.014763338733443824,0.9852366612665561,0.024103386909614936,0.9758966130903848,0.18144,0.93846,0.11093,0.18144,0.13365,0.04779,0.00022809539722610248,0.00021867119457761154
6.7,x1 = 6.7,7.2,x1 = 7.2,0.02745063570115166,0.9725493642988482,0.0336055521596223,0.9663944478403778,0.19999758580629073,0.8000024141937093,0.02375776715455568,0.9762422328454445,0.02968040357285894,0.9703195964271413,0.21216,0.72192,0.16205,0.18144,0.18086,0.0005799999999999972,8.849666137414423e-05,9.07611246608298e-05
7.0,x1 = 7.0,7.2,x1 = 7.2,0.02745063570115166,0.9725493642988482,0.027666867065259244,0.9723331329347407,0.2916673093763184,0.7083326906236815,0.01864707513086332,0.9813529248691367,0.02620068965785826,0.9737993103421416,0.18255,0.87087,0.13378,0.18144,0.15417,0.02726999999999999,3.0154753623888456e-05,2.970265510317759e-05
7.1,x1 = 7.1,7.2,x1 = 7.2,0.02745063570115166,0.9725493642988482,0.027575772588859494,0.9724242274111405,0.29337539522539346,0.7066246047746064,0.020312812010426978,0.9796871879895731,0.027842723707689417,0.9721572762923107,0.18208,0.87304,0.14319,0.18144,0.16332,0.018119999999999997,2.852847832814987e-06,2.865981178040678e-06
7.5,x1 = 7.5,7.2,x1 = 7.2,0.02745063570115166,0.9725493642988482,0.030082791090252255,0.9699172089097476,0.263999949962113,0.7360000500378869,0.022355191029482625,0.9776448089705173,0.02962453983050731,0.9703754601694925,0.19481,0.83272,0.15447,0.18144,0.17487,0.0065699999999999925,8.422176848311633e-05,8.632428316910886e-05
7.3,x1 = 7.3,7.2,x1 = 7.2,0.02745063570115166,0.9725493642988482,0.03008130952890582,0.969918690471094,0.26505882849559353,0.7349411715044064,0.01947759449895668,0.9805224055010433,0.026864999613300154,0.9731350003866998,0.1948,0.83428,0.1385,0.18144,0.15943,0.022010000000000002,6.513575877968559e-06,6.468219930344694e-06
6.6,x1 = 6.6,7.2,x1 = 7.2,0.02745063570115166,0.9725493642988482,0.035533013801745617,0.9644669861982542,0.17792844010993414,0.8220715598900659,0.024530744503468503,0.9754692554965315,0.029981426938609015,0.9700185730613908,0.22142,0.67552,0.16617,0.18144,0.18427,-0.002829999999999999,0.00011325223368366735,0.00011652938079592104
7.4,x1 = 7.4,7.2,x1 = 7.2,0.02745063570115166,0.9725493642988482,0.02874885529169443,0.9712511447083056,0.28900763693577713,0.7109923630642229,0.020792386054467073,0.9792076139455329,0.028503267489079373,0.9714967325109207,0.18808,0.86744,0.14587,0.18144,0.16661,0.014829999999999982,2.025081342909912e-05,2.0499018011868033e-05
8.1,x1 = 8.1,7.2,x1 = 7.2,0.02745063570115166,0.9725493642988482,0.030795038927004047,0.969204961072996,0.19937823959761888,0.8006217604023812,0.022515760227775867,0.9774842397722242,0.027962247164696634,0.9720377528353035,0.19836,0.72068,0.15534,0.18144,0.17275,0.008690000000000003,4.8437745166338055e-06,4.872826614036284e-06
7.6,x1 = 7.6,7.2,x1 = 7.2,0.02745063570115166,0.9725493642988482,0.030669561111562788,0.9693304388884373,0.2884637426306816,0.7115362573693185,0.021996751908699548,0.9780032480913003,0.03016917756486161,0.9698308224351384,0.19774,0.86673,0.15251,0.18144,0.17441,0.007029999999999981,0.0001301447061360225,0.00013418089869127918
