x1,note,p(u=0|z),p(u=1|z),H[p(u|z)],"p(y=0|x,u=0,z)","p(y=1|x,u=0,z)","p(y=0|x,u=1,z)","p(y=1|x,u=1,z)","p(y=0|x,z)","p(y=1|x,z)",p(y=0|x),p(y=1|x),"H[p(y|x,u=0,z)]","H[p(y|x,u=1,z)]",H[p(y|x)],"H[p(y|x,z)]","Va = E[H[p(y|x,u,z)]]",kl_pyx_pyxz,kl_pyxz_pyx,true_x1,within_threshold,z_value_for_min_Va,min_Va,max_Ve
17.5,x1 = 17.5,0.06522590588507479,0.9347740941149251,0.34785,0.8933094025038599,0.10669059749614015,0.939913354875362,0.06008664512463806,0.9368735698641057,0.06312643013589415,0.9341961552206216,0.06580384477937844,0.48985,0.32779,0.35007,0.33973,0.33836,6e-05,6e-05,-4.8,True,False,0.31354,0.03653
9.3,x1 = 9.3,0.032984631929215205,0.9670153680707848,0.20915,0.8933094138654243,0.10669058613457585,0.9525741246345831,0.04742587536541707,0.950619299963471,0.04938070003652917,0.9341961552206216,0.06580384477937844,0.48985,0.27536,0.35007,0.28376,0.28243,0.00261,0.00239,-4.8,False,False,0.31354,0.03653
10.8,x1 = 10.8,0.04567691118399779,0.9543230888160021,0.26774,0.8807970795424087,0.11920292045759122,0.9525741214369552,0.04742587856304458,0.9492955678692878,0.05070443213071187,0.9341961552206216,0.06580384477937844,0.52707,0.27536,0.35007,0.28938,0.28686,0.00217,0.002,-4.8,False,False,0.31354,0.03653
11.5,x1 = 11.5,0.04633983035577609,0.9536601696442238,0.27064,0.8933094074745445,0.10669059252545562,0.9465966707651319,0.053403329234868166,0.9441273480241223,0.05587265197587756,0.9341961552206216,0.06580384477937844,0.48985,0.30068,0.35007,0.31084,0.30945,0.00089,0.00084,-4.8,False,False,0.31354,0.03653
19.3,x1 = 19.3,0.06439475716688724,0.9356052428331127,0.34465,0.893309397533175,0.10669060246682491,0.9324533135530546,0.06754668644694549,0.9299326505863934,0.07006734941360665,0.9341961552206216,0.06580384477937844,0.48985,0.3567,0.35007,0.36617,0.36527,0.00014,0.00014,-4.8,True,False,0.31354,0.03653
2.8,x1 = 2.8,0.3401350849802397,0.6598649150197604,0.92495,0.9399133525610674,0.0600866474389324,0.946596675473099,0.053403324526901094,0.9443234428664649,0.055676557133535254,0.9341961552206216,0.06580384477937844,0.32779,0.30068,0.35007,0.31004,0.3099,0.00092,0.00088,-4.8,False,False,0.31354,0.03653
-12.8,x1 = -12.8,0.9113778594605921,0.08862214053940767,0.43185,0.9465966747198242,0.05340332528017579,0.7310585844894969,0.2689414155105029,0.9274952277958364,0.07250477220416335,0.9341961552206216,0.06580384477937844,0.30068,0.83994,0.35007,0.3752,0.34847,0.00034,0.00035,-4.8,False,False,0.31354,0.03653
-9.4,x1 = -9.4,0.9263594176847845,0.07364058231521567,0.37937,0.9579122740368524,0.04208772596314743,0.7057850154599563,0.2942149845400438,0.939345475897711,0.06065452410228904,0.9341961552206216,0.06580384477937844,0.25178,0.8741,0.35007,0.33004,0.29761,0.00023,0.00022,-4.8,False,False,0.31354,0.03653
-6.8,x1 = -6.8,0.9276975678160116,0.07230243218398821,0.37446,0.9525741311981335,0.0474258688018665,0.7549149923816048,0.24508500761839525,0.9382828947183057,0.06171710528169407,0.9341961552206216,0.06580384477937844,0.27536,0.80339,0.35007,0.33422,0.31354,0.00014,0.00014,-4.8,True,True,0.31354,0.03653
-4.7,x1 = -4.7,0.9352115103772551,0.06478848962274478,0.34617,0.9669140235181255,0.03308597648187433,0.7057850216484837,0.2942149783515163,0.9499958698902964,0.050004130109703324,0.9341961552206216,0.06580384477937844,0.20964,0.8741,0.35007,0.28641,0.25269,0.0024,0.0022,-4.8,False,False,0.31354,0.03653
-0.8,x1 = -0.8,0.7198442189845644,0.2801557810154356,0.85566,0.9706877687716629,0.02931223122833731,0.95791227058248,0.04208772941751998,0.967108639098611,0.03289136090138906,0.9341961552206216,0.06580384477937844,0.19093,0.25178,0.35007,0.20869,0.20798,0.01329,0.01068,-4.8,False,False,0.31354,0.03653
-0.8,x1 = -0.8,0.7198442189845644,0.2801557810154356,0.85566,0.9706877687716629,0.02931223122833731,0.95791227058248,0.04208772941751998,0.967108639098611,0.03289136090138906,0.9341961552206216,0.06580384477937844,0.19093,0.25178,0.35007,0.20869,0.20798,0.01329,0.01068,-4.8,False,False,0.31354,0.03653
-0.8,x1 = -0.8,0.7198442189845644,0.2801557810154356,0.85566,0.9706877687716629,0.02931223122833731,0.95791227058248,0.04208772941751998,0.967108639098611,0.03289136090138906,0.9341961552206216,0.06580384477937844,0.19093,0.25178,0.35007,0.20869,0.20798,0.01329,0.01068,-4.8,False,False,0.31354,0.03653
-10.0,x1 = -10.0,0.9200781040139626,0.07992189598603744,0.4019,0.9579122755387536,0.042087724461246416,0.7310585727705127,0.26894142722948733,0.9397816975020629,0.06021830249793722,0.9341961552206216,0.06580384477937844,0.25178,0.83994,0.35007,0.32831,0.29879,0.00027,0.00026,-4.8,False,False,0.31354,0.03653
-7.9,x1 = -7.9,0.9160656692298458,0.08393433077015416,0.41589,0.946596666245483,0.05340333375451693,0.7310585844894969,0.2689414155105029,0.9285056215978115,0.07149437840218838,0.9341961552206216,0.06580384477937844,0.30068,0.83994,0.35007,0.37148,0.34594,0.00025,0.00026,-4.8,False,False,0.31354,0.03653
