z_x1,z_note,x_x1,x_note,"p(y=0|x,D)","p(y=1|x,D)","p(u=0|z,D)","p(u=1|z,D)","p(y=0|x,u=0,z,D)","p(y=1|x,u=0,z,D)","p(y=0|x,u=1,z,D)","p(y=1|x,u=1,z,D)","p(y=0|x,z,D)","p(y=1|x,z,D)","H[p(u|z,D)]","H[p(y|x,u=0,z,D)]","H[p(y|x,u=1,z,D)]","H[p(y|x,D)]",Va,Ve,kl_pyx_pyxz,kl_pyxz_pyx
8.9,x1 = 8.9,-3.6,x1 = -3.6,0.8938960786905616,0.10610392130943855,0.03131995251389558,0.9686800474861045,0.8219316572508808,0.1780683427491193,0.907393400579769,0.09260659942023095,0.9047167428369535,0.09528325716304646,0.20097,0.67583,0.44511,0.48805,0.45234,0.035709999999999964,0.0006573615054482913,0.0006367604071202369
5.0,x1 = 5.0,-3.6,x1 = -3.6,0.8938960786905616,0.10610392130943855,0.04701911271408073,0.9529808872859192,0.8152144175371815,0.1847855824628186,0.9027346689794176,0.09726533102058252,0.8986195444120904,0.1013804555879097,0.2736,0.69043,0.46027,0.48805,0.47109,0.016959999999999975,0.00012080236405440179,0.00011919172192855713
1.7,x1 = 1.7,-3.6,x1 = -3.6,0.8938960786905616,0.10610392130943855,0.3946143802118494,0.6053856197881504,0.873810509751463,0.12618949024853696,0.9070083129577633,0.09299168704223665,0.893907982421114,0.10609201757888578,0.96771,0.54689,0.44638,0.48805,0.48604,0.0020099999999999563,7.470446886079555e-10,7.470192378360944e-10
-3.5,x1 = -3.5,-3.6,x1 = -3.6,0.8938960786905616,0.10610392130943855,0.874496838446766,0.12550316155323415,0.9477627498024891,0.0522372501975108,0.542682796205737,0.457317203794263,0.8969239349442594,0.1030760650557406,0.54498,0.29583,0.99474,0.48805,0.38355,0.10449999999999998,4.915894069785305e-05,4.8741722395582304e-05
4.6,x1 = 4.6,-3.6,x1 = -3.6,0.8938960786905616,0.10610392130943855,0.07687532624621998,0.92312467375378,0.8338240856241474,0.1661759143758525,0.9056661576543213,0.09433384234567871,0.9001432749287973,0.09985672507120275,0.39107,0.64888,0.45077,0.48805,0.466,0.02204999999999996,0.000213193761475005,0.00020941040928792141
-2.3,x1 = -2.3,-3.6,x1 = -3.6,0.8938960786905616,0.10610392130943855,0.8108662346754597,0.1891337653245403,0.9283027338006848,0.07169726619931513,0.6975801548375686,0.3024198451624315,0.8846653036960022,0.1153346963039979,0.69966,0.37223,0.88423,0.48805,0.46907,0.018979999999999997,0.00042765135595920246,0.0004381901712046197
-4.1,x1 = -4.1,-3.6,x1 = -3.6,0.8938960786905616,0.10610392130943855,0.926569753781107,0.07343024621889307,0.9238387714576589,0.07616122854234122,0.6340864319281942,0.36591356807180586,0.90256218582351,0.09743781417649011,0.3786,0.38851,0.94748,0.48805,0.42956,0.058489999999999986,0.0004161768384260897,0.0004058268112551947
1.3,x1 = 1.3,-3.6,x1 = -3.6,0.8938960786905616,0.10610392130943855,0.4594667573610912,0.5405332426389088,0.8804041714395698,0.1195958285604303,0.9053394641450595,0.09466053585494062,0.8938825260618184,0.10611747393818163,0.99525,0.5282,0.45184,0.48805,0.48692,0.0011299999999999644,9.682023147406389e-10,9.682382599017389e-10
-3.4,x1 = -3.4,-3.6,x1 = -3.6,0.8938960786905616,0.10610392130943855,0.8776164472723428,0.12238355272765725,0.9476793417276845,0.0523206582723156,0.5549764314935134,0.4450235685064866,0.8996189644067364,0.10038103559326372,0.53617,0.29617,0.99126,0.48805,0.38124,0.10680999999999996,0.00017836241784665707,0.0001754691734757183
-7.4,x1 = -7.4,-3.6,x1 = -3.6,0.8938960786905616,0.10610392130943855,0.9194626522342482,0.08053734776575193,0.9126449960187003,0.08735500398129976,0.6869844039954633,0.3130155960045366,0.8944708904418994,0.10552910955810066,0.40407,0.42758,0.89662,0.48805,0.46536,0.022689999999999988,1.7473852367564172e-06,1.744597858675573e-06
