z_x1,z_note,x_x1,x_note,"p(y=0|x,D)","p(y=1|x,D)","p(u=0|z,D)","p(u=1|z,D)","p(y=0|x,u=0,z,D)","p(y=1|x,u=0,z,D)","p(y=0|x,u=1,z,D)","p(y=1|x,u=1,z,D)","p(y=0|x,z,D)","p(y=1|x,z,D)","H[p(u|z,D)]","Var[p(u|z,D)]","H[p(y|x,u=0,z,D)]","H[p(y|x,u=1,z,D)]","Var[p(y|x,u=0,z,D)]","Var[p(y|x,u=1,z,D)]","H[p(y|x,D)]","Var[p(y|x,D)]",Va,Ve,Va_variance,Ve_variance,kl_pyx_pyxz,kl_pyxz_pyx,api_calls
13.9,x1 = 13.9,14.0,x1 = 14.0,0.21238431945806124,0.7876156805419388,0.19880881276861473,0.8011911872313853,0.5976078382986127,0.40239216170138714,0.09736489157646415,0.9026351084235358,0.1968175979101679,0.803182402089832,0.71954,0.15928,0.97233,0.46059,0.24047,0.08788,0.74602,0.16728,0.56233,0.18369000000000002,0.11822,0.049060000000000006,0.0007518214357935676,0.0007377837303896295,44990
13.7,x1 = 13.7,14.0,x1 = 14.0,0.21238431945806124,0.7876156805419388,0.1968379492307035,0.8031620507692965,0.5887274364111763,0.41127256358882375,0.09348006248093395,0.9065199375190662,0.19096353992725423,0.8090364600727459,0.71556,0.15809,0.97716,0.44798,0.24213,0.08474,0.74602,0.16728,0.55214,0.19388000000000005,0.11572,0.05156000000000001,0.001444961385437156,0.0014071869195299534,45020
14.3,x1 = 14.3,14.0,x1 = 14.0,0.21238431945806124,0.7876156805419388,0.21477260249101385,0.7852273975089862,0.6036795126757926,0.3963204873242073,0.09865712150122355,0.9013428784987765,0.20712209477002055,0.7928779052299795,0.75051,0.16865,0.96876,0.46472,0.23925,0.08892,0.74602,0.16728,0.57297,0.17305000000000004,0.12121,0.046070000000000014,8.378913685144502e-05,8.327597362500511e-05,45050
13.8,x1 = 13.8,14.0,x1 = 14.0,0.21238431945806124,0.7876156805419388,0.20015214236632395,0.799847857633676,0.5856307229831861,0.414369277016814,0.0966586412740499,0.9033413587259502,0.1945274509854547,0.8054725490145453,0.72223,0.16009,0.97874,0.45831,0.24267,0.08732,0.74602,0.16728,0.56248,0.18354000000000004,0.11841,0.04887000000000001,0.0009950259667213107,0.000973569473687208,45080
14.0,x1 = 14.0,14.0,x1 = 14.0,0.21238431945806124,0.7876156805419388,0.21238431945806124,0.7876156805419388,0.638236653385686,0.361763346614314,0.10772716329602369,0.8922728367039763,0.2203990603147597,0.7796009396852404,0.74602,0.16728,0.94414,0.49302,0.23089,0.09612,0.74602,0.16728,0.58883,0.15719000000000005,0.12474,0.04254000000000001,0.0001885835942446873,0.00019027669624467787,45110
14.1,x1 = 14.1,14.0,x1 = 14.0,0.21238431945806124,0.7876156805419388,0.1971329655374512,0.8028670344625487,0.6125276135674083,0.3874723864325917,0.0908001953492838,0.9091998046507163,0.1936498685048207,0.8063501314951793,0.71616,0.15827,0.96315,0.43914,0.23734,0.08256,0.74602,0.16728,0.54244,0.20357999999999998,0.11307,0.05421000000000001,0.0010976750687123615,0.0010727772602808563,45140
13.5,x1 = 13.5,14.0,x1 = 14.0,0.21238431945806124,0.7876156805419388,0.19433448348939103,0.805665516510609,0.6063444565238804,0.3936555434761196,0.09548883895062138,0.9045111610493788,0.19476570152937456,0.8052342984706257,0.71045,0.15657,0.96712,0.45453,0.23869,0.08637,0.74602,0.16728,0.55414,0.19188000000000005,0.11597,0.05131000000000001,0.000968067233504389,0.000947485090303523,45170
14.2,x1 = 14.2,14.0,x1 = 14.0,0.21238431945806124,0.7876156805419388,0.19251076630401748,0.8074892336959826,0.60944117057384,0.39055882942616005,0.09296025020801171,0.9070397497919884,0.19238838796904154,0.8076116120309587,0.70669,0.15545,0.96516,0.44627,0.23802,0.08432,0.74602,0.16728,0.54616,0.19986000000000004,0.11391,0.053370000000000015,0.0012545132292951441,0.0012240282142012143,45200
13.4,x1 = 13.4,14.0,x1 = 14.0,0.21238431945806124,0.7876156805419388,0.18801151440813788,0.8119884855918622,0.5915055069282225,0.4084944930717776,0.09631999156335229,0.9036800084366476,0.18942057022007575,0.8105794297799243,0.69729,0.15266,0.9757,0.45722,0.24163,0.08704,0.74602,0.16728,0.5547,0.19132000000000005,0.1161,0.05118000000000002,0.0016672934936740151,0.0016203520930205481,45230
13.2,x1 = 13.2,14.0,x1 = 14.0,0.21238431945806124,0.7876156805419388,0.1749798098425393,0.8250201901574608,0.585583018816474,0.414416981183526,0.10003200803055037,0.8999679919694497,0.18499363156672405,0.815006368433276,0.66897,0.14436,0.97876,0.4691,0.24268,0.09003,0.74602,0.16728,0.55828,0.18774000000000002,0.11674,0.050540000000000015,0.0024000193172945272,0.002318348019363828,45260
