z_x1,z_note,x_x1,x_note,"p(y=0|x,D)","p(y=1|x,D)","p(u=0|z,D)","p(u=1|z,D)","p(y=0|x,u=0,z,D)","p(y=1|x,u=0,z,D)","p(y=0|x,u=1,z,D)","p(y=1|x,u=1,z,D)","p(y=0|x,z,D)","p(y=1|x,z,D)","H[p(u|z,D)]","Var[p(u|z,D)]","H[p(y|x,u=0,z,D)]","H[p(y|x,u=1,z,D)]","Var[p(y|x,u=0,z,D)]","Var[p(y|x,u=1,z,D)]","H[p(y|x,D)]","Var[p(y|x,D)]",Va,Ve,Va_variance,Ve_variance,kl_pyx_pyxz,kl_pyxz_pyx,api_calls
5.0,x1 = 5.0,-10.8,x1 = -10.8,0.9113780893585689,0.08862191064143088,0.12368428368319191,0.8763157163168079,0.8875002026975265,0.11249979730247359,0.9292244418227107,0.07077555817728945,0.924063809194286,0.07593619080571405,0.53986,0.10839,0.50741,0.36881,0.09984,0.06577,0.43185,0.08077,0.38595,0.045899999999999996,0.06998,0.010789999999999994,0.0010925781292759843,0.0010425429624428776,9700
4.2,x1 = 4.2,-10.8,x1 = -10.8,0.9113780893585689,0.08862191064143088,0.19813463532995576,0.8018653646700441,0.9012966149723345,0.09870338502766543,0.9286938516673494,0.07130614833265057,0.9232655101657341,0.07673448983426581,0.71818,0.15888,0.46487,0.37078,0.08896,0.06622,0.43185,0.08077,0.38942,0.04243000000000002,0.07073,0.010039999999999993,0.0009534603891183605,0.0009127084947253821,9730
-3.3,x1 = -3.3,-10.8,x1 = -10.8,0.9113780893585689,0.08862191064143088,0.8348207007286655,0.16517929927133446,0.9400487714561112,0.05995122854388866,0.7490583037888321,0.2509416962111679,0.9085010998393256,0.0914989001606743,0.64656,0.1379,0.32725,0.81277,0.05636,0.18797,0.43185,0.08077,0.40745,0.024400000000000033,0.0781,0.002669999999999992,5.026262445149759e-05,5.074722920291822e-05,9760
4.3,x1 = 4.3,-10.8,x1 = -10.8,0.9113780893585689,0.08862191064143088,0.1857178795707129,0.8142821204292872,0.9010408598489864,0.09895914015101354,0.9279478505995445,0.07205214940045539,0.9229507413317222,0.07704925866827783,0.69243,0.15123,0.46569,0.37354,0.08917,0.06686,0.43185,0.08077,0.39065,0.041200000000000014,0.071,0.009770000000000001,0.0009014413568630142,0.0008639923045709527,9790
-9.1,x1 = -9.1,-10.8,x1 = -10.8,0.9113780893585689,0.08862191064143088,0.910127876330385,0.08987212366961488,0.9544052183870229,0.04559478161297724,0.4144397093705474,0.5855602906294527,0.9058773713833675,0.09412262861663247,0.43604,0.0818,0.26738,0.97877,0.04352,0.24268,0.43185,0.08077,0.33131,0.10054000000000002,0.06142,0.019349999999999992,0.00018062984984237081,0.00018392065742598666,9820
3.7,x1 = 3.7,-10.8,x1 = -10.8,0.9113780893585689,0.08862191064143088,0.1635061484071393,0.8364938515928607,0.9043993752081452,0.09560062479185498,0.9298453952407485,0.0701546047592515,0.9256848145129266,0.07431518548707342,0.64263,0.13677,0.45489,0.3665,0.08646,0.06523,0.43185,0.08077,0.38095,0.0509,0.0687,0.012069999999999997,0.0014075177142517901,0.0013342199415271958,9850
-5.5,x1 = -5.5,-10.8,x1 = -10.8,0.9113780893585689,0.08862191064143088,0.8955352529040906,0.10446474709590936,0.9492158002111564,0.05078419978884356,0.5846881253352824,0.41531187466471764,0.9111355088457883,0.08886449115421162,0.48299,0.09355,0.28972,0.97921,0.04821,0.24283,0.43185,0.08077,0.36175,0.0701,0.06854,0.012229999999999991,3.6368682864584704e-07,3.63986061129826e-07,9880
3.1,x1 = 3.1,-10.8,x1 = -10.8,0.9113780893585689,0.08862191064143088,0.2666367394205359,0.733363260579464,0.907395864037601,0.09260413596239914,0.9250886758982972,0.07491132410170301,0.9203711222325801,0.07962887776742,0.8366,0.19554,0.4451,0.38399,0.08403,0.0693,0.43185,0.08077,0.40028,0.03156999999999999,0.07323,0.007539999999999991,0.0005337961823655805,0.0005167830201471858,9910
-1.3,x1 = -1.3,-10.8,x1 = -10.8,0.9113780893585689,0.08862191064143088,0.6866545504679791,0.31334544953202104,0.9261966902828206,0.07380330971717944,0.8693552926150293,0.1306447073849707,0.9083856969785782,0.09161430302142187,0.897,0.21516,0.37996,0.5592,0.06836,0.11358,0.43185,0.08077,0.43612,-0.004269999999999996,0.08253,-0.0017600000000000116,5.43344564347464e-05,5.487904870792428e-05,9940
7.8,x1 = 7.8,-10.8,x1 = -10.8,0.9113780893585689,0.08862191064143088,0.061642974217965565,0.9383570257820344,0.8688626536999239,0.13113734630007598,0.9262509054527763,0.07374909454722368,0.922713322929561,0.07728667707043888,0.33393,0.05784,0.56055,0.37976,0.11394,0.06831,0.43185,0.08077,0.3909,0.040949999999999986,0.07112,0.009649999999999992,0.0008632546600103475,0.0008281695548272208,9970
