x1,label,note
1.3,0,x1 = 1.3
0.6,0,x1 = 0.6
5.4,1,x1 = 5.4
-0.3,0,x1 = -0.3
-0.7,0,x1 = -0.7
-0.2,0,x1 = -0.2
-0.9,0,x1 = -0.9
-3.5,1,x1 = -3.5
4.4,1,x1 = 4.4
-3.0,1,x1 = -3.0
-1.8,1,x1 = -1.8
2.6,0,x1 = 2.6
4.4,1,x1 = 4.4
0.2,0,x1 = 0.2
3.1,1,x1 = 3.1
8.4,1,x1 = 8.4
0.6,1,x1 = 0.6
-1.5,0,x1 = -1.5
-0.8,0,x1 = -0.8
0.3,1,x1 = 0.3
5.2,1,x1 = 5.2
-1.2,1,x1 = -1.2
2.1,1,x1 = 2.1
-0.7,0,x1 = -0.7
2.6,1,x1 = 2.6
2.4,1,x1 = 2.4
-1.1,1,x1 = -1.1
5.9,1,x1 = 5.9
2.1,0,x1 = 2.1
1.0,0,x1 = 1.0
-4.5,0,x1 = -4.5
1.0,0,x1 = 1.0
4.3,0,x1 = 4.3
-0.0,0,x1 = -0.0
-2.1,0,x1 = -2.1
3.6,1,x1 = 3.6
0.1,0,x1 = 0.1
4.7,0,x1 = 4.7
2.8,1,x1 = 2.8
-5.1,0,x1 = -5.1
3.5,1,x1 = 3.5
6.1,1,x1 = 6.1
1.0,1,x1 = 1.0
0.9,1,x1 = 0.9
-0.6,1,x1 = -0.6
-0.8,1,x1 = -0.8
1.4,1,x1 = 1.4
3.5,1,x1 = 3.5
2.5,1,x1 = 2.5
-0.0,1,x1 = -0.0
4.1,1,x1 = 4.1
-6.5,0,x1 = -6.5
3.9,0,x1 = 3.9
2.8,1,x1 = 2.8
3.6,0,x1 = 3.6
1.9,0,x1 = 1.9
0.0,0,x1 = 0.0
2.0,0,x1 = 2.0
1.0,0,x1 = 1.0
-1.6,0,x1 = -1.6
0.2,0,x1 = 0.2
1.4,0,x1 = 1.4
4.3,0,x1 = 4.3
6.8,1,x1 = 6.8
4.9,0,x1 = 4.9
2.8,1,x1 = 2.8
3.3,1,x1 = 3.3
-0.4,0,x1 = -0.4
-1.2,0,x1 = -1.2
-2.0,0,x1 = -2.0
-4.7,0,x1 = -4.7
1.1,0,x1 = 1.1
-2.7,0,x1 = -2.7
2.4,1,x1 = 2.4
-3.7,0,x1 = -3.7
