z_x1,z_note,x_x1,x_note,"p(y=0|x,D)","p(y=1|x,D)","p(u=0|z,D)","p(u=1|z,D)","p(y=0|x,u=0,z,D)","p(y=1|x,u=0,z,D)","p(y=0|x,u=1,z,D)","p(y=1|x,u=1,z,D)","p(y=0|x,z,D)","p(y=1|x,z,D)","H[p(u|z,D)]","Var[p(u|z,D)]","H[p(y|x,u=0,z,D)]","H[p(y|x,u=1,z,D)]","Var[p(y|x,u=0,z,D)]","Var[p(y|x,u=1,z,D)]","H[p(y|x,D)]","Var[p(y|x,D)]",Va,Ve,Va_variance,Ve_variance,kl_pyx_pyxz,kl_pyxz_pyx,api_calls
-9.8,x1 = -9.8,-9.4,x1 = -9.4,0.7449070497489747,0.25509295025102535,0.7441925037353668,0.2558074962646332,0.873623626139517,0.12637637386048306,0.419982105170977,0.5800178948290229,0.7575787244588748,0.24242127554112536,0.82035,0.19037,0.54742,0.98145,0.11041,0.2436,0.81925,0.19002,0.65845,0.16080000000000005,0.14448,0.04554,0.00043213077536464507,0.0004272493075568127,8720
-10.1,x1 = -10.1,-9.4,x1 = -9.4,0.7449070497489747,0.25509295025102535,0.7243094317416323,0.2756905682583678,0.8693191265447308,0.1306808734552693,0.45116371026104335,0.5488362897389567,0.7540376222091667,0.24596237779083344,0.84951,0.19969,0.5593,0.99311,0.1136,0.24762,0.81925,0.19002,0.6789,0.14035000000000009,0.15055,0.039470000000000005,0.00022291792453948273,0.0002211220798340116,8750
-9.6,x1 = -9.6,-9.4,x1 = -9.4,0.7449070497489747,0.25509295025102535,0.7444652826117932,0.25553471738820677,0.8778033151140623,0.12219668488593774,0.4155210263093096,0.5844789736906904,0.7596741410907664,0.24032585890923358,0.81993,0.19024,0.53564,0.97931,0.10726,0.24286,0.81925,0.19002,0.64901,0.17024000000000006,0.14191,0.048109999999999986,0.0005891389055821712,0.0005813358420967921,8780
-9.3,x1 = -9.3,-9.4,x1 = -9.4,0.7449070497489747,0.25509295025102535,0.7422060285479628,0.25779397145203725,0.8739780238115632,0.1260219761884369,0.41499937413841154,0.5850006258615885,0.7556560949006282,0.24434390509937198,0.8234,0.19134,0.54643,0.97905,0.11014,0.24277,0.81925,0.19002,0.65796,0.16129000000000004,0.14433,0.04568999999999998,0.00030985691484199974,0.00030690433510313815,8810
-9.2,x1 = -9.2,-9.4,x1 = -9.4,0.7449070497489747,0.25509295025102535,0.7424045865253776,0.25759541347462245,0.8724895124573202,0.1275104875426797,0.4232840731503589,0.5767159268496411,0.7567762515839941,0.24322374841600586,0.8231,0.19124,0.55057,0.98295,0.11125,0.24411,0.81925,0.19002,0.66195,0.1573,0.14547,0.044550000000000006,0.0003785746168678914,0.00037457830396160977,8840
-9.1,x1 = -9.1,-9.4,x1 = -9.4,0.7449070497489747,0.25509295025102535,0.745302742659506,0.254697257340494,0.8771622211996617,0.12283777880033842,0.42468365133996555,0.5753163486600344,0.761917170451048,0.2380828295489521,0.81864,0.18983,0.53746,0.98357,0.10775,0.24433,0.81925,0.19002,0.65108,0.16817000000000004,0.14254,0.047479999999999994,0.0007849868461507065,0.0007729319639774683,8870
-8.8,x1 = -8.8,-9.4,x1 = -9.4,0.7449070497489747,0.25509295025102535,0.7418649093685398,0.2581350906314602,0.8680471476235907,0.13195285237640933,0.4543670959956264,0.5456329040043736,0.7612618100041789,0.238738189995821,0.82392,0.1915,0.56277,0.99398,0.11454,0.24792,0.81925,0.19002,0.67408,0.14517000000000002,0.14897,0.04105,0.000724772999584157,0.0007140920690381913,8900
-9.5,x1 = -9.5,-9.4,x1 = -9.4,0.7449070497489747,0.25509295025102535,0.7418580417584101,0.2581419582415899,0.8787645435687492,0.12123545643125071,0.4111673661474991,0.5888326338525008,0.7580580925209875,0.2419419074790124,0.82393,0.1915,0.5329,0.97711,0.10654,0.24211,0.81925,0.19002,0.64757,0.17168000000000005,0.14154,0.048479999999999995,0.00046585458934111923,0.00046038546107226436,8930
-9.7,x1 = -9.7,-9.4,x1 = -9.4,0.7449070497489747,0.25509295025102535,0.7436708475080723,0.2563291524919275,0.8754653406713058,0.12453465932869415,0.4120201017814538,0.5879798982185462,0.7566708153602509,0.24332918463974879,0.82116,0.19062,0.54226,0.97755,0.10903,0.24226,0.81925,0.19002,0.65384,0.16541000000000006,0.14318,0.04683999999999999,0.00037180692051802,0.00036791810797074526,8960
-10.0,x1 = -10.0,-9.4,x1 = -9.4,0.7449070497489747,0.25509295025102535,0.7364711463429163,0.2635288536570836,0.8660035899316337,0.1339964100683662,0.45594002407930495,0.544059975920695,0.7579400084960335,0.24205999150396643,0.83202,0.19408,0.5683,0.99439,0.11604,0.24806,0.81925,0.19002,0.68059,0.13866,0.15083,0.03919,0.0004574268411058225,0.00045210670384170093,8990
