z_x1,z_note,x_x1,x_note,"p(y=0|x,D)","p(y=1|x,D)","p(u=0|z,D)","p(u=1|z,D)","p(y=0|x,u=0,z,D)","p(y=1|x,u=0,z,D)","p(y=0|x,u=1,z,D)","p(y=1|x,u=1,z,D)","p(y=0|x,z,D)","p(y=1|x,z,D)","H[p(u|z,D)]","Var[p(u|z,D)]","H[p(y|x,u=0,z,D)]","H[p(y|x,u=1,z,D)]","Var[p(y|x,u=0,z,D)]","Var[p(y|x,u=1,z,D)]","H[p(y|x,D)]","Var[p(y|x,D)]",Va,Ve,Va_variance,Ve_variance,kl_pyx_pyxz,kl_pyxz_pyx,api_calls
-6.1,x1 = -6.1,-0.2,x1 = -0.2,0.723656839575988,0.27634316042401197,0.9279933453672442,0.07200665463275584,0.7348697827219748,0.2651302172780251,0.6740776399151964,0.3259223600848036,0.730492343890502,0.26950765610949795,0.37337,0.06682,0.83439,0.91071,0.19484,0.2197,0.85042,0.19998,0.83989,0.010529999999999928,0.19663,0.003349999999999992,0.00011804198927168642,0.00011742800149863904,34080
0.6,x1 = 0.6,-0.2,x1 = -0.2,0.723656839575988,0.27634316042401197,0.4418638322915471,0.558136167708453,0.7525699910906386,0.2474300089093613,0.7139904966531649,0.28600950334683517,0.7310373799131775,0.26896262008682253,0.99023,0.24662,0.80718,0.86351,0.18621,0.20421,0.85042,0.19998,0.83862,0.011799999999999922,0.19626,0.003720000000000001,0.00013773301120377675,0.0001369582221854137,34110
2.3,x1 = 2.3,-0.2,x1 = -0.2,0.723656839575988,0.27634316042401197,0.7869348080531656,0.2130651919468344,0.7497952473793756,0.2502047526206243,0.7104907951596804,0.28950920484031967,0.7414208367228212,0.2585791632771789,0.7473,0.16767,0.8116,0.86809,0.1876,0.20569,0.85042,0.19998,0.82364,0.026779999999999915,0.19145,0.008529999999999982,0.0008111956618946856,0.0007998680235060639,34140
5.4,x1 = 5.4,-0.2,x1 = -0.2,0.723656839575988,0.27634316042401197,0.04854559445254287,0.9514544055474572,0.6805452530246641,0.319454746975336,0.7411636392372735,0.25883636076272654,0.7382208836438285,0.2617791163561715,0.28019,0.04619,0.90379,0.82499,0.2174,0.19184,0.85042,0.19998,0.82882,0.021599999999999953,0.19308,0.0068999999999999895,0.0005424414294577656,0.0005362900225310968,34170
5.1,x1 = 5.1,-0.2,x1 = -0.2,0.723656839575988,0.27634316042401197,0.049727808252146524,0.9502721917478535,0.6763909308605311,0.32360906913946874,0.7489172806732058,0.25108271932679405,0.745310704256493,0.25468929574350685,0.28524,0.04725,0.90826,0.81299,0.21889,0.18804,0.85042,0.19998,0.81773,0.03269,0.18957,0.010410000000000003,0.0012131327288321288,0.0011922425838092957,34200
-0.3,x1 = -0.3,-0.2,x1 = -0.2,0.723656839575988,0.27634316042401197,0.7185775142591728,0.2814224857408273,0.8446564912413808,0.1553435087586191,0.5092930745768718,0.4907069254231282,0.750277684897118,0.24972231510288206,0.85738,0.20222,0.62305,0.99975,0.13121,0.24991,0.85042,0.19998,0.72906,0.12135999999999991,0.16461,0.035369999999999985,0.0018489803829405335,0.001809254859085542,34230
0.2,x1 = 0.2,-0.2,x1 = -0.2,0.723656839575988,0.27634316042401197,0.6810961512158494,0.31890384878415057,0.7583333862408617,0.24166661375913842,0.6303935847753637,0.3696064152246362,0.7175328911408343,0.2824671088591658,0.90319,0.2172,0.7978,0.95037,0.18326,0.233,0.85042,0.19998,0.84646,0.0039599999999999635,0.19912,0.0008599999999999997,9.292836674997321e-05,9.334499971512446e-05,34260
5.7,x1 = 5.7,-0.2,x1 = -0.2,0.723656839575988,0.27634316042401197,0.04034308980758704,0.9596569101924131,0.6838791577271948,0.31612084227280524,0.7484944962340168,0.2515055037659832,0.7458877138296885,0.25411228617031156,0.24386,0.03872,0.90011,0.81366,0.21619,0.18825,0.85042,0.19998,0.81715,0.03326999999999991,0.18938,0.010599999999999998,0.0012798816441292327,0.0012572159263562928,34290
-0.7,x1 = -0.7,-0.2,x1 = -0.2,0.723656839575988,0.27634316042401197,0.7000681174705767,0.29993188252942327,0.8126306161521206,0.1873693838478793,0.533511540545512,0.46648845945448797,0.7289139063555581,0.27108609364444186,0.88121,0.20997,0.69594,0.99676,0.15226,0.24888,0.85042,0.19998,0.78617,0.06424999999999992,0.18124,0.01873999999999998,6.96509996455626e-05,6.937367878075574e-05,34320
6.8,x1 = 6.8,-0.2,x1 = -0.2,0.723656839575988,0.27634316042401197,0.031372596740877626,0.9686274032591224,0.6801386877350255,0.3198613122649746,0.7523467072926322,0.24765329270736786,0.750081354213594,0.24991864578640607,0.20123,0.03039,0.90423,0.80754,0.21755,0.18632,0.85042,0.19998,0.81057,0.03984999999999994,0.1873,0.012679999999999997,0.0018211952487307108,0.0017823779531747734,34350
