z_x1,z_note,x_x1,x_note,"p(y=0|x,D)","p(y=1|x,D)","p(u=0|z,D)","p(u=1|z,D)","p(y=0|x,u=0,z,D)","p(y=1|x,u=0,z,D)","p(y=0|x,u=1,z,D)","p(y=1|x,u=1,z,D)","p(y=0|x,z,D)","p(y=1|x,z,D)","H[p(u|z,D)]","Var[p(u|z,D)]","H[p(y|x,u=0,z,D)]","H[p(y|x,u=1,z,D)]","Var[p(y|x,u=0,z,D)]","Var[p(y|x,u=1,z,D)]","H[p(y|x,D)]","Var[p(y|x,D)]",Va,Ve,Va_variance,Ve_variance,kl_pyx_pyxz,kl_pyxz_pyx,api_calls
-10.1,x1 = -10.1,-10.0,x1 = -10.0,0.9399133498259924,0.06008665017400762,0.9241418283357703,0.07585817166422971,0.9840936084631254,0.015906391536874575,0.43782349911420193,0.5621765008857982,0.9426545567330973,0.05734544326690276,0.38741,0.0701,0.11779,0.98882,0.01565,0.24613,0.32779,0.05648,0.18386,0.14393000000000003,0.03313,0.023350000000000003,6.848696098624065e-05,6.749473641284474e-05,1154
-10.3,x1 = -10.3,-10.0,x1 = -10.0,0.9399133498259924,0.06008665017400762,0.9324533032291501,0.06754669677084987,0.9859363758364805,0.014063624163519398,0.4073334000459302,0.5926665999540697,0.9468536560800448,0.05314634391995509,0.3567,0.06298,0.10666,0.97508,0.01387,0.24141,0.32779,0.05648,0.16532,0.16247000000000003,0.02924,0.027240000000000004,0.00046012969626551756,0.0004427710597915361,1157
-9.9,x1 = -9.9,-10.0,x1 = -10.0,0.9399133498259924,0.06008665017400762,0.92414182206801,0.07585817793199003,0.9859363701286822,0.014063629871317837,0.46879062662624377,0.5312093733737563,0.9467066363013029,0.05329336369869709,0.38741,0.0701,0.10666,0.99719,0.01387,0.24903,0.32779,0.05648,0.17421,0.15358000000000002,0.03171,0.02477,0.0004400937713449262,0.0004238590667021789,1160
-10.5,x1 = -10.5,-10.0,x1 = -10.0,0.9399133498259924,0.06008665017400762,0.9399133510883348,0.0600866489116652,0.985936373602433,0.01406362639756693,0.40733340004593027,0.5926665999540698,0.951170059871098,0.04882994012890202,0.32779,0.05648,0.10666,0.97508,0.01387,0.24141,0.32779,0.05648,0.15884,0.16895000000000002,0.02754,0.028940000000000004,0.0012747809166559296,0.001194369614939338,1163
-10.0,x1 = -10.0,-10.0,x1 = -10.0,0.9399133498259924,0.06008665017400762,0.9399133498259924,0.06008665017400762,0.9940889316964858,0.005911068303514174,0.22270012850745968,0.7772998714925403,0.9477387625311204,0.0522612374688796,0.32779,0.05648,0.05226,0.76507,0.00588,0.1731,0.32779,0.05648,0.09509,0.23270000000000002,0.01593,0.04055,0.0005910391275119366,0.000565744354920376,1166
-9.8,x1 = -9.8,-10.0,x1 = -10.0,0.9399133498259924,0.06008665017400762,0.9399133464597458,0.06008665354025421,0.9840936096877063,0.01590639031229368,0.4687906266262437,0.5312093733737562,0.9531307778762328,0.04686922212376726,0.32779,0.05648,0.11779,0.99719,0.01565,0.24903,0.32779,0.05648,0.17063,0.15716000000000002,0.02967,0.026810000000000004,0.0018017587737970946,0.0016663741535489426,1169
-10.4,x1 = -10.4,-10.0,x1 = -10.0,0.9399133498259924,0.06008665017400762,0.9324533046369554,0.06754669536304464,0.9859363733829024,0.014063626617097633,0.40733340004593027,0.5926665999540698,0.9468536546067582,0.05314634539324193,0.3567,0.06298,0.10666,0.97508,0.01387,0.24141,0.32779,0.05648,0.16532,0.16247000000000003,0.02924,0.027240000000000004,0.0004601294930718569,0.0004427708681242074,1172
-10.6,x1 = -10.6,-10.0,x1 = -10.0,0.9399133498259924,0.06008665017400762,0.9324533079218341,0.06754669207816587,0.9840936093961394,0.01590639060386055,0.40733340004593027,0.5926665999540698,0.9451353651322224,0.05486463486777762,0.3567,0.06298,0.11779,0.97508,0.01565,0.24141,0.32779,0.05648,0.1757,0.15209000000000003,0.0309,0.025580000000000002,0.0002554390299316332,0.0002482723546504209,1175
-9.6,x1 = -9.6,-10.0,x1 = -10.0,0.9399133498259924,0.06008665017400762,0.9324533083911025,0.0675466916088975,0.9840936101250566,0.015906389874943385,0.43782349911420193,0.5621765008857981,0.9471948714014482,0.052805128598551784,0.3567,0.06298,0.11779,0.98882,0.01565,0.24613,0.32779,0.05648,0.17663,0.15116000000000002,0.03122,0.02526,0.0005084943206548429,0.0004883207240531226,1178
-10.2,x1 = -10.2,-10.0,x1 = -10.0,0.9399133498259924,0.06008665017400762,0.9399133540338004,0.06008664596619963,0.9840936112621673,0.01590638873783267,0.4073334000459302,0.5926665999540698,0.9494380246434269,0.05056197535657323,0.32779,0.05648,0.11779,0.97508,0.01565,0.24141,0.32779,0.05648,0.1693,0.15849000000000002,0.02922,0.027260000000000003,0.0008934881283958768,0.0008463883915516557,1181
