b0,b1,sigma
-0.07800668478012085,"[0.17257873713970184, -0.03654545173048973, 0.0041169896721839905]",3.883514165878296
0.11406634002923965,"[0.2800874412059784, -0.06559066474437714, -0.010938845574855804]",2.2235167026519775
-0.38735881447792053,"[0.0998978242278099, -0.02920525334775448, 0.005354805383831263]",1.080346941947937
-0.01727656088769436,"[0.16325977444648743, -0.037755440920591354, 0.004651317838579416]",4.528018951416016
-0.2411624789237976,"[0.15717197954654694, -0.03313077241182327, 0.0016861213371157646]",3.323641777038574
0.17313925921916962,"[0.12451183795928955, -0.0462389774620533, 0.0050718579441308975]",1.8869102001190186
0.08365842700004578,"[0.19597764313220978, -0.04908403009176254, 0.004089131020009518]",1.1847319602966309
0.022832849994301796,"[-0.16008584201335907, -0.03271247074007988, 0.015677254647016525]",4.051101207733154
-0.200761079788208,"[0.09857872873544693, -0.02045111358165741, 0.00658900011330843]",1.7679845094680786
-0.3307371735572815,"[0.11934632807970047, -0.024669136852025986, 0.005684456322342157]",3.7336628437042236
-0.23560680449008942,"[0.004878267180174589, -0.022270293906331062, 0.009873412549495697]",1.0843424797058105
-0.4126920998096466,"[0.030760610476136208, -0.017369478940963745, 0.00941663607954979]",2.3308475017547607
-0.572416365146637,"[-0.029239080846309662, -0.003163612447679043, 0.01891072280704975]",1.8433115482330322
0.09048858284950256,"[0.2798382639884949, -0.0237748920917511, 0.002029063645750284]",1.178631067276001
-0.33786192536354065,"[-0.02155034802854061, -0.007379181683063507, 0.012505143880844116]",1.8383376598358154
0.16365674138069153,"[0.011311830021440983, -0.03459709882736206, 0.007264403626322746]",1.2878351211547852
0.6879682540893555,"[0.42474597692489624, -0.05216197296977043, -0.0012836463283747435]",1.0514386892318726
-0.11312762647867203,"[0.11344355344772339, -0.024836858734488487, 0.008548364043235779]",1.19312584400177
0.3067118227481842,"[0.20654386281967163, -0.038414545357227325, 0.0024362620897591114]",1.3387569189071655
-0.04232288524508476,"[0.10773849487304688, -0.02424992248415947, 0.0040254718624055386]",3.54903244972229
0.12926128506660461,"[0.13388650119304657, -0.05640387907624245, 0.0039032171480357647]",1.2883100509643555
0.37061959505081177,"[0.30374908447265625, -0.014983288012444973, 0.004208833444863558]",4.38209867477417
0.37511157989501953,"[0.33673709630966187, -0.04931873828172684, 0.00012102123582735658]",2.3354439735412598
0.47619184851646423,"[0.4687425494194031, -0.05295637995004654, -0.004424038343131542]",0.8195753693580627
0.3357573449611664,"[0.2617298364639282, -0.020285384729504585, 0.00518045574426651]",0.8898476362228394
0.47254475951194763,"[0.09385962784290314, -0.03140220046043396, 0.0022717961110174656]",1.2083642482757568
0.19057828187942505,"[0.17866675555706024, -0.025111868977546692, 0.003920554183423519]",1.5089802742004395
0.07638386636972427,"[-0.040521103888750076, -0.025167714804410934, 0.009622511453926563]",0.9225564002990723
0.29927951097488403,"[0.2316681444644928, -0.06616929918527603, -0.0008527172030881047]",1.0873528718948364
0.08037681132555008,"[0.11565929651260376, -0.016391806304454803, 0.0062107485719025135]",0.9316970109939575
0.02395440638065338,"[-0.06876814365386963, -0.011355608701705933, 0.011563297361135483]",1.0966994762420654
0.08134742081165314,"[0.03476288542151451, -0.03296923264861107, 0.008157453499734402]",1.2796324491500854
0.473351389169693,"[0.36538827419281006, -0.037751004099845886, -0.0005167367053218186]",1.8566004037857056
0.16565701365470886,"[0.08599479496479034, -0.031438108533620834, 0.006093474105000496]",3.1438159942626953
0.2970975637435913,"[0.20180875062942505, -0.026798788458108902, 0.006546406541019678]",2.9189348220825195
0.27008751034736633,"[0.17155487835407257, -0.040742892771959305, -0.005939463619142771]",1.5083820819854736
0.3196973502635956,"[0.283798485994339, -0.05511540174484253, 0.00022483087377622724]",0.9198769927024841
0.2333199381828308,"[0.1782786250114441, -0.055209480226039886, 0.0030179487075656652]",0.9796620607376099
-0.17028945684432983,"[-0.00714328745380044, -0.021815147250890732, 0.013918832875788212]",2.052551746368408
-0.23882898688316345,"[0.03711942583322525, -0.026165449991822243, 0.009202891029417515]",2.514442205429077
0.3489808440208435,"[-0.05714328587055206, -0.022312594577670097, 0.006156527902930975]",1.406494379043579
0.08223267644643784,"[-0.1322041153907776, -0.01680518500506878, 0.015473584644496441]",1.2104883193969727
-0.5169914960861206,"[-0.12882576882839203, 0.0013507488183677197, 0.014776691794395447]",1.004018783569336
-0.20173443853855133,"[0.05717159062623978, -0.010329264216125011, 0.01117160078138113]",1.0122380256652832
0.21323852241039276,"[0.10393448919057846, -0.051549721509218216, 5.877204239368439e-05]",1.4884121417999268
-0.27432581782341003,"[-0.017825216054916382, -0.02510511316359043, 0.011571946553885937]",1.1150963306427002
0.19851477444171906,"[0.2564051151275635, -0.052097782492637634, 0.008122535422444344]",3.253570795059204
0.18483708798885345,"[0.16393564641475677, -0.05169382691383362, 0.0057632699608802795]",1.8561197519302368
0.04171707481145859,"[0.20330996811389923, -0.024628005921840668, 0.005975201725959778]",0.8473732471466064
0.2267169952392578,"[0.1403188705444336, -0.04613136872649193, 0.013149624690413475]",2.3801825046539307
