b0,b1,sigma
-0.6205351948738098,[0.4044479727745056],1.2196338176727295
-1.1397122144699097,[0.24860462546348572],1.5192828178405762
-1.003233790397644,[0.36509621143341064],1.4490036964416504
-0.8069300651550293,[0.4787047803401947],1.4607139825820923
-0.8150536417961121,[0.3782328963279724],1.2278180122375488
-0.484467476606369,[0.3418661952018738],1.5526580810546875
-0.6661170721054077,[0.3511306941509247],1.46019446849823
-0.4940582811832428,[0.26070505380630493],1.6819669008255005
-0.8125295639038086,[0.3850124180316925],1.4880224466323853
-1.0905497074127197,[0.36770859360694885],1.191805362701416
-0.9220532774925232,[0.3732386529445648],1.2719429731369019
-0.8588513731956482,[0.33816441893577576],1.104726791381836
-0.8489291071891785,[0.3770774304866791],1.6312813758850098
-0.49555420875549316,[0.41553062200546265],1.16288161277771
-0.45677638053894043,[0.4134974777698517],1.206472396850586
-0.3638734221458435,[0.2628006935119629],1.3095811605453491
-0.007227478548884392,[0.3136351406574249],1.286759614944458
-0.3714568018913269,[0.38657790422439575],1.3929108381271362
-0.2921578586101532,[0.2685362696647644],1.47313392162323
-0.5425614714622498,[0.31693345308303833],1.4561293125152588
-0.661971390247345,[0.22549153864383698],1.5289841890335083
0.034964051097631454,[0.5303642749786377],1.2472337484359741
-0.16693757474422455,[0.3849581778049469],1.2987529039382935
0.008083951659500599,[0.4081180691719055],1.0513948202133179
0.19315361976623535,[0.41602829098701477],1.0004976987838745
0.23160555958747864,[0.22960233688354492],1.2018752098083496
-0.15195290744304657,[0.3680071234703064],1.0266177654266357
-0.08948870003223419,[0.19175510108470917],1.201375126838684
-0.45235738158226013,[0.24436846375465393],1.3843553066253662
-0.13475310802459717,[0.3507929742336273],1.035883903503418
-0.011639729142189026,[0.27639466524124146],1.316376805305481
-0.3895692527294159,[0.2885448634624481],1.2593766450881958
-0.2719149589538574,[0.37154826521873474],1.3795074224472046
-0.3694821298122406,[0.2771304249763489],1.1672005653381348
-0.24466149508953094,[0.4356313943862915],1.0800906419754028
-0.6259894967079163,[0.31438902020454407],1.4259321689605713
-0.5037798881530762,[0.3169052302837372],1.2524840831756592
-0.7125229835510254,[0.3455261290073395],1.4377206563949585
-0.5587565898895264,[0.3376021385192871],1.2144253253936768
-0.8215116858482361,[0.3495537042617798],1.1697667837142944
-0.04163056239485741,[0.1654960960149765],1.5294580459594727
-0.14574748277664185,[0.20540063083171844],1.384081244468689
-0.6589512228965759,[0.361647367477417],1.3238192796707153
-0.3278111517429352,[0.41839179396629333],1.1551412343978882
-0.7730861306190491,[0.14183193445205688],1.573395013809204
-0.6978079080581665,[0.33370575308799744],1.386963963508606
-0.5581672787666321,[0.3610216975212097],1.2552399635314941
-0.6064872741699219,[0.31162306666374207],1.2179020643234253
-0.26811903715133667,[0.4175131618976593],1.0464450120925903
-0.32631534337997437,[0.3748681843280792],1.3882113695144653
