b0,b1,sigma
0.12547458708286285,"[0.28951093554496765, -0.05168784037232399]",0.8869614601135254
-0.0051197474822402,"[0.17948400974273682, -0.06398867815732956]",1.1412582397460938
-0.018414506688714027,"[0.26978999376296997, -0.05020313709974289]",1.1411241292953491
0.2664487957954407,"[0.32042166590690613, -0.05483720079064369]",1.0645822286605835
-0.009411914274096489,"[0.29959985613822937, -0.04697069525718689]",0.9536396861076355
0.43666693568229675,"[0.3127065896987915, -0.061040230095386505]",1.2639973163604736
0.2674110233783722,"[0.33233463764190674, -0.05930696800351143]",1.1723755598068237
0.48465391993522644,"[0.2272423505783081, -0.045986175537109375]",1.4885756969451904
0.11493156850337982,"[0.32006680965423584, -0.04251318797469139]",1.2706835269927979
-0.1747768521308899,"[0.3085348308086395, -0.041346799582242966]",0.9650747179985046
-0.38184478878974915,"[0.37386295199394226, -0.021441001445055008]",1.2163487672805786
-0.39893412590026855,"[0.34871697425842285, -0.02098635397851467]",1.0573464632034302
-0.05244124308228493,"[0.35192301869392395, -0.03408527746796608]",1.571044921875
0.20907659828662872,"[0.40628159046173096, -0.03487700968980789]",1.0559860467910767
-0.17512674629688263,"[0.4243679940700531, -0.012490145862102509]",1.1888476610183716
0.1747714877128601,"[0.2817360460758209, -0.036218129098415375]",1.1375259160995483
0.6432919502258301,"[0.3827100694179535, -0.05045682191848755]",1.058315396308899
0.13470542430877686,"[0.428801029920578, -0.028413135558366776]",1.3076930046081543
0.41857439279556274,"[0.27456867694854736, -0.04545227810740471]",1.3459837436676025
0.20028996467590332,"[0.26531192660331726, -0.043620821088552475]",1.2338130474090576
0.26697587966918945,"[0.22898101806640625, -0.0653153657913208]",1.2347151041030884
0.4767177700996399,"[0.5154162049293518, -0.01948130503296852]",1.153052806854248
0.38299694657325745,"[0.3507782816886902, -0.05008900538086891]",0.9502274990081787
0.42230260372161865,"[0.383756548166275, -0.05174500495195389]",0.8684712648391724
0.40064942836761475,"[0.4190503656864166, -0.02982218749821186]",0.9341208338737488
0.5588464736938477,"[0.19551962614059448, -0.05266041308641434]",1.083306908607483
0.34212908148765564,"[0.30427879095077515, -0.03790919482707977]",0.7945395708084106
0.5427035689353943,"[0.253005713224411, -0.04967042803764343]",1.0031949281692505
0.28298017382621765,"[0.20982976257801056, -0.06440787017345428]",1.092200517654419
0.29124489426612854,"[0.31310614943504333, -0.03731647878885269]",0.8718014359474182
0.3271576762199402,"[0.30216044187545776, -0.04621707275509834]",1.2850300073623657
0.21196818351745605,"[0.27373987436294556, -0.04118384048342705]",1.0816423892974854
0.4570891261100769,"[0.3415168225765228, -0.0363469198346138]",1.1831011772155762
0.22050707042217255,"[0.27603188157081604, -0.046176839619874954]",1.0014938116073608
0.4064501225948334,"[0.438504159450531, -0.03217160701751709]",0.9326608180999756
0.31045350432395935,"[0.29039984941482544, -0.05404738336801529]",1.119920015335083
0.32399782538414,"[0.2907998561859131, -0.05544210597872734]",0.9242954850196838
0.3312539756298065,"[0.2909024655818939, -0.0616990365087986]",1.0262858867645264
-0.0007033067522570491,"[0.3039308488368988, -0.03378690034151077]",1.0937590599060059
0.07804656773805618,"[0.3195587694644928, -0.04311765730381012]",0.9700196981430054
0.5257114768028259,"[0.13218796253204346, -0.034341175109148026]",1.4383125305175781
0.3017371892929077,"[0.1978505700826645, -0.023620668798685074]",1.443107008934021
-0.20222656428813934,"[0.35102924704551697, -0.023969434201717377]",1.2622756958007812
-0.019429001957178116,"[0.4303511381149292, -0.014979123137891293]",1.1310280561447144
0.2569162845611572,"[0.16005127131938934, -0.05286448821425438]",1.2921675443649292
0.05966893211007118,"[0.3299204409122467, -0.04098637402057648]",1.238362193107605
0.2779536843299866,"[0.30061015486717224, -0.050254806876182556]",0.9328476190567017
0.3109431862831116,"[0.26599398255348206, -0.058067817240953445]",0.8654599785804749
0.2827514111995697,"[0.3692808747291565, -0.0313623771071434]",0.8524104356765747
0.42202287912368774,"[0.2944291830062866, -0.055203329771757126]",1.0155556201934814
