b0,b1,sigma
0.6270690560340881,"[0.2683630585670471, -0.07061968743801117, 0.0014613044913858175]",5.105401515960693
0.18889766931533813,"[0.2280011773109436, -0.01757851615548134, 0.005232666619122028]",1.2493997812271118
-0.004868232645094395,"[0.2511644959449768, -0.01369853038340807, 0.0051810480654239655]",2.1094963550567627
0.1558789759874344,"[0.2448892891407013, -0.02935837209224701, 0.0034584281966090202]",2.458411693572998
0.4603255093097687,"[0.17004705965518951, -0.06340610980987549, -0.002582216402515769]",1.6245486736297607
0.3496798276901245,"[0.34367427229881287, -0.05607042461633682, -0.0028699575923383236]",3.3055055141448975
0.7527161836624146,"[0.23521970212459564, -0.08203385770320892, -0.0021353308111429214]",3.3352432250976562
0.11693201214075089,"[0.033072128891944885, -0.05220634862780571, 0.0031945358496159315]",4.0496721267700195
0.22673475742340088,"[-0.09737640619277954, -0.06097720190882683, 0.005018929019570351]",2.004197597503662
0.503641664981842,"[0.07808258384466171, -0.05145041272044182, 0.0027011397760361433]",3.5357964038848877
-0.6846869587898254,"[-0.2042209804058075, 0.0022856667637825012, 0.012672501616179943]",3.448746681213379
0.3899126648902893,"[0.10973948240280151, -0.05304574593901634, 0.0029984265565872192]",2.2362844944000244
0.5175871849060059,"[-0.0860714241862297, -0.048965007066726685, 0.006294929888099432]",2.1519808769226074
0.6256894469261169,"[0.12288559973239899, -0.0697651132941246, 0.02060752548277378]",3.5253400802612305
0.7882302403450012,"[-0.08178073167800903, -0.039547886699438095, -0.0005104762967675924]",4.269457817077637
0.3155965209007263,"[-0.04230779781937599, -0.03267090022563934, 0.008333036676049232]",4.613101959228516
0.3378402590751648,"[0.07071025669574738, -0.0324283204972744, -0.008374769240617752]",2.5814731121063232
0.8020187020301819,"[0.20030973851680756, -0.06248514726758003, 0.010391472838819027]",2.6617374420166016
-0.02654910646378994,"[0.07906779646873474, -0.04058893769979477, 0.010840635746717453]",2.2795164585113525
-0.1892644464969635,"[0.08837348222732544, -0.018969498574733734, 0.005056758411228657]",4.5547566413879395
-0.021397821605205536,"[0.07386302202939987, -0.0353006087243557, 0.005539774429053068]",1.2931125164031982
-0.5922412872314453,"[-0.16010932624340057, 0.034854501485824585, 0.00885847583413124]",3.297419548034668
-0.11731133610010147,"[-0.07065540552139282, -0.00759453559294343, 0.00495830737054348]",3.0656261444091797
-0.16988064348697662,"[-0.15302664041519165, -0.024347368627786636, 0.009268232621252537]",2.5218708515167236
0.21178467571735382,"[0.07100243121385574, -0.004394735675305128, 0.0013381666503846645]",4.886876583099365
0.25657930970191956,"[0.15497347712516785, -0.008640339598059654, 0.0013810181990265846]",1.9834343194961548
-0.3977193236351013,"[0.1152462437748909, 0.009380683302879333, 0.0026344468351453543]",3.780832290649414
-0.7200350165367126,"[0.015049904584884644, 0.019055601209402084, 0.005981923546642065]",2.1769299507141113
-0.5304517149925232,"[-0.10771138221025467, -0.011672505177557468, 0.008166317827999592]",1.3491979837417603
0.011310189962387085,"[0.035213541239500046, -0.023365335538983345, 0.008040038868784904]",2.874957323074341
-0.11302390694618225,"[0.037259891629219055, -0.03065831959247589, 0.006068987771868706]",2.920827865600586
-0.1542891263961792,"[0.189712256193161, 0.008804785087704659, 0.007470367010682821]",3.1879818439483643
0.29426121711730957,"[-0.032338570803403854, -0.045731931924819946, 0.006751258857548237]",2.5266737937927246
0.3216393291950226,"[0.09845485538244247, -0.029352940618991852, 0.0025247647427022457]",2.4452908039093018
1.1894725561141968,"[-0.24092581868171692, -0.0876888856291771, 0.013994134031236172]",3.3281335830688477
-0.27082401514053345,"[-0.2895248234272003, -0.010250670835375786, 0.016849711537361145]",1.9861568212509155
0.3558740019798279,"[0.33960577845573425, -0.030219409614801407, 0.001463063177652657]",3.496852397918701
0.9464617371559143,"[0.1738239973783493, -0.07185064256191254, 8.217364666052163e-05]",4.170787811279297
-0.09835848957300186,"[0.34732526540756226, -0.00928037241101265, -0.0021008923649787903]",2.4066879749298096
-0.20072516798973083,"[0.40601304173469543, -0.01298602856695652, 0.007932581007480621]",1.4390417337417603
0.34348559379577637,"[0.5835350751876831, -0.06449536234140396, -0.007584863808006048]",2.9675326347351074
0.1938757747411728,"[0.14659392833709717, -0.028952274471521378, -0.005033462308347225]",1.1392327547073364
0.20281367003917694,"[-0.03824254497885704, -0.03183303400874138, 0.004049170296639204]",2.1799840927124023
-0.3657417595386505,"[-0.05478992685675621, -0.0027830530889332294, 0.010458838194608688]",0.9596888422966003
-0.8857926726341248,"[-0.022474920377135277, 0.007142350077629089, 0.01051249448210001]",1.3131004571914673
-0.15450029075145721,"[-0.20386719703674316, -0.004831948783248663, 0.015202021226286888]",1.0552935600280762
0.02465921826660633,"[-0.2494133710861206, 0.0031562296207994223, 0.013847973197698593]",1.1622331142425537
0.07439979910850525,"[0.06667377054691315, -0.03093874454498291, 0.0065952492877841]",0.7768104076385498
-0.23301762342453003,"[0.00361052923835814, -0.011540141887962818, 0.009689176455140114]",3.306950807571411
0.15422433614730835,"[-0.010846531018614769, -0.030914919450879097, 0.01105427648872137]",2.761592149734497
