b0,b1,sigma
-0.911048948764801,[0.31012099981307983],1.3467470407485962
-1.0247039794921875,[0.3948011100292206],2.102937936782837
-0.432500958442688,[0.5072087049484253],1.5217311382293701
-0.6782410740852356,[0.38830244541168213],1.6191132068634033
-0.6931790709495544,[0.39553046226501465],1.4416968822479248
-0.7649010419845581,[0.40171268582344055],1.621165156364441
-0.6651538014411926,[0.3251481056213379],1.6384233236312866
-0.12723170220851898,[0.5616125464439392],1.5465806722640991
0.15089106559753418,[0.4877353310585022],1.989669919013977
-0.83028244972229,[0.36210447549819946],2.094151735305786
-0.24971774220466614,[0.42565879225730896],1.9403043985366821
-0.48460230231285095,[0.254683256149292],1.8935959339141846
-0.5800250172615051,[0.22916632890701294],1.7703297138214111
-0.3687666058540344,[0.3687089681625366],2.5645201206207275
-0.24285085499286652,[0.2535956799983978],1.8635752201080322
0.24339784681797028,[0.17297424376010895],2.05999755859375
-0.15026991069316864,[0.2523796856403351],2.305907964706421
-0.20935361087322235,[0.32575616240501404],2.2026970386505127
-0.5195142030715942,[0.20021475851535797],3.9866397380828857
-0.5643966794013977,[0.26852211356163025],2.142540216445923
-0.06080120429396629,[0.2791404724121094],2.670111656188965
-0.09737574309110641,[0.2580379247665405],2.5555906295776367
0.7124290466308594,[0.43942221999168396],2.1362218856811523
-0.612622857093811,[0.07554420828819275],2.462899684906006
-0.23641511797904968,[0.3366561233997345],2.034468173980713
0.11091913282871246,[0.20774266123771667],2.2934961318969727
-0.23508282005786896,[0.38799068331718445],1.6646724939346313
-0.6398503184318542,[0.36029675602912903],1.4308048486709595
-0.7338036894798279,[0.3238663971424103],1.5096168518066406
-0.5065039992332458,[0.36267682909965515],1.5269478559494019
-0.6901839971542358,[0.4134022295475006],1.716620922088623
-0.25736188888549805,[0.4624105393886566],1.4092411994934082
-1.0991311073303223,[0.3462910056114197],3.0704574584960938
-0.8062744736671448,[0.276476114988327],1.5772751569747925
-0.10863492637872696,[0.4813827872276306],1.5520851612091064
0.0025482643395662308,[0.3904624283313751],3.0137879848480225
-0.44895023107528687,[0.3606431186199188],1.3773307800292969
-0.7537823915481567,[0.45349788665771484],1.8058542013168335
-0.44636479020118713,[0.46516236662864685],1.667738676071167
-0.23856228590011597,[0.4879690408706665],1.1834206581115723
-0.47033652663230896,[0.51163250207901],2.432361602783203
-0.9695274829864502,[0.5395036339759827],1.6795482635498047
0.0743493065237999,[0.46818792819976807],2.411001682281494
-0.01911424845457077,[0.44132116436958313],1.35201096534729
-0.957724392414093,[0.3162606954574585],1.6636152267456055
-0.7858101725578308,[0.4572378993034363],1.9894938468933105
-0.6094164848327637,[0.34723833203315735],1.5180200338363647
-0.5733749270439148,[0.36051568388938904],1.1369714736938477
-0.5454123616218567,[0.3790142238140106],1.1633700132369995
-0.6690130829811096,[0.32288122177124023],1.540520429611206
