b0,b1,sigma
-0.003819751087576151,"[0.29787927865982056, -0.03630326688289642]",1.028111457824707
0.7181971073150635,"[0.23296326398849487, -0.07247257977724075]",1.3049108982086182
0.40126144886016846,"[0.391530841588974, -0.04088307172060013]",1.241827368736267
0.32353201508522034,"[0.21245992183685303, -0.05806805193424225]",1.1351653337478638
0.1347416639328003,"[0.2643868327140808, -0.049176592379808426]",1.1045339107513428
0.02504757232964039,"[0.2756393849849701, -0.04512679576873779]",1.3149288892745972
0.2681944966316223,"[0.2581775188446045, -0.05361264944076538]",1.3237171173095703
0.18600091338157654,"[0.5477113127708435, -0.010663255117833614]",1.5182887315750122
0.5939895510673523,"[0.47556811571121216, -0.015420387499034405]",1.9430757761001587
-1.0636168718338013,"[0.3588829040527344, 0.00970874261111021]",2.0800600051879883
-0.40277713537216187,"[0.4247356355190277, 0.015803564339876175]",1.898857593536377
0.1572171300649643,"[0.2707256078720093, -0.02686111442744732]",1.7724602222442627
0.163733571767807,"[0.16748414933681488, -0.032199516892433167]",1.7347564697265625
0.5339576005935669,"[0.3674790859222412, -0.03311600536108017]",2.394723415374756
0.45109814405441284,"[0.2050050050020218, -0.03858151659369469]",1.706253170967102
0.4558766782283783,"[0.17015184462070465, -0.0083897290751338]",2.043308973312378
0.4977891147136688,"[0.25766196846961975, -0.02499350905418396]",2.1915228366851807
0.10220633447170258,"[0.3313553035259247, -0.011940588243305683]",2.1782946586608887
0.00828972365707159,"[0.1997893899679184, -0.017541376873850822]",3.9558839797973633
-0.03116156905889511,"[0.2781699001789093, -0.016207270324230194]",2.084239959716797
-0.1519952416419983,"[0.2784658670425415, 0.003014152403920889]",2.6653058528900146
0.18991512060165405,"[0.256960391998291, -0.007559421472251415]",2.542861223220825
0.4026312232017517,"[0.43821460008621216, 0.008002865128219128]",2.1184380054473877
0.12911978363990784,"[0.0707225650548935, -0.02947940304875374]",2.2666239738464355
0.2018962949514389,"[0.32945626974105835, -0.015015731565654278]",1.9982374906539917
-0.08965663611888885,"[0.21006128191947937, 0.006114381365478039]",2.284778594970703
0.17550857365131378,"[0.3738887906074524, -0.01725686900317669]",1.6022930145263672
0.029221275821328163,"[0.32707563042640686, -0.026623737066984177]",1.2869229316711426
-0.22032761573791504,"[0.33470940589904785, -0.022737277671694756]",1.4381881952285767
0.2094322144985199,"[0.35488057136535645, -0.02852337434887886]",1.3899084329605103
0.4018310308456421,"[0.3215603232383728, -0.04554120823740959]",1.4666963815689087
-0.09444498270750046,"[0.4575217068195343, -0.0068543474189937115]",1.4445892572402954
0.4639405906200409,"[0.38221052289009094, -0.03850528597831726]",2.8835866451263428
0.21652035415172577,"[0.2718469798564911, -0.0319766104221344]",1.2981539964675903
0.6422597765922546,"[0.48344355821609497, -0.02269948087632656]",1.4048763513565063
0.7870700359344482,"[0.328018456697464, -0.03892585262656212]",2.9006288051605225
-0.07286526262760162,"[0.355831116437912, -0.022708643227815628]",1.32258939743042
-0.44358915090560913,"[0.4582235813140869, -0.023452406749129295]",1.7771923542022705
-0.06427187472581863,"[0.44035032391548157, -0.021395595744252205]",1.6047502756118774
0.40084540843963623,"[0.4621100127696991, -0.026257749646902084]",1.010271668434143
0.018744882196187973,"[0.45990249514579773, -0.022841401398181915]",2.3752706050872803
-0.3463000953197479,"[0.5139173865318298, -0.037174008786678314]",1.574955701828003
1.017246127128601,"[0.4062172472476959, -0.053586795926094055]",2.276998519897461
0.5464375615119934,"[0.43270909786224365, -0.02558591403067112]",1.276521921157837
-0.7097595930099487,"[0.2902754545211792, -0.015714213252067566]",1.646239161491394
0.007668252103030682,"[0.37317049503326416, -0.052100133150815964]",1.8043265342712402
0.2523282766342163,"[0.3038962781429291, -0.04753170907497406]",1.265297532081604
0.0445113331079483,"[0.3058345913887024, -0.03672223165631294]",0.9633558988571167
-0.17525145411491394,"[0.38121041655540466, -0.016977407038211823]",1.1051607131958008
0.12686148285865784,"[0.2583906054496765, -0.05028792843222618]",1.2656140327453613
