b0,b1
-0.6151703000068665,"[0.30583131313323975, 0.03832032531499863, -0.003875226713716984]"
-0.8103950619697571,"[0.02413751371204853, 0.020351942628622055, 0.0026793605647981167]"
-0.3799576461315155,"[0.6233978271484375, -0.2037929892539978, 0.025156384333968163]"
-0.42911577224731445,"[0.12122932821512222, -0.0053499313071370125, 0.0016858383314684033]"
-0.42367222905158997,"[0.24257299304008484, 0.025557463988661766, -0.00493268808349967]"
-0.4869752526283264,"[0.28592419624328613, 0.013902809470891953, -0.005359586328268051]"
-0.6569995284080505,"[0.2325579822063446, -0.011010793969035149, 0.001363628194667399]"
-0.5302746295928955,"[0.4065522253513336, 0.06086285784840584, -0.00865800492465496]"
-0.7851969003677368,"[0.27487918734550476, -0.06784215569496155, 0.06582899391651154]"
-0.5144014954566956,"[-0.2362395077943802, -0.25795647501945496, 0.16015250980854034]"
-0.6240355968475342,"[-0.02714277245104313, -0.314473956823349, 0.15382343530654907]"
-0.7986218333244324,"[0.19508662819862366, 0.12928570806980133, 0.014185520820319653]"
-0.8263006210327148,"[0.3761436939239502, -0.39227595925331116, 0.1409386694431305]"
-0.8622707724571228,"[0.6222251057624817, -0.18615569174289703, 0.0243843924254179]"
-0.8723791241645813,"[0.6212412714958191, -0.17791007459163666, 0.026824768632650375]"
-0.4955436587333679,"[0.24508562684059143, -0.3389636278152466, 0.103577621281147]"
-0.8831703066825867,"[0.39471399784088135, -0.26049602031707764, 0.11510679870843887]"
-0.8033940196037292,"[-0.08945386856794357, -0.21941179037094116, 0.10575910657644272]"
-0.8412759900093079,"[0.3295539617538452, -0.07172943651676178, 0.010550280101597309]"
-0.6477552056312561,"[0.09761674702167511, 0.03395501896739006, -0.0007594645139761269]"
-0.9051545262336731,"[-0.40625444054603577, 0.10279589891433716, 0.04479895904660225]"
-0.8667726516723633,"[0.19976434111595154, -0.11526470631361008, 0.029027998447418213]"
-0.8336377143859863,"[0.3830339312553406, -0.43115663528442383, 0.11510621011257172]"
-0.2569557726383209,"[0.4333506226539612, -0.3701727092266083, 0.08004395663738251]"
-0.7104447484016418,"[0.1061297059059143, -0.004029629286378622, 0.026279164478182793]"
-0.6993433237075806,"[0.7495502829551697, -0.12262005358934402, 0.025176219642162323]"
-0.8305495381355286,"[0.28916826844215393, -0.4565262496471405, 0.139151468873024]"
-0.6986289024353027,"[0.16863781213760376, -0.35414719581604004, 0.12266234308481216]"
-0.6519172191619873,"[0.5496971607208252, -0.29883241653442383, 0.10670369118452072]"
-0.39083990454673767,"[-0.07070507854223251, -0.06312831491231918, 0.057314448058605194]"
-0.6845545172691345,"[-0.07057110220193863, -0.09183204919099808, 0.06936881691217422]"
-0.487379789352417,"[0.17178863286972046, -0.5924169421195984, 0.25070422887802124]"
0.045940279960632324,"[-0.15620900690555573, -0.503051221370697, 0.1958763152360916]"
-0.7048766613006592,"[0.2979906499385834, -0.5266987681388855, 0.1672421395778656]"
-0.8775379657745361,"[-0.3114131689071655, 0.006356522906571627, 0.06749791651964188]"
-0.8606258034706116,"[0.15615537762641907, 0.002256338717415929, 0.05460216850042343]"
-0.8596883416175842,"[0.11420759558677673, -0.06637129187583923, 0.05499709025025368]"
-0.851247251033783,"[0.046765994280576706, 0.04911372438073158, 0.004596075043082237]"
-0.4363858997821808,"[-0.28612205386161804, 0.012742376886308193, 0.012993675656616688]"
-0.8440578579902649,"[-0.1436682641506195, 0.039780840277671814, 0.01265702024102211]"
-0.7773750424385071,"[0.2510576546192169, -0.47851669788360596, 0.17355526983737946]"
-0.8430577516555786,"[-0.08760520815849304, -0.49557527899742126, 0.2533203363418579]"
-0.8420801162719727,"[-0.459929883480072, -0.34084153175354004, 0.21598480641841888]"
-0.8738561868667603,"[-0.4452727138996124, -0.15989002585411072, 0.17488594353199005]"
-0.8965144157409668,"[-0.5730257034301758, -0.01016294863075018, 0.026565920561552048]"
-0.8989980816841125,"[-0.29005661606788635, -0.009228011593222618, 0.020619412884116173]"
-0.8973366022109985,"[-0.5859649777412415, 0.02425643987953663, 0.03829628974199295]"
-0.8317503333091736,"[-0.4835442006587982, 0.013989434577524662, 0.02962305210530758]"
-0.8652523159980774,"[-0.7032822370529175, -0.055749762803316116, 0.17229263484477997]"
-0.8500815033912659,"[-0.2797948122024536, 0.056844163686037064, 0.03127449378371239]"
