b0,b1
-0.22714407742023468,[0.24960815906524658]
-0.6124908924102783,[0.11170390993356705]
-0.8274426460266113,[0.47528061270713806]
-0.47241678833961487,[0.15387244522571564]
-0.17596618831157684,[0.15605241060256958]
-0.34941017627716064,[0.17230947315692902]
-0.7461430430412292,[0.24713100492954254]
0.37536752223968506,[0.1292736530303955]
-0.8972676992416382,[0.7173037528991699]
-0.8841917514801025,[0.6650533080101013]
-0.8996906280517578,[0.669758677482605]
0.0978710800409317,[0.34836480021476746]
-0.9482924938201904,[0.6891412138938904]
-0.932013213634491,[0.4217269718647003]
-0.9351257085800171,[0.5037656426429749]
-0.8721587061882019,[0.6211040019989014]
-0.9500486254692078,[0.6901753544807434]
-0.9272317290306091,[0.5601035952568054]
-0.8967649936676025,[0.3170495331287384]
-0.39151060581207275,[0.13694852590560913]
-0.6414781212806702,[0.3242914378643036]
-0.9218166470527649,[0.35490137338638306]
-0.958712637424469,[0.5121998190879822]
-0.923661470413208,[0.5197685360908508]
-0.7826622724533081,[0.4880037009716034]
-0.8741821646690369,[0.7357315421104431]
-0.9550074934959412,[0.5401341319084167]
-0.9284701347351074,[0.5688051581382751]
-0.9521030783653259,[0.7495465278625488]
-0.59989333152771,[0.5000156164169312]
-0.8765630125999451,[0.5464763045310974]
-0.8984072804450989,[0.7211776971817017]
-0.8094669580459595,[0.63164222240448]
-0.9372748136520386,[0.6224900484085083]
-0.888613224029541,[0.5153395533561707]
-0.8787256479263306,[0.6641249060630798]
-0.9021990895271301,[0.6103951930999756]
-0.4037631154060364,[0.18811891973018646]
-0.1298830807209015,[0.06070489063858986]
-0.35663509368896484,[0.18412072956562042]
-0.9168909192085266,[0.700829029083252]
-0.9591323137283325,[0.7279447317123413]
-0.9293739199638367,[0.6897122859954834]
-0.9269794821739197,[0.6764755249023438]
-0.849131166934967,[0.10449367016553879]
-0.8904320001602173,[0.20364482700824738]
-0.7654191255569458,[0.2737053632736206]
-0.7241333723068237,[0.24524690210819244]
-0.9032840728759766,[0.6263667941093445]
-0.6101446151733398,[0.36744534969329834]
