b0,b1
-0.552534818649292,"[0.2187354564666748, 0.030634958297014236]"
-0.823766827583313,"[0.08333020657300949, 0.02371341735124588]"
-0.726769208908081,"[0.6202899217605591, -0.04142503812909126]"
-0.4594983458518982,"[0.15552720427513123, -0.0012914289254695177]"
-0.33388209342956543,"[0.1395864188671112, 0.014474831521511078]"
-0.36110424995422363,"[0.1710122972726822, 0.001028756843879819]"
-0.6875029802322388,"[0.26191937923431396, -0.00789053924381733]"
-0.508154571056366,"[0.2019634246826172, 0.06721928715705872]"
-0.9051477909088135,"[0.6829253435134888, 0.03514673188328743]"
-0.9229318499565125,"[0.6350807547569275, 0.02210186794400215]"
-0.915552020072937,"[0.6394463181495667, 0.020668337121605873]"
-0.7635094523429871,"[0.38827699422836304, 0.10758186876773834]"
-0.9308096170425415,"[0.6541973948478699, 0.019800839945673943]"
-0.9093195796012878,"[0.5669821500778198, -0.03424817696213722]"
-0.9124352931976318,"[0.5779538750648499, -0.019841499626636505]"
-0.8693706393241882,"[0.6035056710243225, 0.009031888097524643]"
-0.9350001215934753,"[0.6470162868499756, 0.02256632037460804]"
-0.9150044918060303,"[0.4947247803211212, 0.023821286857128143]"
-0.8846133947372437,"[0.4004749357700348, -0.0220352616161108]"
-0.6373847723007202,"[0.08064311742782593, 0.03248470276594162]"
-0.8949088454246521,"[0.23906122148036957, 0.06611510366201401]"
-0.9234187602996826,"[0.3513597846031189, 0.0011941083939746022]"
-0.9387667775154114,"[0.440386027097702, 0.020336003974080086]"
-0.859336256980896,"[0.475223183631897, 0.008318215608596802]"
-0.8645713925361633,"[0.3634416162967682, 0.0454222708940506]"
-0.8503799438476562,"[0.749889075756073, -0.004784177523106337]"
-0.9464045166969299,"[0.49265336990356445, 0.01515161618590355]"
-0.9169105291366577,"[0.5639979839324951, 0.0020322587806731462]"
-0.8978263735771179,"[0.713180422782898, 0.024851921945810318]"
-0.710462212562561,"[0.4640645682811737, 0.021049864590168]"
-0.8727511167526245,"[0.4738917946815491, 0.025853872299194336]"
-0.881960391998291,"[0.7020087838172913, 0.015188835561275482]"
-0.8142117261886597,"[0.6035617589950562, 0.012504158541560173]"
-0.9125098586082458,"[0.6267668604850769, -0.0016741997096687555]"
-0.9391852021217346,"[0.42861631512641907, 0.03994431719183922]"
-0.8857149481773376,"[0.6123542785644531, 0.03495388105511665]"
-0.9037712812423706,"[0.5818482637405396, 0.015332799404859543]"
-0.8573970794677734,"[0.13837569952011108, 0.05130907520651817]"
-0.5822030305862427,"[0.011310011148452759, 0.03467249497771263]"
-0.8345265984535217,"[0.1310945302248001, 0.04615279287099838]"
-0.9041724801063538,"[0.6824686527252197, 0.011111444793641567]"
-0.9346671104431152,"[0.6984854340553284, 0.032832976430654526]"
-0.9242239594459534,"[0.6412193179130554, 0.03140265494585037]"
-0.9154790043830872,"[0.6290447115898132, 0.0358656644821167]"
-0.9183414578437805,"[0.06617037951946259, 0.01943628489971161]"
-0.921760082244873,"[0.1719864159822464, 0.013108472339808941]"
-0.9056202173233032,"[0.20918875932693481, 0.03533549979329109]"
-0.8769039511680603,"[0.208584725856781, 0.024744123220443726]"
-0.9095442295074463,"[0.5796633958816528, 0.03161736950278282]"
-0.8929380178451538,"[0.3214092552661896, 0.0473577082157135]"
