b0,b1
-0.15320366621017456,"[0.07215815782546997, 0.022942086681723595]"
-0.3318125605583191,"[0.1394980251789093, 0.00869954377412796]"
-0.8093062043190002,"[0.4179028570652008, -0.005327864084392786]"
-0.751029372215271,"[0.36698970198631287, -0.006684292573481798]"
-0.3534988760948181,"[0.08760799467563629, 0.029479816555976868]"
-0.06537503004074097,"[0.26703596115112305, -0.01182543858885765]"
-0.158746138215065,"[0.23176425695419312, 0.031066978350281715]"
-0.28122198581695557,"[-0.018834766000509262, 0.025611281394958496]"
-0.6567034125328064,"[0.13099601864814758, 0.021719302982091904]"
-0.8243991136550903,"[0.3662603497505188, -0.0016722825821489096]"
-0.6017101407051086,"[0.2226811647415161, 0.021796416491270065]"
0.1479800045490265,"[0.3833843469619751, -0.036483943462371826]"
-0.464410662651062,"[0.5871957540512085, 0.010488438419997692]"
-0.7328037619590759,"[0.3961716890335083, 0.017455464228987694]"
-0.8773900866508484,"[0.5456039905548096, 0.024389922618865967]"
-0.23881158232688904,"[0.5322983264923096, 0.009716566652059555]"
-0.36674806475639343,"[0.6058753728866577, 0.015319988131523132]"
-0.9585726857185364,"[0.4362853169441223, 0.018280725926160812]"
-0.5248317122459412,"[0.629342257976532, 0.04355815052986145]"
-0.855763852596283,"[0.5561944842338562, 0.03349592536687851]"
-0.6553900241851807,"[0.5410362482070923, 0.02118423767387867]"
-0.757628321647644,"[0.4710743725299835, 0.03302757069468498]"
-0.5264126062393188,"[0.5281841158866882, 0.04084418714046478]"
-0.4788592457771301,"[0.4440445899963379, 0.04560667648911476]"
-0.13075406849384308,"[0.3071631193161011, 0.016258202493190765]"
-0.6967758536338806,"[0.26797816157341003, 0.04112328216433525]"
-0.9649955034255981,"[0.5115872621536255, 0.059830278158187866]"
-0.9688343405723572,"[0.2562805712223053, 0.0367051400244236]"
-0.8249513506889343,"[0.38406938314437866, 0.055246077477931976]"
-0.7855083346366882,"[0.44449296593666077, 0.06256665289402008]"
-0.9193194508552551,"[0.3845592737197876, 0.031236058101058006]"
-0.8840726613998413,"[0.37799420952796936, 0.00826119165867567]"
-0.8951514959335327,"[0.21522736549377441, 0.05563432350754738]"
-0.9241552352905273,"[0.29895564913749695, 0.03680826351046562]"
-0.8165962100028992,"[0.3079689145088196, 0.04710646718740463]"
-0.8565884828567505,"[0.3691915273666382, 0.046817172318696976]"
-0.9160125255584717,"[0.8476157188415527, -0.06400322169065475]"
-0.9176366329193115,"[0.9030714631080627, -0.08713091909885406]"
-0.722400426864624,"[0.3987443447113037, 0.05174092948436737]"
-0.822581946849823,"[0.5111662745475769, 0.017927205190062523]"
-0.9076916575431824,"[0.4961390793323517, 0.016718316823244095]"
-0.9379640817642212,"[0.47362956404685974, 0.034129559993743896]"
-0.9333507418632507,"[0.3938862085342407, 0.013461100868880749]"
-0.917084813117981,"[0.22190093994140625, 0.05931714177131653]"
-0.9365155696868896,"[0.20653414726257324, 0.04966210201382637]"
-0.9589191675186157,"[0.2943395674228668, 0.0665133073925972]"
-0.9200876951217651,"[0.24059823155403137, 0.06836763024330139]"
-0.9332337975502014,"[0.1945393830537796, 0.04599028453230858]"
-0.8986518979072571,"[0.37021365761756897, 0.0618806853890419]"
-0.938269853591919,"[0.25246942043304443, 0.08886508643627167]"
