b0,b1
-0.24048301577568054,"[0.01651289314031601, 0.011664798483252525, 0.004245155490934849]"
-0.7254356145858765,"[0.07226690649986267, 0.03548504039645195, 0.002778188558295369]"
-0.591246485710144,"[0.02963729202747345, 0.02924635075032711, 0.004719152580946684]"
-0.19272051751613617,"[0.13012360036373138, -0.008315883576869965, -0.00023083864653017372]"
-0.6195750832557678,"[-0.47976958751678467, -0.26711133122444153, 0.16581492125988007]"
0.6553211808204651,"[0.27556928992271423, -0.0479847677052021, 0.005341121926903725]"
0.4156224727630615,"[0.34593239426612854, -0.02207384631037712, 0.0028569905553013086]"
-0.20377203822135925,"[0.12803514301776886, 0.017756303772330284, 0.0005962954019196332]"
-0.592570424079895,"[-0.004637024365365505, 0.003164751920849085, 0.010974371805787086]"
-0.4019103944301605,"[-0.02853458933532238, -0.008649228140711784, 0.011806574650108814]"
-0.17745865881443024,"[-0.006534924730658531, -0.02000429853796959, 0.010038163512945175]"
0.11097518354654312,"[0.00830783974379301, 0.03556925803422928, 0.028324531391263008]"
-0.5073947906494141,"[0.33059588074684143, -0.029399018734693527, 0.0069103846326470375]"
-0.47450870275497437,"[-0.11349713057279587, -0.02779383957386017, 0.02888425998389721]"
0.20977383852005005,"[-0.15096516907215118, -0.08439791202545166, 0.06599272042512894]"
-0.22499991953372955,"[0.1464427262544632, -0.1283956617116928, 0.08782065659761429]"
-0.7357242107391357,"[-0.10359720140695572, 0.10230354219675064, 0.07628582417964935]"
-0.6346535682678223,"[-0.407189279794693, -0.19972053170204163, 0.1775899976491928]"
-0.6799983978271484,"[0.2074384242296219, -0.08137548714876175, 0.061746735125780106]"
-0.006188361905515194,"[-0.08047269284725189, -0.2782464623451233, 0.13088665902614594]"
-0.5229753851890564,"[-0.6909813284873962, -0.1653847098350525, 0.09079770743846893]"
-0.929922878742218,"[0.23101095855236053, 0.09294356405735016, 0.006747765466570854]"
-0.6963337659835815,"[-0.5263833999633789, -0.021730883046984673, 0.06359099596738815]"
-0.8194576501846313,"[-0.2532721757888794, 0.012675761245191097, 0.03632107749581337]"
-0.8267126083374023,"[-0.6177300214767456, -0.01215579453855753, 0.058120228350162506]"
-0.8984535932540894,"[-0.6799283027648926, 0.051946479827165604, 0.08858773112297058]"
-0.9107236266136169,"[-0.54430091381073, 0.11216606199741364, 0.08865790069103241]"
-0.3939763307571411,"[-0.7117872834205627, -0.4440300762653351, 0.1990998089313507]"
0.21695558726787567,"[0.36407139897346497, -0.6716287732124329, 0.15814757347106934]"
-0.7640509605407715,"[-0.2110973745584488, 0.02699960395693779, 0.06879790872335434]"
-0.8954799771308899,"[0.22444047033786774, 0.028831124305725098, 0.013509601354598999]"
-0.8698652982711792,"[0.030542880296707153, 0.032948583364486694, 0.025357209146022797]"
-0.6248391270637512,"[0.1759060025215149, 0.02755056507885456, 0.01706596463918686]"
-0.8946388363838196,"[0.18936334550380707, 0.04296183958649635, 0.014043089933693409]"
-0.9107987880706787,"[0.6862529516220093, 0.14534755051136017, 0.0075912815518677235]"
-0.8022393584251404,"[0.23309755325317383, 0.08956794440746307, 0.0174843929708004]"
-0.7143166661262512,"[-0.06874683499336243, 0.061082903295755386, 0.0314377136528492]"
-0.8562448024749756,"[-0.17922352254390717, 0.01863894984126091, 0.03140168637037277]"
-0.8930144906044006,"[-0.19864113628864288, 0.03144603967666626, 0.02404409646987915]"
-0.7059739828109741,"[-0.19769643247127533, -0.14703834056854248, 0.06166806444525719]"
-0.9206832051277161,"[-0.6711743474006653, 0.07537281513214111, 0.044351909309625626]"
-0.9143577218055725,"[-0.7593507170677185, 0.06604482233524323, 0.04670768976211548]"
-0.9039961695671082,"[-0.622496485710144, 0.05305228754878044, 0.038611698895692825]"
-0.8823823928833008,"[-0.6072269678115845, 0.024348879233002663, 0.034820038825273514]"
-0.9291340708732605,"[-0.436331570148468, 0.07077427953481674, 0.03086794726550579]"
-0.9641839265823364,"[-0.6148134469985962, 0.19677583873271942, 0.072455033659935]"
-0.9310846328735352,"[-0.6149218082427979, 0.15523870289325714, 0.06019943952560425]"
