b0,b1
-0.13266418874263763,[0.1620141565799713]
-0.21694344282150269,[0.10272856801748276]
-0.20465382933616638,[0.16503506898880005]
-0.33502623438835144,[0.12854085862636566]
-0.8902363777160645,[0.5490468740463257]
0.1954919844865799,[0.4024168848991394]
0.21631348133087158,[0.43268558382987976]
0.1400044709444046,[0.12546229362487793]
-0.6169105172157288,[0.26433229446411133]
-0.5974572896957397,[0.26915788650512695]
-0.5103303790092468,[0.25748226046562195]
0.3656877875328064,[0.44788047671318054]
-0.6950140595436096,[0.42375680804252625]
-0.5322186946868896,[0.4009212553501129]
0.0909515768289566,[0.549921452999115]
-0.5452048182487488,[0.646978497505188]
-0.48913535475730896,[0.6422333717346191]
-0.245628222823143,[0.6069289445877075]
-0.858966052532196,[0.604004442691803]
-0.8244500756263733,[0.6440502405166626]
-0.5657891631126404,[0.5746656060218811]
-0.5861461162567139,[0.6020011901855469]
-0.3009086549282074,[0.5420659184455872]
-0.8309466242790222,[0.31210967898368835]
-0.1767786592245102,[0.3615095019340515]
-0.6456702947616577,[0.3500155508518219]
-0.9396129846572876,[0.4475228786468506]
-0.9599753022193909,[0.4146365821361542]
-0.5128365159034729,[0.4909183382987976]
-0.4061099588871002,[0.5258968472480774]
-0.946427047252655,[0.49558737874031067]
-0.8531888723373413,[0.5872375965118408]
-0.7485076785087585,[0.5041429996490479]
-0.8483583927154541,[0.4587448537349701]
-0.8139998316764832,[0.453182190656662]
-0.45305773615837097,[0.460424542427063]
-0.8215795159339905,[0.46915125846862793]
-0.4619916081428528,[0.566358745098114]
-0.2717619836330414,[0.4543164074420929]
-0.3259803354740143,[0.4205603301525116]
-0.7711712121963501,[0.44134554266929626]
-0.7041650414466858,[0.3674178719520569]
-0.8993332386016846,[0.5099737644195557]
-0.2626054883003235,[0.25549760460853577]
-0.5312573909759521,[0.2627335488796234]
-0.6618849635124207,[0.32085666060447693]
-0.6427562236785889,[0.29481399059295654]
-0.4068848788738251,[0.31317707896232605]
0.11729998141527176,[0.27346205711364746]
-0.032670967280864716,[0.2563646137714386]
