theta_0,theta_1
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6617),tensor(-0.7578)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6619),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7576)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7576)
tensor(-0.6617),tensor(-0.7578)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7578)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
tensor(-0.6618),tensor(-0.7577)
