b0,b1
0.8849321603775024,"[-0.7568330764770508, -0.9606248140335083]"
0.3115381598472595,"[-0.7039288282394409, -0.9424507021903992]"
0.7414512038230896,"[-0.3939729332923889, -0.931033194065094]"
-0.02037171460688114,"[0.2425907701253891, -0.9145057797431946]"
0.3600858449935913,"[0.3241668939590454, -0.9403994083404541]"
0.5801190733909607,"[0.11157632619142532, -0.9575398564338684]"
-0.7950933575630188,"[0.9087139368057251, -0.8705136179924011]"
-0.44223952293395996,"[-0.516625165939331, -0.8950062990188599]"
-0.82546466588974,"[-0.11205451190471649, -0.8443214893341064]"
0.4341919422149658,"[-0.14338800311088562, -0.9733172655105591]"
0.7108214497566223,"[-0.3208394944667816, -0.9523033499717712]"
-0.15342004597187042,"[0.009188467636704445, -0.8392691612243652]"
0.1856282502412796,"[-0.0998472049832344, -0.9547842741012573]"
-0.2656063735485077,"[-0.10903719812631607, -0.9014636874198914]"
-0.03415384143590927,"[-0.24241504073143005, -0.9213430285453796]"
0.2874816954135895,"[-0.19098465144634247, -0.9508472084999084]"
0.4989769160747528,"[-0.07344701886177063, -0.9241282939910889]"
0.8690537810325623,"[-0.9258114099502563, -0.9747397899627686]"
0.8623539805412292,"[-0.8974207043647766, -0.9432172775268555]"
0.8926828503608704,"[-0.7063999176025391, -0.9605234265327454]"
0.45667552947998047,"[-0.7211899161338806, -0.676673948764801]"
0.353474885225296,"[-0.5496627688407898, -0.27946028113365173]"
0.11417096108198166,"[-0.18313910067081451, -0.7999202609062195]"
0.6168962121009827,"[-0.7357715368270874, -0.9278731346130371]"
0.8758395314216614,"[-0.5947860479354858, -0.9515283107757568]"
0.5554376840591431,"[-0.25461697578430176, -0.17913071811199188]"
0.9278661012649536,"[-0.8046770095825195, -0.6829252243041992]"
0.8825591802597046,"[-0.7330331206321716, -0.9090286493301392]"
0.529091477394104,"[-0.9097961783409119, -0.9477745890617371]"
0.09177418798208237,"[-0.2964363396167755, -0.19436034560203552]"
-0.24543356895446777,"[0.37416353821754456, -0.33612361550331116]"
-0.20368291437625885,"[0.20689092576503754, -0.7571902871131897]"
0.12849648296833038,"[-0.47732463479042053, -0.8872056603431702]"
0.48911064863204956,"[-0.6154224872589111, -0.93817538022995]"
0.8486433029174805,"[-0.6846565008163452, -0.9617353677749634]"
-0.19707943499088287,"[-0.20199930667877197, -0.891423761844635]"
0.11229650676250458,"[0.16360533237457275, -0.852565348148346]"
0.46559086441993713,"[-0.29178372025489807, -0.9489923119544983]"
0.5226805806159973,"[-0.5890111923217773, -0.8235450983047485]"
0.4017915427684784,"[-0.6009710431098938, -0.9056861400604248]"
0.6520761847496033,"[-0.26809269189834595, -0.8956496715545654]"
-0.24068179726600647,"[0.7129158973693848, -0.9439994096755981]"
-0.27631837129592896,"[0.7869510650634766, -0.8486403226852417]"
0.3294017016887665,"[0.1934349685907364, -0.8768410682678223]"
0.17922905087471008,"[0.5000125765800476, -0.8916603326797485]"
0.30903470516204834,"[-0.5112792253494263, -0.9576899409294128]"
0.4560082256793976,"[-0.507455587387085, -0.9620082378387451]"
-0.6085970401763916,"[0.2796213626861572, -0.8812885880470276]"
-0.34714797139167786,"[-0.5547452569007874, -0.8565954566001892]"
-0.435616135597229,"[0.10708469152450562, -0.6469006538391113]"
