b0,b1
0.9163091778755188,"[0.08010666817426682, -0.8631372451782227, -0.9643641114234924, -0.9392182230949402, -0.8877350091934204, 0.38501185178756714, -0.8635949492454529, 0.8564273118972778, -0.8212996125221252]"
0.6488454341888428,"[0.004458559211343527, -0.8859978914260864, -0.8954307436943054, -0.8944000005722046, -0.882983386516571, 0.7139302492141724, -0.8094420433044434, 0.8616736531257629, -0.8346818685531616]"
0.7096894383430481,"[-0.2233712524175644, -0.8748883605003357, -1.0106208324432373, -0.9181665778160095, -0.8615779280662537, 0.7285730242729187, -0.8831250667572021, 0.5484825372695923, -0.8244665265083313]"
0.13871514797210693,"[0.09112135320901871, -0.7811679840087891, -1.040928840637207, -0.8262815475463867, -0.8634352684020996, 0.8488869071006775, -0.8116409182548523, 0.22856244444847107, -0.7089475393295288]"
0.5386276245117188,"[0.6428694725036621, -0.8822413682937622, -1.0324335098266602, -0.8781170845031738, -0.8332980275154114, 0.7423349618911743, -0.8332961797714233, 0.5439832210540771, -0.8478122353553772]"
0.3431608974933624,"[0.37767717242240906, -0.8782340288162231, -0.8409171104431152, -0.8332509994506836, -0.8202858567237854, 0.7705479264259338, -0.6262077689170837, 0.03197336941957474, -0.872650146484375]"
-0.6963487267494202,"[0.8042756915092468, 0.5681509375572205, -0.6060466170310974, -0.04251168668270111, -0.8818888664245605, 0.8441513180732727, -0.7173837423324585, -0.2995341718196869, -0.7702605724334717]"
-0.1065276488661766,"[-0.11132576316595078, -0.8948971033096313, -0.9113756418228149, -0.9215704798698425, -0.798267126083374, 0.8020707368850708, -0.8714521527290344, 0.9165050983428955, -0.8148452043533325]"
-0.5547247529029846,"[-0.33785852789878845, -0.801158607006073, -0.7950724959373474, -0.8101205229759216, -0.876362681388855, 0.9431931376457214, -0.7446602582931519, -0.1169925332069397, 0.06784990429878235]"
0.7049944996833801,"[-0.5474562048912048, -0.9245359301567078, -0.6632169485092163, -0.8875181078910828, -0.902872622013092, 0.7541467547416687, -0.9258355498313904, 0.8360082507133484, -0.9055811762809753]"
-0.7893365621566772,"[0.771935760974884, -0.8601718544960022, -0.9600890278816223, -0.8921997547149658, -0.7700874209403992, 0.6468861103057861, -0.8647394180297852, 0.8128743767738342, -0.7910271883010864]"
0.5911573767662048,"[-0.21141545474529266, -0.9093170166015625, -0.9747360348701477, -0.8818879723548889, -0.7773271799087524, 0.8214223384857178, -0.875896155834198, 0.9224755764007568, -0.8626406788825989]"
