b0,b1
0.20034129917621613,"[0.5196128487586975, -0.9663386940956116]"
-0.023650646209716797,"[0.7041625380516052, -0.9465373754501343]"
-0.11558400839567184,"[0.5162948966026306, -0.9483787417411804]"
-0.5021365284919739,"[0.7155225872993469, -0.9266386032104492]"
-0.13606852293014526,"[0.8747312426567078, -0.9480091333389282]"
-0.21886856853961945,"[0.8407724499702454, -0.9413997530937195]"
-0.8221645355224609,"[0.9221974611282349, -0.21552307903766632]"
-0.7210595011711121,"[0.7276330590248108, -0.9400323033332825]"
-0.8200454115867615,"[0.3744257986545563, -0.8709441423416138]"
0.28558680415153503,"[0.15317082405090332, -0.9703221917152405]"
-0.8847900032997131,"[0.899872362613678, -0.9226797223091125]"
-0.15523257851600647,"[0.568283200263977, -0.9603000283241272]"
-0.6385005712509155,"[0.0020993559155613184, -0.9119137525558472]"
-0.7288948893547058,"[0.9029926061630249, -0.9163406491279602]"
-0.8487364649772644,"[0.8902974128723145, -0.8268382549285889]"
-0.8900349736213684,"[0.8953543901443481, -0.8118582963943481]"
-0.28924888372421265,"[-0.16429933905601501, -0.8798272013664246]"
0.1760665476322174,"[0.03411925584077835, -0.9571789503097534]"
-0.6297351717948914,"[0.8462215662002563, -0.9199793934822083]"
0.24369840323925018,"[-0.33997365832328796, -0.9672963619232178]"
-0.7408240437507629,"[0.8431728482246399, -0.8493884205818176]"
-0.432035356760025,"[0.3841113746166229, -0.9208255410194397]"
-0.564784824848175,"[0.40106192231178284, -0.9002664685249329]"
-0.29485106468200684,"[0.258067786693573, -0.9359449744224548]"
-0.43584975600242615,"[0.1375950574874878, -0.8983945846557617]"
0.18173298239707947,"[0.4418948292732239, -0.9260808229446411]"
0.06691817939281464,"[0.3361358940601349, -0.8972371816635132]"
0.4445435106754303,"[-0.47947958111763, -0.9487015008926392]"
0.28590983152389526,"[-0.41432857513427734, -0.9421928524971008]"
0.03141940012574196,"[0.025841625407338142, -0.8583292961120605]"
0.2339337170124054,"[0.06019032001495361, -0.9375947117805481]"
-0.06107359379529953,"[0.18162678182125092, -0.8806736469268799]"
0.4893365800380707,"[-0.029912972822785378, -0.9739745259284973]"
0.7184973359107971,"[0.09661932289600372, -0.9638967514038086]"
0.4757954478263855,"[-0.014196931384503841, -0.9624528288841248]"
0.3064492642879486,"[0.27945882081985474, -0.9564499855041504]"
0.42477503418922424,"[-0.47306132316589355, -0.9599388837814331]"
0.4706757068634033,"[-0.1442621648311615, -0.9578070044517517]"
-0.19695183634757996,"[0.6057130694389343, -0.9426554441452026]"
0.01650884561240673,"[-0.0788002535700798, -0.9131131172180176]"
0.1673305630683899,"[0.10116173326969147, -0.9244175553321838]"
-0.4305739998817444,"[0.9042397737503052, -0.9433869123458862]"
-0.7195055484771729,"[0.771421492099762, -0.8529168963432312]"
0.20977267622947693,"[-0.4031570553779602, -0.9296218156814575]"
-0.5792593359947205,"[0.8874950408935547, -0.9012186527252197]"
-0.06816282123327255,"[0.07239159941673279, -0.9321610927581787]"
-0.7042261958122253,"[0.33148708939552307, -0.9241040349006653]"
-0.6286739110946655,"[0.7656843662261963, -0.8130108118057251]"
-0.9068471789360046,"[0.5529835224151611, -0.868567943572998]"
-0.8720496296882629,"[0.24040445685386658, -0.6591155529022217]"
