b0,b1
0.8728945255279541,"[0.7675756812095642, -0.9406172037124634, -0.9186080694198608, -0.9563781023025513, -0.9275595545768738]"
0.5400781631469727,"[0.8010584712028503, -0.9368307590484619, -0.5280424952507019, -0.9323675632476807, -0.9228131771087646]"
0.5837321877479553,"[0.7892175316810608, -0.9363342523574829, -0.7694277167320251, -0.9442284107208252, -0.911298394203186]"
-0.08331070095300674,"[0.8009176254272461, -0.8766536712646484, -0.35863372683525085, -0.9066593050956726, -0.8950925469398499]"
0.44331640005111694,"[0.8858396410942078, -0.933265209197998, -0.5071510672569275, -0.9153000712394714, -0.9071634411811829]"
0.22697992622852325,"[0.8456817865371704, -0.9329561591148376, -0.31008434295654297, -0.8851804137229919, -0.8695272207260132]"
-0.8188433647155762,"[0.8819586038589478, -0.017760593444108963, 0.3459899425506592, -0.2118489295244217, -0.9071701765060425]"
-0.2021547108888626,"[0.8366779685020447, -0.9320393204689026, -0.5360701084136963, -0.9443234205245972, -0.8435978293418884]"
-0.7016383409500122,"[0.10029564797878265, -0.856390655040741, 0.19116929173469543, -0.8485921025276184, -0.8781534433364868]"
0.5597615242004395,"[0.05969894304871559, -0.964083731174469, -0.048903968185186386, -0.9144697785377502, -0.9352964758872986]"
-0.8246906995773315,"[0.8814727067947388, -0.9219436049461365, -0.08127027004957199, -0.9241762161254883, -0.761925995349884]"
0.3356960415840149,"[0.609154224395752, -0.9376697540283203, -0.4052312672138214, -0.9206196665763855, -0.873106837272644]"
-0.19673185050487518,"[0.16827942430973053, -0.9061509370803833, -0.6000067591667175, -0.9218627214431763, -0.8832172155380249]"
-0.1911815106868744,"[0.9111757874488831, -0.9207727313041687, -0.6432914137840271, -0.9490339756011963, -0.6270325183868408]"
-0.6115743517875671,"[0.909389853477478, -0.6978089213371277, -0.4170394241809845, -0.9270509481430054, -0.8085324764251709]"
-0.7997199296951294,"[0.9042637348175049, -0.790734589099884, -0.19631661474704742, -0.9236059784889221, -0.8453328609466553]"
-0.48766422271728516,"[-0.41157442331314087, -0.8889486193656921, 0.8101693391799927, -0.8289408087730408, -0.8586233258247375]"
0.41181087493896484,"[0.10447247326374054, -0.9421249032020569, -0.020445043221116066, -0.649283766746521, -0.6007754802703857]"
0.029476920142769814,"[0.9199455976486206, -0.8913233876228333, -0.8395757079124451, -0.9502843022346497, -0.8514571785926819]"
