x1,x2,label
0.09,0.91,0
0.94,1.0,0
1.31,-0.28,0
1.26,1.5,1
-0.61,0.02,1
0.29,1.6,1
1.38,0.33,1
1.69,-0.69,0
0.24,-0.65,0
1.75,1.5,1
0.09,-0.56,1
0.49,1.18,0
1.21,-0.89,1
0.5,-0.04,1
2.01,0.61,1
-0.44,-0.61,1
1.89,-0.96,1
0.58,-0.05,0
1.21,1.29,0
0.9,0.92,0
0.21,0.21,1
1.42,-0.79,1
-0.89,1.11,0
0.21,0.46,1
-0.01,-0.16,1
0.4,1.43,0
-0.4,-0.19,1
-0.4,0.76,0
0.71,-0.63,1
0.21,0.85,0
0.05,1.19,0
-0.46,1.29,0
1.49,0.77,0
-0.72,0.27,0
1.11,1.68,1
0.83,1.16,0
2.17,0.84,1
0.43,0.21,1
-0.16,1.81,0
1.07,0.98,0
2.26,1.05,1
2.07,1.46,1
-0.14,1.4,0
0.57,-0.17,1
-0.32,0.33,1
0.67,-0.35,0
0.33,0.69,1
1.14,0.38,1
0.59,-0.43,1
0.27,-0.11,1
-0.11,-0.76,1
