b0,b1
0.8953742980957031,"[-0.8974470496177673, -0.9348438382148743, 0.39070090651512146, -0.913700520992279, -0.9181444048881531]"
0.8437044024467468,"[-0.8529435396194458, -0.9620672464370728, 0.01902119070291519, -0.5282845497131348, -0.9345413446426392]"
0.5694665908813477,"[-0.8268106579780579, -0.9287006855010986, 0.1463628113269806, -0.6932470202445984, -0.9261070489883423]"
0.6743624210357666,"[-0.8527924418449402, -0.9107095003128052, -0.5156418681144714, -0.8218082189559937, -0.8779627680778503]"
0.4442880153656006,"[-0.44070330262184143, -0.9219526052474976, 0.1934242844581604, -0.8905717730522156, -0.8874238133430481]"
0.6333103775978088,"[-0.6714779734611511, -0.9135657548904419, 0.10851208865642548, -0.8561239242553711, -0.8852000832557678]"
-0.6164866089820862,"[0.278465211391449, -0.8655195832252502, 0.24994999170303345, -0.867920458316803, -0.8504130244255066]"
0.04161998629570007,"[0.4765842854976654, -0.89054274559021, -0.29676875472068787, -0.9212507605552673, -0.8598607182502747]"
-0.29590514302253723,"[-0.18617217242717743, -0.6504831314086914, 0.06372638046741486, -0.7040523290634155, -0.7282031774520874]"
0.23363150656223297,"[-0.5211488008499146, -0.9153081774711609, 0.16888131201267242, -0.898998498916626, -0.8367103338241577]"
0.031217724084854126,"[-0.6776874661445618, -0.8665755391120911, 0.4834481477737427, -0.6304671764373779, -0.7813697457313538]"
0.27916091680526733,"[-0.7547052502632141, -0.8857421278953552, 0.2520831823348999, -0.8359083533287048, -0.8490756154060364]"
0.16132386028766632,"[0.019390452653169632, -0.8759539127349854, -0.5356208682060242, -0.8780927062034607, -0.8171330094337463]"
0.5753586888313293,"[-0.7991964221000671, -0.9014784693717957, -0.10351748764514923, -0.8740392923355103, -0.8641104698181152]"
0.06361903250217438,"[-0.25694337487220764, -0.8789787888526917, -0.2600514590740204, -0.545461893081665, -0.8159914612770081]"
1.0676777362823486,"[-0.5439853072166443, -0.912039577960968, -0.6382509469985962, -0.7815014123916626, -0.8688097596168518]"
0.47202518582344055,"[-0.8566213846206665, -0.925670325756073, -0.2229946106672287, -0.8790282607078552, -0.9122601747512817]"
0.5274165272712708,"[0.019457824528217316, -0.8416344523429871, -0.8324594497680664, -1.0604554414749146, -0.768370509147644]"
