b0,b1
0.9769350290298462,"[-0.8694330453872681, -0.9072469472885132, -0.8500968217849731, -0.8566931486129761, -0.8760704398155212, 0.790556013584137, -0.900259256362915, 0.2714575529098511, -0.8709457516670227]"
0.8491330742835999,"[-0.9064880609512329, -0.9105303883552551, 0.1137276217341423, -0.8646811246871948, -0.9075330495834351, 0.0005206565838307142, -0.9192475080490112, 0.9378383755683899, -0.8875009417533875]"
0.9381615519523621,"[-0.8380796909332275, -0.8958963751792908, 0.2744936943054199, -0.8740186095237732, -0.8834882974624634, -0.08918219804763794, -0.9307565093040466, 0.8373704552650452, -0.8734858632087708]"
1.0567067861557007,"[-0.5962361693382263, -0.8487018942832947, -0.988486111164093, -0.8810197710990906, -0.8534957766532898, 0.6933354139328003, -0.8671332001686096, -0.07548761367797852, -0.8444951176643372]"
0.6804121732711792,"[-0.07510411739349365, -0.8560749292373657, -0.8410289287567139, -0.8518456220626831, -0.8420080542564392, 0.5446964502334595, -0.8050956726074219, -0.13715364038944244, -0.8319344520568848]"
0.1232958659529686,"[0.45255669951438904, -0.8017776608467102, -0.8997054696083069, -0.8440268635749817, -0.7980167269706726, 0.38681283593177795, -0.8520774841308594, -0.7822670936584473, -0.780433714389801]"
0.24223807454109192,"[-0.34307655692100525, -0.8502304553985596, -0.7453711628913879, -0.8352759480476379, -0.8072258234024048, 0.632204532623291, -0.8369194865226746, -0.12265294790267944, -0.8242648243904114]"
-0.12584693729877472,"[0.9710272550582886, -0.8576698899269104, -0.8141982555389404, -0.8815544247627258, -0.7994604110717773, 0.2338756024837494, -0.8513603210449219, -0.6852189898490906, -0.8076708316802979]"
-0.4764537513256073,"[0.8294647932052612, -0.8368568420410156, -0.8166042566299438, -0.8840422034263611, -0.7811623811721802, 0.6706147193908691, -0.8377397656440735, -0.6585745811462402, -0.7924598455429077]"
-0.6205753684043884,"[0.7643517255783081, -0.8258622288703918, 0.03760947287082672, -0.8895692229270935, -0.792585015296936, -0.11518660932779312, -0.7261745929718018, 0.22177603840827942, -0.7830327749252319]"
-0.462411105632782,"[0.3483487069606781, -0.830594539642334, 0.3309849798679352, -0.8939353227615356, -0.8037128448486328, 0.0028051005210727453, -0.3653979003429413, -0.7570736408233643, -0.7959444522857666]"
-0.15830709040164948,"[0.2059275507926941, -0.7920920252799988, -0.3724069893360138, -0.8369332551956177, -0.7749642133712769, 0.0747087225317955, -0.8087061643600464, 0.8125943541526794, -0.7744145393371582]"
0.3606698215007782,"[-0.380270779132843, -0.8315201997756958, -0.5408889651298523, -0.8404518961906433, -0.8283964991569519, 0.09826915711164474, -0.8204469084739685, 0.09771347790956497, -0.8337145447731018]"
-0.378013551235199,"[0.7783640623092651, -0.7940200567245483, -0.2783689498901367, -0.8739172220230103, -0.5308820009231567, -0.3707627058029175, -0.8413633108139038, -0.07727721333503723, -0.7791362404823303]"
0.37634390592575073,"[0.7425118088722229, -0.814325213432312, -0.7045383453369141, -0.8533204197883606, -0.8011295199394226, -0.1347053498029709, -0.8515684008598328, -0.9188924431800842, -0.7853690385818481]"
0.3473605811595917,"[0.4179327189922333, -0.8204373717308044, -0.8333291411399841, -0.8949228525161743, -0.7739459276199341, -0.32635554671287537, -0.5723946690559387, 0.7779616713523865, -0.7787523865699768]"
-0.17754672467708588,"[0.36098015308380127, -0.8158436417579651, -0.0033459977712482214, -0.8392488360404968, -0.8003244400024414, -0.1043621301651001, -0.840366780757904, -0.7845592498779297, -0.8058610558509827]"
0.5899121761322021,"[-0.7404530644416809, -0.868452787399292, -1.059066653251648, -0.8798558712005615, -0.8083016276359558, 0.8661995530128479, -0.9141280055046082, -0.06650324910879135, -0.8341799974441528]"
