b0,b1
0.36608341336250305,"[-0.20357123017311096, -0.9597249627113342]"
0.4571532607078552,"[-0.7703331112861633, -0.9713069796562195]"
0.5783312916755676,"[-0.5633559823036194, -0.9803128242492676]"
0.544160783290863,"[-0.5824249386787415, -0.9565832614898682]"
-0.09650492668151855,"[0.19675441086292267, -0.938060998916626]"
-0.5246099233627319,"[0.2153957039117813, -0.9135801792144775]"
-0.5365966558456421,"[0.2017117738723755, -0.9237546920776367]"
-0.763907790184021,"[0.648088812828064, -0.9313114285469055]"
-0.8341524600982666,"[0.6825991868972778, -0.9200325012207031]"
-0.8063181638717651,"[0.3709203898906708, -0.9153967499732971]"
-0.5650286674499512,"[0.1068597286939621, -0.9117141366004944]"
-0.7660368084907532,"[0.3917941153049469, -0.8904840350151062]"
-0.4120185077190399,"[0.0009689440485090017, -0.9135794639587402]"
-0.6979345083236694,"[0.11115549504756927, -0.912992000579834]"
-0.33131927251815796,"[0.38194236159324646, -0.9195765256881714]"
-0.40450745820999146,"[0.2050844132900238, -0.909217894077301]"
-0.49164310097694397,"[0.17301592230796814, -0.9098605513572693]"
-0.03593919053673744,"[-0.10332459956407547, -0.9417477250099182]"
-0.2065160721540451,"[-0.32171928882598877, -0.91295325756073]"
-0.04779514670372009,"[-0.15408499538898468, -0.9403586387634277]"
0.036796774715185165,"[-0.22041718661785126, -0.9271255135536194]"
-0.3357696533203125,"[0.5038568377494812, -0.907615602016449]"
-0.5329819917678833,"[0.42600345611572266, -0.9134844541549683]"
-0.3967447876930237,"[0.1783933788537979, -0.8992235660552979]"
-0.02502848021686077,"[0.05126679688692093, -0.9363701343536377]"
-0.23876547813415527,"[-0.05786541849374771, -0.9232616424560547]"
-0.15165482461452484,"[-0.20612433552742004, -0.9465668201446533]"
0.006685255561023951,"[0.31842681765556335, -0.9419923424720764]"
-0.3022730052471161,"[0.6038506627082825, -0.943652868270874]"
-0.3744654059410095,"[0.3902086913585663, -0.9359145760536194]"
0.04767442122101784,"[-0.14741502702236176, -0.9590479135513306]"
0.2963378429412842,"[0.5011326670646667, -0.9441350102424622]"
0.4156312644481659,"[-0.11217030882835388, -0.9520705938339233]"
0.3389669954776764,"[0.20519553124904633, -0.9490084648132324]"
0.3542661964893341,"[0.12626558542251587, -0.9398581981658936]"
-0.0166985671967268,"[0.718348503112793, -0.9199059009552002]"
0.18338967859745026,"[0.7035864591598511, -0.9291237592697144]"
-0.006569900084286928,"[0.791785717010498, -0.9198378324508667]"
-0.048829738050699234,"[-0.23578891158103943, -0.9395723342895508]"
0.11869192868471146,"[0.10403084009885788, -0.94340580701828]"
-0.04972970485687256,"[0.06368827819824219, -0.9539634585380554]"
-0.647718608379364,"[0.700114369392395, -0.9194554686546326]"
-0.06921650469303131,"[0.8213319778442383, -0.9373224973678589]"
-0.07954984158277512,"[0.8315454125404358, -0.9480724930763245]"
-0.4269600808620453,"[0.5026975870132446, -0.9236204028129578]"
0.055221617221832275,"[0.1282971203327179, -0.9475938081741333]"
-0.34591296315193176,"[0.8533618450164795, -0.9093499779701233]"
-0.18081501126289368,"[0.7554532885551453, -0.9195622205734253]"
-0.7697040438652039,"[0.7777105569839478, -0.9241073727607727]"
-0.3293486535549164,"[0.6899787783622742, -0.9193508625030518]"
