b0,b1
0.7038275003433228,"[-0.8624711036682129, -0.9458581805229187]"
0.3056352138519287,"[-0.8855490684509277, -0.8751800060272217]"
0.05892234295606613,"[-0.790567934513092, -0.9120832681655884]"
0.5679734945297241,"[-0.8342816829681396, -0.9411197900772095]"
-0.5445843935012817,"[0.2694094777107239, -0.934607207775116]"
-0.43936973810195923,"[0.3245886564254761, -0.9133421778678894]"
-0.4911637306213379,"[0.2670040726661682, -0.9256513714790344]"
-0.6771499514579773,"[0.442523330450058, -0.9005550146102905]"
0.3026067912578583,"[-0.8759427666664124, -0.9140586853027344]"
0.27424466609954834,"[-0.618196427822113, -0.31814485788345337]"
0.3628360629081726,"[0.23986224830150604, -0.8575068116188049]"
-0.45885229110717773,"[-0.13674527406692505, -0.6651420593261719]"
-0.7030203938484192,"[0.3088010251522064, -0.7159566283226013]"
-0.8333882689476013,"[0.02401892840862274, -0.8749127984046936]"
-0.804898202419281,"[0.2849617600440979, -0.8159716129302979]"
-0.573029637336731,"[0.002384300110861659, -0.8059936761856079]"
-0.6600233316421509,"[-0.29315662384033203, -0.9140436053276062]"
-0.5366408228874207,"[-0.15673546493053436, -0.8846430778503418]"
0.11209675669670105,"[-0.9049040675163269, -0.9150999784469604]"
0.20310159027576447,"[-0.8463359475135803, -0.9324252009391785]"
0.4456581771373749,"[-0.8845590353012085, -0.9213058948516846]"
0.12026553601026535,"[-0.5777950882911682, -0.9203546047210693]"
-0.19992972910404205,"[-0.2892974615097046, -0.11263860017061234]"
-0.8189142346382141,"[0.011125655844807625, -0.7912911772727966]"
-0.1320846825838089,"[-0.5277491807937622, -0.8789641857147217]"
-0.21587654948234558,"[-0.5077553987503052, -0.9181747436523438]"
0.6113056540489197,"[-0.8728216886520386, -0.9562661647796631]"
0.6162524223327637,"[-0.874607503414154, -0.9624379873275757]"
-0.7507888674736023,"[0.32520580291748047, -0.9051001667976379]"
-0.005183468107134104,"[-0.5990675687789917, -0.9186028838157654]"
-0.13943761587142944,"[-0.2601865828037262, -0.941041886806488]"
-0.40659135580062866,"[0.16030825674533844, -0.8311362266540527]"
0.19783100485801697,"[-0.06188976392149925, -0.9561338424682617]"
-0.20844343304634094,"[0.3910335600376129, -0.9223820567131042]"
0.317962110042572,"[-0.2968010902404785, -0.9029163122177124]"
0.5878272652626038,"[-0.33208855986595154, -0.9042917490005493]"
0.430907279253006,"[0.14559292793273926, -0.7540296316146851]"
0.7064054608345032,"[-0.4227948784828186, -0.9352559447288513]"
-0.033869095146656036,"[0.5330955982208252, -0.9179295897483826]"
-0.8281204104423523,"[0.8277976512908936, -0.7919442057609558]"
0.08611830323934555,"[0.4455733299255371, -0.2898196578025818]"
-0.010968431830406189,"[0.6108426451683044, -0.7688327431678772]"
-0.6071940064430237,"[0.7733331918716431, -0.2454679310321808]"
-0.24446435272693634,"[-0.1390567272901535, -0.9088056087493896]"
0.32199862599372864,"[0.6049237251281738, -0.8016002178192139]"
0.19018720090389252,"[-0.3691510856151581, -0.9064413905143738]"
-0.46862146258354187,"[0.7879894971847534, -0.7253641486167908]"
-0.8310985565185547,"[0.23352546989917755, -0.4215063750743866]"
-0.33464762568473816,"[0.7645763158798218, -0.4591570198535919]"
-0.6965394616127014,"[0.02313217706978321, -0.8624585866928101]"
