x1,x2,label,note
0.97,0.51,0,x1 = 0.97; x2 = 0.51
1.17,0.03,0,x1 = 1.17; x2 = 0.03
-0.72,0.7,0,x1 = -0.72; x2 = 0.7
1.09,-0.57,1,x1 = 1.09; x2 = -0.57
0.29,-0.18,1,x1 = 0.29; x2 = -0.18
0.31,0.94,0,x1 = 0.31; x2 = 0.94
0.14,1.1,0,x1 = 0.14; x2 = 1.1
1.74,-0.17,1,x1 = 1.74; x2 = -0.17
0.76,0.47,0,x1 = 0.76; x2 = 0.47
0.31,0.91,0,x1 = 0.31; x2 = 0.91
-0.08,0.41,1,x1 = -0.08; x2 = 0.41
0.53,1.12,0,x1 = 0.53; x2 = 1.12
0.02,0.11,1,x1 = 0.02; x2 = 0.11
0.34,-0.2,1,x1 = 0.34; x2 = -0.2
0.89,0.26,0,x1 = 0.89; x2 = 0.26
1.61,-0.2,1,x1 = 1.61; x2 = -0.2
-0.51,0.94,0,x1 = -0.51; x2 = 0.94
-0.89,0.3,0,x1 = -0.89; x2 = 0.3
-1.06,0.27,0,x1 = -1.06; x2 = 0.27
0.12,0.94,0,x1 = 0.12; x2 = 0.94
-0.36,0.91,0,x1 = -0.36; x2 = 0.91
0.75,-0.47,1,x1 = 0.75; x2 = -0.47
1.25,-0.64,1,x1 = 1.25; x2 = -0.64
0.99,0.3,0,x1 = 0.99; x2 = 0.3
1.93,-0.3,1,x1 = 1.93; x2 = -0.3
0.68,0.76,0,x1 = 0.68; x2 = 0.76
-0.91,-0.08,0,x1 = -0.91; x2 = -0.08
-0.67,0.82,0,x1 = -0.67; x2 = 0.82
0.54,0.68,0,x1 = 0.54; x2 = 0.68
-0.82,0.47,0,x1 = -0.82; x2 = 0.47
