b0,b1
-0.2817690670490265,"[0.6122828125953674, -0.7811111807823181, -0.1853826642036438, -0.8470001816749573, -0.8973358273506165]"
-0.6114761829376221,"[0.7884384989738464, -0.8910119533538818, -0.32822683453559875, -0.943778932094574, -0.6008312106132507]"
-0.5200517177581787,"[0.9145253300666809, -0.769158661365509, -0.7204483151435852, -0.9718751311302185, -0.7478238344192505]"
-0.5419793128967285,"[0.9417692422866821, -0.745168149471283, -0.5612887740135193, -0.9424650073051453, -0.8234517574310303]"
-0.20963284373283386,"[0.20029005408287048, -0.8796019554138184, -0.30597740411758423, -0.8558438420295715, -0.8478102684020996]"
0.026965901255607605,"[0.5435394048690796, -0.8824337124824524, -0.512732207775116, -0.9053895473480225, -0.8762868046760559]"
-0.7049391865730286,"[0.9490475058555603, -0.8658359050750732, -0.611020028591156, -0.9186593890190125, -0.820453405380249]"
-0.7132830619812012,"[0.8644145727157593, -0.83293616771698, -0.6230388879776001, -1.0439918041229248, -0.7917743921279907]"
-0.7151117920875549,"[0.8765653371810913, -0.8753952980041504, -0.7680036425590515, -0.931483268737793, -0.7614747881889343]"
-0.6063413619995117,"[0.6841090321540833, -0.8422878384590149, -0.14303994178771973, -1.0251741409301758, -0.7776720523834229]"
-0.5650818347930908,"[0.8653333187103271, -0.8381161689758301, -0.29172176122665405, -0.9752440452575684, -0.7445023655891418]"
-0.4443824589252472,"[0.4874255657196045, -0.7792323231697083, -0.27818793058395386, -0.9619755148887634, -0.7662315964698792]"
-0.3267446756362915,"[0.625163197517395, -0.7814053297042847, -0.4646080732345581, -1.0484527349472046, -0.8075022101402283]"
-0.5052945017814636,"[0.6950530409812927, -0.8169668912887573, -0.5397075414657593, -0.9515764713287354, -0.788933515548706]"
-0.7144092917442322,"[0.4479796290397644, -0.8274112343788147, -0.17049100995063782, -0.9149561524391174, -0.7773024439811707]"
0.2504287362098694,"[0.10994761437177658, -0.8421552181243896, -0.5953925848007202, -0.8987740278244019, -0.8105377554893494]"
0.19734050333499908,"[-0.09880996495485306, -0.8291264772415161, -0.6782138347625732, -0.27552205324172974, -0.8408135771751404]"
-0.33649468421936035,"[0.17696964740753174, -0.8834425210952759, -0.6848485469818115, -0.9041293859481812, -0.7813845872879028]"
-0.3903961181640625,"[-0.00745379738509655, -0.8339064121246338, -0.6480966806411743, -0.8679319024085999, -0.8044635057449341]"
-0.3842920958995819,"[-0.1908339262008667, -0.8946789503097534, -0.04473129287362099, -0.8415222764015198, -0.6982382535934448]"
-0.5933190584182739,"[0.3928082287311554, -0.8813249468803406, -0.059516001492738724, -0.926059901714325, -0.7730007767677307]"
-0.13547638058662415,"[0.07291830331087112, -0.8474056720733643, -0.09456811845302582, -0.892110288143158, -0.8153358697891235]"
0.04886051267385483,"[0.8563235402107239, -0.8310843706130981, -0.8183943033218384, -0.8288154006004333, -0.8634286522865295]"
