x1,x2,label
1.7,0.24,0
0.71,0.47,0
-0.29,-0.62,1
0.1,0.07,1
0.5,-1.18,1
0.18,-0.37,1
1.37,0.65,0
-0.7,0.3,0
0.99,1.03,0
-0.34,-0.5,1
0.36,0.87,0
1.23,0.08,0
0.11,-0.1,1
-0.48,0.11,1
0.41,0.99,0
1.1,0.44,0
0.58,0.43,0
0.2,-0.5,1
-0.39,-0.26,0
0.15,0.01,1
1.24,0.51,0
0.33,0.47,0
0.17,0.64,0
-1.01,-1.16,1
-0.37,0.48,1
1.16,-0.04,0
-0.78,-0.43,0
0.32,0.14,0
0.73,0.51,0
-0.45,0.7,0
1.04,-0.21,0
0.23,1.22,0
1.2,-0.89,0
0.47,-1.62,1
0.11,-0.12,1
0.22,0.98,0
0.22,0.24,0
-0.33,-1.05,1
-0.01,0.09,1
-0.44,-0.38,0
-0.57,-0.66,0
1.19,-0.42,0
0.06,0.38,1
0.15,0.69,0
-0.06,-0.19,1
0.71,0.67,0
0.1,0.69,0
0.72,-0.43,0
1.05,0.44,0
1.04,0.72,0
