x1,x2,label
0.89,-0.16,1
0.58,-0.05,1
1.21,0.29,0
0.9,0.62,0
0.21,0.21,1
0.37,-0.75,1
1.42,-0.78,1
-0.89,1.11,0
0.21,0.46,1
-0.01,-0.16,1
0.4,0.43,1
-0.4,-0.19,1
-0.4,0.76,0
0.71,-0.63,1
0.21,0.85,0
0.05,1.19,1
-0.4,1.3,0
0.32,0.35,1
-0.72,0.27,1
0.11,1.28,0
0.83,1.16,0
0.48,0.21,1
-0.16,1.18,0
0.07,0.98,0
0.26,1.05,0
0.07,1.16,1
-0.1,0.94,0
0.57,-0.17,1
-0.32,0.33,1
0.07,-0.35,1
0.33,0.69,1
0.14,0.38,1
0.58,-0.43,1
0.27,-0.11,1
-0.11,-0.76,1
0.04,0.29,1
1.11,-0.15,1
-0.6,1.2,0
0.59,-0.9,1
-0.7,1.24,0
0.71,0.47,0
0.18,-0.37,1
1.37,0.65,0
0.36,0.87,0
1.23,0.08,0
0.1,0.44,1
0.58,0.43,0
0.24,0.51,1
0.33,0.47,1
1.06,-0.04,0
-0.78,0.43,1
