z_x1,z_x2,z_note,x_x1,x_x2,x_note,"p(y=0|x,D)","p(y=1|x,D)","p(u=0|z,D)","p(u=1|z,D)","p(y=0|x,u=0,z,D)","p(y=1|x,u=0,z,D)","p(y=0|x,u=1,z,D)","p(y=1|x,u=1,z,D)","p(y=0|x,z,D)","p(y=1|x,z,D)","H[p(u|z,D)]","H[p(y|x,u=0,z,D)]","H[p(y|x,u=1,z,D)]","H[p(y|x,D)]",Va,Ve,kl_pyx_pyxz,kl_pyxz_pyx
0.63,1.49,x1 = 0.63; x2 = 1.49,0.5,1.6,x1 = 0.5; x2 = 1.6,0.7668904170763143,0.23310958292368564,0.7825435878405491,0.21745641215945094,0.8594385493511509,0.14056145064884912,0.4654156527643246,0.5345843472356753,0.7737557439507053,0.2262442560492947,0.7555,0.58571,0.99655,0.78339,0.67505,0.10833999999999999,0.00013367301467411257,0.00013274141701659532
0.87,1.71,x1 = 0.87; x2 = 1.71,0.5,1.6,x1 = 0.5; x2 = 1.6,0.7668904170763143,0.23310958292368564,0.7385049913811084,0.2614950086188918,0.8532645160169962,0.14673548398300387,0.5056110593489491,0.49438894065105093,0.7623548723691977,0.2376451276308024,0.82899,0.60161,0.99991,0.78339,0.70576,0.07762999999999998,5.702445435744417e-05,5.7278549826165516e-05
0.21,1.47,x1 = 0.21; x2 = 1.47,0.5,1.6,x1 = 0.5; x2 = 1.6,0.7668904170763143,0.23310958292368564,0.8331298829073024,0.16687011709269758,0.825288960102014,0.17471103989798592,0.6212564871610673,0.3787435128389327,0.7912420374516456,0.20875796254835435,0.65049,0.66837,0.95715,0.78339,0.71656,0.06683000000000006,0.0017467267217062647,0.0017012956751613628
-0.22,1.94,x1 = -0.22; x2 = 1.94,0.5,1.6,x1 = 0.5; x2 = 1.6,0.7668904170763143,0.23310958292368564,0.6636852666979661,0.3363147333020339,0.7940301189211542,0.2059698810788459,0.7207273330317457,0.27927266696825426,0.7693773120344616,0.23062268796553836,0.92125,0.73371,0.85446,0.78339,0.77432,0.009070000000000022,1.738423582509866e-05,1.7340898465764698e-05
0.06,1.1,x1 = 0.06; x2 = 1.1,0.5,1.6,x1 = 0.5; x2 = 1.6,0.7668904170763143,0.23310958292368564,0.9071238834237254,0.09287611657627462,0.7647907942611617,0.23520920573883825,0.6249718020741011,0.375028197925899,0.751804949243219,0.24819505075678092,0.446,0.78698,0.95445,0.78339,0.80253,-0.019139999999999935,0.000618381687846498,0.0006272748831817783
2.0,2.65,x1 = 2.0; x2 = 2.65,0.5,1.6,x1 = 0.5; x2 = 1.6,0.7668904170763143,0.23310958292368564,0.2137317731138011,0.7862682268861989,0.8518353876372988,0.14816461236270131,0.7095479690082274,0.2904520309917726,0.7399593112836045,0.26004068871639546,0.74856,0.60523,0.8693,0.78339,0.81286,-0.029469999999999996,0.0019296057754276813,0.00197750995620179
0.96,1.41,x1 = 0.96; x2 = 1.41,0.5,1.6,x1 = 0.5; x2 = 1.6,0.7668904170763143,0.23310958292368564,0.7748346679943496,0.22516533200565036,0.8226212520259588,0.17737874797404102,0.5325315024928621,0.4674684975071379,0.7573030972609032,0.24269690273909672,0.76949,0.67431,0.99694,0.78339,0.74696,0.03643000000000007,0.00025234155605518074,0.00025468431287421246
0.5,1.76,x1 = 0.5; x2 = 1.76,0.5,1.6,x1 = 0.5; x2 = 1.6,0.7668904170763143,0.23310958292368564,0.7549733840993477,0.2450266159006525,0.9257980362418268,0.0742019637581733,0.2620278723818813,0.7379721276181188,0.7631566792554029,0.23684332074459735,0.8033,0.38141,0.82979,0.78339,0.49128,0.29211000000000004,3.8705088090099874e-05,3.8847391195644294e-05
0.4,1.82,x1 = 0.4; x2 = 1.82,0.5,1.6,x1 = 0.5; x2 = 1.6,0.7668904170763143,0.23310958292368564,0.7040188621571672,0.2959811378428327,0.8717643883262662,0.12823561167373385,0.4602339965402775,0.5397660034597225,0.7499591547085426,0.2500408452914575,0.87632,0.55258,0.99543,0.78339,0.68366,0.09972999999999999,0.0007763370885944289,0.0007888024186612115
1.37,1.62,x1 = 1.37; x2 = 1.62,0.5,1.6,x1 = 0.5; x2 = 1.6,0.7668904170763143,0.23310958292368564,0.4423626962616633,0.5576373037383366,0.8681970249687037,0.13180297503129626,0.6962994247254788,0.30370057527452116,0.7723405106499812,0.22765948935001862,0.99039,0.56236,0.88577,0.78339,0.74271,0.04068000000000005,8.39972296839903e-05,8.353440029891003e-05
0.52,1.91,x1 = 0.52; x2 = 1.91,0.5,1.6,x1 = 0.5; x2 = 1.6,0.7668904170763143,0.23310958292368564,0.7604528663300084,0.2395471336699916,0.869352158626177,0.13064784137382313,0.4083099707932538,0.5916900292067462,0.7589108240298583,0.24108917597014173,0.79429,0.55921,0.9756,0.78339,0.65896,0.12443000000000004,0.00017534077889131035,0.00017670189990059808
0.19,2.63,x1 = 0.19; x2 = 2.63,0.5,1.6,x1 = 0.5; x2 = 1.6,0.7668904170763143,0.23310958292368564,0.7411747952706527,0.2588252047293474,0.8506640488155093,0.14933595118449064,0.6823304854082604,0.3176695145917396,0.8070950798038075,0.19290492019619243,0.82497,0.60818,0.90183,0.78339,0.68418,0.09921000000000002,0.004944031878610686,0.004721522483180293
-1.16,2.6,x1 = -1.16; x2 = 2.6,0.5,1.6,x1 = 0.5; x2 = 1.6,0.7668904170763143,0.23310958292368564,0.31964266532957264,0.6803573346704274,0.8371342715052446,0.1628657284947554,0.774896372824758,0.22510362717524215,0.7947902606435006,0.20520973935649947,0.90399,0.64112,0.76938,0.78339,0.72838,0.05501,0.002311574925129154,0.0022419702275179726
-0.81,2.64,x1 = -0.81; x2 = 2.64,0.5,1.6,x1 = 0.5; x2 = 1.6,0.7668904170763143,0.23310958292368564,0.7252789580623371,0.2747210419376629,0.8412436512897143,0.15875634871028568,0.7738151374814609,0.22618486251853911,0.8227196197200028,0.17728038027999715,0.84816,0.63133,0.7713,0.78339,0.66978,0.11360999999999999,0.009929261411810608,0.009278644568369368
0.52,1.73,x1 = 0.52; x2 = 1.73,0.5,1.6,x1 = 0.5; x2 = 1.6,0.7668904170763143,0.23310958292368564,0.7784193381463334,0.2215806618536666,0.8831553257448143,0.11684467425518559,0.3825679270972876,0.6174320729027125,0.77223483863689,0.22776516136310984,0.76304,0.52022,0.95984,0.78339,0.61763,0.16576000000000002,8.075407456819162e-05,8.031787526472604e-05
