z_x1,z_x2,z_note,x_x1,x_x2,x_note,"p(y=0|x,D)","p(y=1|x,D)","p(u=0|z,D)","p(u=1|z,D)","p(y=0|x,u=0,z,D)","p(y=1|x,u=0,z,D)","p(y=0|x,u=1,z,D)","p(y=1|x,u=1,z,D)","p(y=0|x,z,D)","p(y=1|x,z,D)","H[p(u|z,D)]","Var[p(u|z,D)]","H[p(y|x,u=0,z,D)]","H[p(y|x,u=1,z,D)]","Var[p(y|x,u=0,z,D)]","Var[p(y|x,u=1,z,D)]","H[p(y|x,D)]","Var[p(y|x,D)]",Va,Ve,Va_variance,Ve_variance,kl_pyx_pyxz,kl_pyxz_pyx,api_calls
1.22,-0.14,x1 = 1.22; x2 = -0.14,1.2,-0.1,x1 = 1.2; x2 = -0.1,0.16597883491750792,0.8340211650824921,0.12265749306940929,0.8773425069305907,0.5715612526623945,0.42843874733760545,0.08889125510475548,0.9111087448952444,0.1480943469849934,0.8519056530150065,0.53695,0.10761,0.98517,0.43276,0.24488,0.08099,0.64842,0.13843,0.50052,0.14790000000000003,0.10109,0.03734,0.0012279368393546645,0.0011905419447997487,503280
1.19,-0.15,x1 = 1.19; x2 = -0.15,1.2,-0.1,x1 = 1.2; x2 = -0.1,0.16597883491750792,0.8340211650824921,0.23322428368877018,0.76677571631123,0.4587465386509441,0.5412534613490558,0.14972623843191452,0.8502737615680853,0.22179727659578644,0.7782027234042135,0.78359,0.17883,0.99508,0.60915,0.2483,0.12731,0.64842,0.13843,0.69916,-0.05074000000000001,0.15553,-0.017100000000000004,0.009656232444962463,0.010392369525209201,503310
1.24,-0.02,x1 = 1.24; x2 = -0.02,1.2,-0.1,x1 = 1.2; x2 = -0.1,0.16597883491750792,0.8340211650824921,0.2631853317922309,0.736814668207769,0.5408901268120198,0.45910987318798024,0.10404530736448822,0.8959546926355119,0.219016456112504,0.7809835438874959,0.83152,0.19392,0.99517,0.48169,0.24833,0.09322,0.64842,0.13843,0.61683,0.03159000000000001,0.13404,0.004390000000000005,0.008775406062803491,0.009416036055224085,503340
1.24,-0.04,x1 = 1.24; x2 = -0.04,1.2,-0.1,x1 = 1.2; x2 = -0.1,0.16597883491750792,0.8340211650824921,0.2653493904999921,0.7346506095000078,0.5411215153375097,0.4588784846624902,0.10560160153396436,0.8943983984660356,0.22116654521234425,0.7788334547876556,0.83471,0.19494,0.99512,0.4865,0.24831,0.09445,0.64842,0.13843,0.62146,0.026959999999999984,0.13528,0.003149999999999986,0.009453205388034826,0.010166979631637582,503370
1.43,-0.04,x1 = 1.43; x2 = -0.04,1.2,-0.1,x1 = 1.2; x2 = -0.1,0.16597883491750792,0.8340211650824921,0.15845584006675284,0.8415441599332472,0.40038123442973533,0.5996187655702647,0.14561034240941026,0.8543896575905897,0.18598027812904683,0.8140197218709532,0.6306,0.13335,0.97117,0.59875,0.24008,0.12441,0.64842,0.13843,0.65776,-0.009340000000000015,0.14274,-0.004310000000000008,0.0013600536495461182,0.0014012364439136907,503400
1.17,-0.1,x1 = 1.17; x2 = -0.1,1.2,-0.1,x1 = 1.2; x2 = -0.1,0.16597883491750792,0.8340211650824921,0.2667374371666985,0.7332625628333014,0.44374036654529414,0.5562596334547059,0.134610574796119,0.8653894252038808,0.21706706319916919,0.7829329368008306,0.83674,0.19559,0.99085,0.56995,0.24683,0.11649,0.64842,0.13843,0.68222,-0.03380000000000005,0.15126,-0.012830000000000008,0.008180157603762589,0.008758543462451425,503430
1.18,-0.12,x1 = 1.18; x2 = -0.12,1.2,-0.1,x1 = 1.2; x2 = -0.1,0.16597883491750792,0.8340211650824921,0.26035292543279803,0.7396470745672021,0.45736193285896637,0.5426380671410336,0.1394025623374781,0.860597437662522,0.22218421462151855,0.7778157853784816,0.82728,0.19257,0.99475,0.58267,0.24818,0.11997,0.64842,0.13843,0.68996,-0.04154000000000002,0.15335,-0.014919999999999989,0.009781720371198642,0.010531781616244809,503460
1.29,-0.13,x1 = 1.29; x2 = -0.13,1.2,-0.1,x1 = 1.2; x2 = -0.1,0.16597883491750792,0.8340211650824921,0.10695553022318831,0.8930444697768116,0.5247902566859259,0.475209743314074,0.1045321953323135,0.8954678046676865,0.14948111911495832,0.8505188808850416,0.49066,0.09552,0.99823,0.4832,0.24939,0.09361,0.64842,0.13843,0.53829,0.11012999999999995,0.11027,0.02815999999999999,0.0010396894496255485,0.0010106140035792167,503490
1.26,-0.07,x1 = 1.26; x2 = -0.07,1.2,-0.1,x1 = 1.2; x2 = -0.1,0.16597883491750792,0.8340211650824921,0.2371955383365716,0.7628044616634284,0.5314225315227128,0.46857746847728726,0.11239498351548358,0.8876050164845164,0.21178644834291188,0.7882135516570881,0.79035,0.18093,0.99715,0.5071,0.24901,0.09976,0.64842,0.13843,0.62334,0.02507999999999999,0.13516,0.003269999999999995,0.006661566206776416,0.0070902407731846945,503520
1.21,-0.11,x1 = 1.21; x2 = -0.11,1.2,-0.1,x1 = 1.2; x2 = -0.1,0.16597883491750792,0.8340211650824921,0.12632165192783584,0.8736783480721643,0.5765728640514393,0.4234271359485608,0.09208034727944821,0.9079196527205518,0.15328224234476084,0.8467177576552393,0.54726,0.11036,0.98302,0.44338,0.24414,0.0836,0.64842,0.13843,0.51155,0.13687000000000005,0.10388,0.03455,0.0006075655498406652,0.0005946490257281722,503550
1.23,-0.18,x1 = 1.23; x2 = -0.18,1.2,-0.1,x1 = 1.2; x2 = -0.1,0.16597883491750792,0.8340211650824921,0.12687339716412777,0.8731266028358723,0.5423760056437944,0.4576239943562056,0.09061578089278169,0.9093842191072184,0.14793213531057256,0.8520678646894276,0.5488,0.11078,0.99481,0.43852,0.2482,0.0824,0.64842,0.13843,0.5091,0.13932,0.10344,0.03498999999999999,0.001251046342156694,0.0012125817742714116,503580
1.23,-0.23,x1 = 1.23; x2 = -0.23,1.2,-0.1,x1 = 1.2; x2 = -0.1,0.16597883491750792,0.8340211650824921,0.07872644548904553,0.9212735545109545,0.48968879095881623,0.5103112090411837,0.12465819195389519,0.875341808046105,0.15339575350828974,0.8466042464917104,0.39768,0.07253,0.99969,0.5426,0.24989,0.10912,0.64842,0.13843,0.57859,0.06982999999999995,0.1202,0.018229999999999996,0.0005965141298123061,0.0005839505123304365,503610
1.2,-0.08,x1 = 1.2; x2 = -0.08,1.2,-0.1,x1 = 1.2; x2 = -0.1,0.16597883491750792,0.8340211650824921,0.27084372012767055,0.7291562798723294,0.5772241053303695,0.4227758946696304,0.08453594447478971,0.9154640555252103,0.21797743882377507,0.7820225611762248,0.84267,0.19749,0.98272,0.41796,0.24404,0.07739,0.64842,0.13843,0.57092,0.07750000000000001,0.12253,0.015899999999999997,0.008455844871437378,0.00906282148399546,503640
1.4,-0.06,x1 = 1.4; x2 = -0.06,1.2,-0.1,x1 = 1.2; x2 = -0.1,0.16597883491750792,0.8340211650824921,0.16488140654755762,0.8351185934524423,0.4103886783810755,0.5896113216189244,0.13594579133864576,0.8640542086613541,0.18119632057117405,0.8188036794288258,0.64586,0.1377,0.9767,0.57352,0.24197,0.11746,0.64842,0.13843,0.64,0.008419999999999983,0.13799,0.00043999999999999595,0.000798228868977258,0.0008168826252756348,503670
1.1,-0.13,x1 = 1.1; x2 = -0.13,1.2,-0.1,x1 = 1.2; x2 = -0.1,0.16597883491750792,0.8340211650824921,0.30170657179715854,0.6982934282028415,0.4716588325430018,0.5283411674569982,0.13977677888673146,0.8602232211132685,0.2399077755363654,0.7600922244636347,0.88337,0.21068,0.99768,0.58365,0.2492,0.12024,0.64842,0.13843,0.70857,-0.06015000000000004,0.15915,-0.020720000000000016,0.016267358575840683,0.017829652617192507,503700
