z_x1,z_x2,z_note,x_x1,x_x2,x_note,"p(y=0|x,D)","p(y=1|x,D)","p(u=0|z,D)","p(u=1|z,D)","p(y=0|x,u=0,z,D)","p(y=1|x,u=0,z,D)","p(y=0|x,u=1,z,D)","p(y=1|x,u=1,z,D)","p(y=0|x,z,D)","p(y=1|x,z,D)","H[p(u|z,D)]","Var[p(u|z,D)]","H[p(y|x,u=0,z,D)]","H[p(y|x,u=1,z,D)]","Var[p(y|x,u=0,z,D)]","Var[p(y|x,u=1,z,D)]","H[p(y|x,D)]","Var[p(y|x,D)]",Va,Ve,Va_variance,Ve_variance,kl_pyx_pyxz,kl_pyxz_pyx,api_calls
1.72,1.9,x1 = 1.72; x2 = 1.9,1.7,1.9,x1 = 1.7; x2 = 1.9,0.20384785456928656,0.7961521454307136,0.21760199668097532,0.7823980033190246,0.8390223676647575,0.16097763233524254,0.03911228270598531,0.9608877172940146,0.21317431435826273,0.786825685641737,0.75576,0.17025,0.63664,0.23821,0.13506,0.03758,0.72956,0.16229,0.32491,0.40465,0.05879,0.10349999999999998,0.00026211769965767996,0.0002650126604912713,155060
1.65,1.84,x1 = 1.65; x2 = 1.84,1.7,1.9,x1 = 1.7; x2 = 1.9,0.20384785456928656,0.7961521454307136,0.2942421793374795,0.7057578206625206,0.7318649060697477,0.2681350939302523,0.06955648133536713,0.930443518664633,0.2644355556227843,0.7355644443772159,0.87414,0.20766,0.83878,0.36427,0.19624,0.06472,0.72956,0.16229,0.50389,0.22567000000000004,0.10342,0.05886999999999999,0.009971116243136027,0.010590884480848287,155090
1.7,1.85,x1 = 1.7; x2 = 1.85,1.7,1.9,x1 = 1.7; x2 = 1.9,0.20384785456928656,0.7961521454307136,0.24844030029025904,0.7515596997097409,0.7716252955328675,0.22837470446713254,0.063228964166143,0.936771035833857,0.2392231614554099,0.7607768385445901,0.8088,0.18672,0.77517,0.34013,0.17622,0.05923,0.72956,0.16229,0.44821,0.28135,0.0883,0.07398999999999999,0.003564971048450799,0.0037037057297752557,155120
1.57,1.81,x1 = 1.57; x2 = 1.81,1.7,1.9,x1 = 1.7; x2 = 1.9,0.20384785456928656,0.7961521454307136,0.3107634173935813,0.6892365826064186,0.709096429951112,0.29090357004888795,0.08287000211902004,0.91712999788098,0.27747826689429583,0.7225217331057041,0.89405,0.21419,0.86989,0.41221,0.20628,0.076,0.72956,0.16229,0.55444,0.17511999999999994,0.11649,0.045799999999999993,0.01440053794219727,0.015450078926044261,155150
1.84,1.87,x1 = 1.84; x2 = 1.87,1.7,1.9,x1 = 1.7; x2 = 1.9,0.20384785456928656,0.7961521454307136,0.24033677275031096,0.759663227249689,0.7399210527970236,0.2600789472029764,0.08735911917893786,0.9126408808210622,0.24419374832441124,0.7558062516755888,0.7956,0.18258,0.82687,0.42759,0.19244,0.07973,0.72956,0.16229,0.52355,0.20601000000000003,0.10682,0.05546999999999999,0.004591597660807273,0.004792586853913136,155180
1.56,1.88,x1 = 1.56; x2 = 1.88,1.7,1.9,x1 = 1.7; x2 = 1.9,0.20384785456928656,0.7961521454307136,0.29723342238033307,0.7027665776196669,0.7249155288708127,0.27508447112918727,0.06959035585174422,0.9304096441482559,0.26437489980018586,0.7356251001998142,0.87788,0.20889,0.84867,0.36439,0.19941,0.06475,0.72956,0.16229,0.50833,0.22123000000000004,0.10478,0.05750999999999999,0.009952230640424796,0.010570308819240183,155210
1.76,1.9,x1 = 1.76; x2 = 1.9,1.7,1.9,x1 = 1.7; x2 = 1.9,0.20384785456928656,0.7961521454307136,0.2171193594665303,0.7828806405334697,0.8332637139227123,0.16673628607728774,0.04275484267775634,0.9572451573222436,0.21438962245507104,0.7856103775449289,0.75487,0.16998,0.65018,0.25478,0.13894,0.04093,0.72956,0.16229,0.34063,0.38893,0.06221,0.10007999999999999,0.00033394409376451793,0.00033809844804265354,155240
1.61,1.9,x1 = 1.61; x2 = 1.9,1.7,1.9,x1 = 1.7; x2 = 1.9,0.20384785456928656,0.7961521454307136,0.2585052604926645,0.7414947395073355,0.7891857596158679,0.21081424038413207,0.04803643487916415,0.9519635651208359,0.23962743413418813,0.7603725658658118,0.82448,0.19168,0.74304,0.278,0.16637,0.04573,0.72956,0.16229,0.39822,0.33133999999999997,0.07692,0.08536999999999999,0.0036439546292950445,0.0037872217615408654,155270
1.65,1.95,x1 = 1.65; x2 = 1.95,1.7,1.9,x1 = 1.7; x2 = 1.9,0.20384785456928656,0.7961521454307136,0.28450622621141053,0.7154937737885895,0.7554669519002302,0.24453304809977,0.05327500092265047,0.9467249990773494,0.25305298297130946,0.7469470170286905,0.86152,0.20356,0.8025,0.30015,0.18474,0.05044,0.72956,0.16229,0.44307,0.28648999999999997,0.08865,0.07363999999999998,0.006714363683072377,0.007064107108313969,155300
1.82,1.91,x1 = 1.82; x2 = 1.91,1.7,1.9,x1 = 1.7; x2 = 1.9,0.20384785456928656,0.7961521454307136,0.24571631434008387,0.7542836856599161,0.7773808899143024,0.22261911008569765,0.05456222868621195,0.945437771313788,0.232170566059412,0.7678294339405879,0.80442,0.18534,0.76492,0.30547,0.17306,0.05159,0.72956,0.16229,0.41836,0.3112,0.08144,0.08084999999999999,0.0023184918140472417,0.0023921722405676436,155330
1.55,1.89,x1 = 1.55; x2 = 1.89,1.7,1.9,x1 = 1.7; x2 = 1.9,0.20384785456928656,0.7961521454307136,0.32397297275788145,0.6760270272421184,0.719091346290001,0.280908653709999,0.0756882036322031,0.9243117963677969,0.2841334324408132,0.7158665675591867,0.90865,0.21901,0.85669,0.3868,0.202,0.06996,0.72956,0.16229,0.53903,0.19052999999999998,0.11274,0.04954999999999998,0.016936428947003715,0.018258084390929866,155360
